DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,265.3,265.55,271.9,264.05,288796
01-JUL-2020,259.95,264.0,269.9,259.0,343745
30-JUN-2020,271.9,260.2,274.9,257.55,844725
29-JUN-2020,271.1,270.45,279.9,266.2,665484
26-JUN-2020,280.7,276.85,280.7,256.6,4113416
25-JUN-2020,252.0,267.35,267.35,249.8,1044879
24-JUN-2020,253.0,254.65,254.65,242.55,2481396
23-JUN-2020,234.2,242.55,242.55,233.8,2123696
22-JUN-2020,223.0,231.0,232.3,222.2,3130057
19-JUN-2020,222.0,221.25,229.8,216.5,1949029
18-JUN-2020,218.0,220.85,224.7,218.0,1706576
17-JUN-2020,210.0,217.1,221.85,209.0,1927438
16-JUN-2020,215.2,211.3,219.8,200.85,2378906
15-JUN-2020,206.0,209.75,211.2,202.8,1765003
12-JUN-2020,189.85,202.75,205.0,189.85,2062760
11-JUN-2020,199.65,199.8,207.65,197.85,4767879
10-JUN-2020,190.4,197.8,197.85,188.55,5476286
09-JUN-2020,181.0,188.45,188.65,177.0,2770562
08-JUN-2020,186.0,179.7,186.7,177.1,930758
05-JUN-2020,182.5,182.35,183.95,180.25,665840
04-JUN-2020,185.0,180.85,185.1,178.7,822853
03-JUN-2020,190.1,183.8,192.8,180.0,2486626
02-JUN-2020,182.4,187.4,189.3,182.3,6021271
01-JUN-2020,172.0,180.3,182.55,167.0,2042088
29-MAY-2020,181.95,173.9,181.95,173.0,3213926
28-MAY-2020,183.95,182.1,183.95,179.0,446483
27-MAY-2020,177.0,181.75,187.2,175.0,517361
26-MAY-2020,180.85,178.3,184.4,176.05,246971
22-MAY-2020,178.4,180.85,182.25,170.4,575536
21-MAY-2020,182.9,178.8,183.15,178.2,461987
20-MAY-2020,186.0,184.35,188.55,180.2,265420
19-MAY-2020,186.1,185.0,193.45,181.45,663846
18-MAY-2020,195.25,185.8,196.4,185.35,185012
15-MAY-2020,195.0,195.1,196.05,191.0,125023
14-MAY-2020,203.0,197.1,207.8,196.0,223671
13-MAY-2020,199.85,200.2,201.25,193.8,128496
12-MAY-2020,196.8,193.25,196.8,190.95,45189
11-MAY-2020,193.0,197.1,198.9,192.15,82228
08-MAY-2020,197.45,196.3,199.8,193.5,128151
07-MAY-2020,198.9,193.1,199.0,192.0,79579
06-MAY-2020,195.0,195.95,200.75,191.0,139448
05-MAY-2020,201.15,197.95,203.5,195.3,96209
04-MAY-2020,198.0,198.85,202.0,197.0,114121
30-APR-2020,208.0,206.85,211.0,205.3,204612
29-APR-2020,201.9,204.7,208.0,198.2,201676
28-APR-2020,199.85,200.95,202.5,194.3,281728
27-APR-2020,200.0,199.6,200.0,193.0,169473
24-APR-2020,199.5,196.05,200.0,195.05,37049
23-APR-2020,199.0,200.15,202.05,197.1,224514
22-APR-2020,199.0,199.2,201.0,190.0,139976
21-APR-2020,204.7,196.4,204.7,195.3,130364
20-APR-2020,209.95,205.55,213.0,202.5,278860
17-APR-2020,205.9,207.7,208.85,200.65,88406
16-APR-2020,200.0,200.2,202.7,196.4,146512
15-APR-2020,205.9,203.8,208.95,200.0,95214
13-APR-2020,200.0,203.55,206.0,195.0,174199
09-APR-2020,198.9,197.45,200.5,194.95,94160
08-APR-2020,196.65,193.65,202.0,190.0,306320
07-APR-2020,191.0,198.3,201.2,191.0,208449
03-APR-2020,182.2,193.95,195.0,180.0,177468
01-APR-2020,190.1,189.4,193.9,185.0,34480
31-MAR-2020,190.0,189.05,190.0,178.0,292625
30-MAR-2020,186.0,184.7,186.0,177.35,336372
27-MAR-2020,195.0,186.65,202.05,186.05,185779
26-MAR-2020,197.6,195.8,197.6,186.45,319678
25-MAR-2020,177.0,190.4,195.55,176.95,623092
24-MAR-2020,176.65,186.25,189.9,176.65,455485
23-MAR-2020,185.9,185.9,185.9,185.9,61903
20-MAR-2020,209.0,195.65,214.0,195.65,1555133
19-MAR-2020,192.15,205.9,211.35,175.55,1114006
18-MAR-2020,187.0,192.15,195.1,172.0,648925
17-MAR-2020,178.0,177.4,182.3,162.0,430396
16-MAR-2020,170.0,171.1,194.7,164.0,305757
13-MAR-2020,150.0,177.4,180.2,147.5,365938
12-MAR-2020,186.95,163.85,187.0,163.75,385410
11-MAR-2020,206.35,204.65,217.2,202.1,149029
09-MAR-2020,204.0,205.3,222.95,202.0,411604
06-MAR-2020,240.0,235.85,243.55,232.4,147908
05-MAR-2020,249.35,250.35,255.05,247.0,90096
04-MAR-2020,258.5,249.95,258.5,248.1,168073
03-MAR-2020,262.5,256.4,262.5,252.8,191427
02-MAR-2020,259.0,254.4,274.05,248.15,295171
28-FEB-2020,240.1,251.9,254.8,225.0,603405
27-FEB-2020,261.3,253.45,262.9,250.4,241966
26-FEB-2020,285.0,263.95,286.0,261.25,354124
25-FEB-2020,303.2,288.9,308.65,288.1,153226
24-FEB-2020,324.7,302.2,324.7,300.75,229525
20-FEB-2020,309.0,325.3,332.0,307.95,261547
19-FEB-2020,305.3,310.45,314.3,305.3,168739
18-FEB-2020,313.0,301.2,313.0,296.95,147376
17-FEB-2020,330.0,314.65,331.9,310.65,173660
14-FEB-2020,341.5,328.45,344.65,323.95,259548
13-FEB-2020,336.9,338.7,346.8,330.6,558374
12-FEB-2020,337.45,335.6,342.0,333.15,126766
11-FEB-2020,332.5,337.35,340.0,331.0,168229
10-FEB-2020,332.15,331.95,336.0,327.95,88192
07-FEB-2020,340.0,329.75,346.9,325.2,526919
06-FEB-2020,340.9,338.65,343.75,335.65,99932
05-FEB-2020,335.6,338.75,340.0,334.05,138145
04-FEB-2020,333.0,333.9,338.0,327.9,150439
03-FEB-2020,334.65,332.05,338.85,321.55,118451
01-FEB-2020,334.0,332.2,347.95,323.65,240341
31-JAN-2020,323.7,332.1,335.0,319.45,451856
30-JAN-2020,326.45,320.8,326.45,316.6,65326
29-JAN-2020,327.8,323.9,329.05,321.0,93414
28-JAN-2020,330.0,324.65,332.45,321.0,110037
27-JAN-2020,331.0,330.05,334.55,328.4,92228
24-JAN-2020,331.0,333.3,334.9,326.5,122135
23-JAN-2020,332.6,332.9,337.5,330.0,95177
22-JAN-2020,335.65,332.6,339.0,329.55,96354
21-JAN-2020,338.0,332.7,345.4,330.0,108524
20-JAN-2020,342.7,339.05,345.4,337.15,93144
17-JAN-2020,335.25,340.75,347.0,335.25,181247
16-JAN-2020,332.55,339.9,343.0,332.55,257554
15-JAN-2020,333.0,334.05,336.45,330.1,84451
14-JAN-2020,335.4,333.05,337.5,331.4,68981
13-JAN-2020,331.95,334.15,339.0,328.5,196364
10-JAN-2020,335.25,329.75,335.95,326.0,167427
09-JAN-2020,336.6,333.85,344.0,331.65,269745
08-JAN-2020,325.05,332.2,335.0,322.0,249746
07-JAN-2020,328.0,332.05,344.0,327.65,397234
06-JAN-2020,345.7,324.05,345.7,321.7,380525
03-JAN-2020,354.65,346.55,356.1,343.0,355922
02-JAN-2020,335.0,356.65,366.4,332.6,1195881
01-JAN-2020,332.95,333.9,336.0,330.0,147701
31-DEC-2019,334.6,331.4,336.9,330.0,165013
30-DEC-2019,330.0,334.1,337.25,329.9,224974
27-DEC-2019,332.25,330.1,335.15,329.0,139270
26-DEC-2019,334.95,331.85,337.85,329.5,154600
24-DEC-2019,334.7,334.9,340.85,332.0,272503
23-DEC-2019,341.95,332.4,344.9,331.25,275463
20-DEC-2019,334.65,341.9,349.65,329.35,597452
19-DEC-2019,333.95,333.35,334.75,329.1,112187
18-DEC-2019,334.95,333.65,336.3,332.05,132743
17-DEC-2019,333.25,334.05,337.55,329.05,230362
16-DEC-2019,334.0,332.25,337.0,330.0,238781
13-DEC-2019,334.0,331.55,339.3,330.0,220241
12-DEC-2019,344.2,335.95,345.4,326.0,521152
11-DEC-2019,339.0,341.85,350.95,320.65,2742883
10-DEC-2019,334.0,336.7,342.1,329.4,710195
09-DEC-2019,320.6,331.7,344.7,320.6,1342315
06-DEC-2019,325.05,318.9,327.1,314.15,224850
05-DEC-2019,323.0,323.65,333.8,320.2,488540
04-DEC-2019,310.0,323.75,331.0,310.0,992295
03-DEC-2019,333.0,314.3,334.0,310.5,557907
02-DEC-2019,313.0,332.15,341.35,303.9,2329535
29-NOV-2019,280.65,310.15,317.5,278.9,2083819
28-NOV-2019,280.1,279.85,284.4,278.15,180181
27-NOV-2019,278.65,281.4,286.45,277.1,380742
26-NOV-2019,265.0,275.95,285.0,262.85,612481
25-NOV-2019,264.9,263.75,269.3,261.05,202027
22-NOV-2019,266.2,263.35,269.7,261.0,166449
21-NOV-2019,268.7,263.45,271.45,256.45,146497
20-NOV-2019,269.8,267.1,277.0,265.15,246911
19-NOV-2019,270.95,268.1,271.95,265.1,177796
18-NOV-2019,269.25,269.2,275.9,265.5,163193
15-NOV-2019,272.0,268.95,275.0,267.5,156598
14-NOV-2019,275.0,271.15,276.25,268.25,214175
13-NOV-2019,279.2,274.5,286.85,265.1,388762
11-NOV-2019,278.25,279.4,284.65,277.7,198560
08-NOV-2019,301.0,286.85,304.9,285.0,664417
07-NOV-2019,283.8,298.55,303.7,283.2,1901839
06-NOV-2019,283.8,282.95,285.0,279.1,195862
05-NOV-2019,286.7,284.25,291.8,281.7,422266
04-NOV-2019,277.85,284.5,286.75,277.85,405314
01-NOV-2019,276.65,277.45,288.0,275.6,657420
31-OCT-2019,265.0,274.1,278.0,265.0,576973
30-OCT-2019,265.0,264.6,268.8,261.05,211276
29-OCT-2019,264.85,263.9,271.65,261.25,287174
27-OCT-2019,264.55,264.05,269.6,262.5,114450
25-OCT-2019,266.1,262.55,273.7,261.0,354670
24-OCT-2019,264.7,265.35,279.8,259.75,573871
23-OCT-2019,255.8,262.3,272.4,255.75,1054524
22-OCT-2019,239.0,253.55,259.0,237.0,549105
18-OCT-2019,234.45,238.1,247.5,234.4,355971
17-OCT-2019,233.9,232.95,241.4,231.0,205961
16-OCT-2019,242.05,234.5,243.8,233.05,233490
15-OCT-2019,235.0,239.15,253.0,232.2,1036776
14-OCT-2019,220.05,225.05,233.9,220.05,116243
11-OCT-2019,223.9,222.15,226.95,222.0,38869
10-OCT-2019,225.65,222.6,227.95,222.0,44917
09-OCT-2019,226.8,225.45,230.0,221.55,81394
07-OCT-2019,229.0,224.65,230.0,222.65,52474
04-OCT-2019,223.95,226.55,231.25,222.35,68115
03-OCT-2019,224.35,222.15,227.65,221.0,67034
01-OCT-2019,228.95,224.35,230.0,222.65,63095
30-SEP-2019,233.45,228.6,235.0,228.1,57816
27-SEP-2019,233.95,233.65,238.0,232.5,80209
26-SEP-2019,235.1,233.0,240.8,231.5,140871
25-SEP-2019,237.85,236.65,246.8,233.85,425944
24-SEP-2019,232.0,232.5,237.2,230.6,73384
23-SEP-2019,227.0,232.55,237.8,223.9,120779
20-SEP-2019,227.95,221.55,228.0,215.2,1028556
19-SEP-2019,225.7,221.0,225.7,220.1,25690
18-SEP-2019,220.45,223.7,227.0,220.45,48095
17-SEP-2019,233.75,222.45,236.0,218.3,92876
16-SEP-2019,235.8,231.8,237.0,230.1,88901
13-SEP-2019,236.7,235.6,238.8,232.8,133527
12-SEP-2019,237.0,230.8,239.0,229.55,50136
11-SEP-2019,233.55,235.4,241.0,232.55,61718
09-SEP-2019,239.45,235.75,239.8,235.05,52767
06-SEP-2019,237.75,238.3,240.0,233.85,59700
05-SEP-2019,238.8,237.75,241.0,234.6,46991
04-SEP-2019,232.65,236.05,241.0,232.65,51795
03-SEP-2019,234.15,234.85,237.75,230.65,67032
30-AUG-2019,238.1,234.15,239.95,230.5,63858
29-AUG-2019,234.75,236.1,237.0,233.1,60601
28-AUG-2019,238.0,234.75,239.9,231.6,91885
27-AUG-2019,230.9,236.3,241.0,229.55,141417
26-AUG-2019,225.0,229.1,230.0,224.3,77762
23-AUG-2019,216.0,223.4,224.65,213.4,62079
22-AUG-2019,224.95,216.65,226.1,214.5,90609
21-AUG-2019,215.55,223.15,231.9,215.55,190103
20-AUG-2019,219.0,218.6,222.0,215.05,50421
19-AUG-2019,212.95,219.25,221.5,211.7,63416
16-AUG-2019,209.95,211.35,214.2,207.6,39419
14-AUG-2019,215.65,210.75,218.0,209.15,65429
13-AUG-2019,218.0,214.45,219.0,213.05,36136
09-AUG-2019,219.8,218.15,222.0,216.0,152724
08-AUG-2019,208.4,213.65,214.75,206.5,77287
07-AUG-2019,207.95,206.3,212.0,205.3,63581
06-AUG-2019,203.0,207.85,209.5,201.25,38781
05-AUG-2019,204.0,204.0,205.95,195.15,77280
02-AUG-2019,192.0,206.65,209.0,192.0,71940
01-AUG-2019,205.4,203.5,212.8,201.0,69649
31-JUL-2019,201.45,207.35,208.65,198.0,92349
30-JUL-2019,209.95,203.95,210.5,202.5,55096
29-JUL-2019,215.0,207.8,219.95,205.15,59677
26-JUL-2019,214.0,215.4,219.5,212.8,32510
25-JUL-2019,209.0,215.4,217.0,206.2,73508
24-JUL-2019,213.1,208.3,214.5,206.0,59323
23-JUL-2019,215.9,214.05,216.0,207.6,74647
22-JUL-2019,209.8,214.95,216.0,208.0,55940
19-JUL-2019,215.3,210.35,217.8,209.05,44097
18-JUL-2019,222.8,214.0,223.3,211.0,98049
17-JUL-2019,223.45,221.8,226.0,221.0,56642
16-JUL-2019,223.0,222.2,225.55,221.35,49846
15-JUL-2019,223.0,222.05,227.0,221.0,29781
12-JUL-2019,226.55,222.8,228.0,222.0,25242
11-JUL-2019,225.95,224.95,229.45,223.65,45259
10-JUL-2019,223.0,224.65,227.0,222.9,73831
09-JUL-2019,223.3,221.8,226.45,220.7,97016
08-JUL-2019,224.1,222.75,224.1,219.0,78051
05-JUL-2019,231.0,225.25,232.0,225.0,67494
04-JUL-2019,234.2,228.95,235.9,227.0,84315
03-JUL-2019,235.95,232.3,241.0,231.0,173647
02-JUL-2019,225.0,236.2,244.3,224.4,679841
01-JUL-2019,222.0,223.8,232.7,222.0,124926
28-JUN-2019,221.2,224.15,225.55,220.5,43329
27-JUN-2019,224.65,221.2,226.0,220.25,63839
26-JUN-2019,222.0,223.35,226.6,219.8,55375
25-JUN-2019,224.85,222.0,227.95,217.95,117206
24-JUN-2019,226.0,224.85,231.0,222.7,66000
21-JUN-2019,211.0,225.15,230.4,210.95,171685
20-JUN-2019,210.9,211.25,213.5,202.4,100156
19-JUN-2019,228.0,211.35,228.0,204.25,194881
18-JUN-2019,229.2,226.45,230.75,224.7,44128
17-JUN-2019,235.1,229.25,236.65,227.2,49876
14-JUN-2019,235.45,233.2,239.6,229.1,302597
