DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,1330.0,1362.55,1367.9,1326.25,1095777
01-JUL-2020,1350.0,1319.65,1353.55,1311.0,1066672
30-JUN-2020,1377.0,1349.85,1384.45,1344.0,759371
29-JUN-2020,1381.0,1365.05,1405.55,1359.25,911363
26-JUN-2020,1453.0,1388.15,1480.0,1376.3,3862488
25-JUN-2020,1411.8,1437.5,1444.0,1405.5,872301
24-JUN-2020,1424.0,1411.8,1440.0,1401.0,681132
23-JUN-2020,1408.0,1416.1,1422.0,1394.4,630605
22-JUN-2020,1380.0,1398.3,1408.75,1371.65,758535
19-JUN-2020,1357.0,1370.7,1384.0,1350.15,894818
18-JUN-2020,1354.95,1347.45,1368.5,1336.2,591592
17-JUN-2020,1375.0,1352.35,1386.65,1346.65,481888
16-JUN-2020,1440.0,1372.75,1440.0,1355.3,1021347
15-JUN-2020,1394.8,1410.7,1429.0,1371.0,1375775
12-JUN-2020,1305.0,1403.6,1410.0,1302.2,1340070
11-JUN-2020,1359.0,1347.55,1391.0,1339.0,677212
10-JUN-2020,1365.0,1355.65,1378.4,1332.0,710311
09-JUN-2020,1369.95,1364.55,1392.0,1352.7,517245
08-JUN-2020,1368.6,1364.05,1408.0,1352.05,746492
05-JUN-2020,1369.6,1359.05,1380.8,1351.7,548934
04-JUN-2020,1355.0,1364.25,1367.75,1336.0,762916
03-JUN-2020,1370.0,1349.8,1407.0,1340.05,738651
02-JUN-2020,1379.0,1360.65,1394.85,1350.5,608623
01-JUN-2020,1372.0,1373.3,1398.0,1357.55,868868
29-MAY-2020,1323.0,1356.95,1367.6,1314.95,870048
28-MAY-2020,1340.0,1337.05,1354.0,1317.0,523207
27-MAY-2020,1322.2,1337.6,1359.5,1318.0,1386457
26-MAY-2020,1290.0,1321.75,1338.8,1286.1,1145344
22-MAY-2020,1270.0,1280.0,1296.0,1252.65,775353
21-MAY-2020,1292.0,1280.3,1310.0,1272.2,608962
20-MAY-2020,1274.9,1288.45,1298.95,1270.1,532117
19-MAY-2020,1290.0,1274.25,1302.0,1267.0,960164
18-MAY-2020,1355.0,1266.05,1364.9,1256.0,860702
15-MAY-2020,1299.0,1355.3,1377.1,1290.15,1984100
14-MAY-2020,1289.3,1294.4,1310.0,1265.8,907116
13-MAY-2020,1334.0,1284.55,1334.0,1258.0,1508002
12-MAY-2020,1296.1,1301.1,1320.0,1280.95,663107
11-MAY-2020,1320.0,1304.2,1341.75,1282.4,718005
08-MAY-2020,1280.3,1314.8,1327.5,1276.2,1250587
07-MAY-2020,1293.95,1271.15,1335.0,1265.5,935845
06-MAY-2020,1350.0,1305.75,1359.0,1261.75,1621448
05-MAY-2020,1399.0,1347.6,1401.8,1334.45,652261
04-MAY-2020,1394.65,1371.75,1427.15,1355.5,1532116
30-APR-2020,1441.9,1394.35,1441.9,1387.25,731401
29-APR-2020,1420.0,1417.95,1428.8,1375.0,1010961
28-APR-2020,1429.8,1426.45,1458.2,1417.05,1214114
27-APR-2020,1370.1,1418.9,1423.35,1370.1,1179829
24-APR-2020,1360.0,1359.5,1377.5,1341.1,756054
23-APR-2020,1372.0,1384.05,1416.9,1361.8,1301177
22-APR-2020,1351.25,1348.3,1368.35,1311.4,1272573
21-APR-2020,1416.0,1351.15,1433.05,1330.1,1669512
20-APR-2020,1385.0,1450.95,1465.0,1373.0,1860261
17-APR-2020,1450.0,1374.1,1472.0,1360.0,1718048
16-APR-2020,1370.75,1423.45,1440.0,1334.05,1281809
15-APR-2020,1295.0,1360.55,1414.95,1291.6,2274130
13-APR-2020,1300.0,1279.4,1300.0,1229.8,1027810
09-APR-2020,1266.0,1279.85,1300.0,1256.65,1156778
08-APR-2020,1225.9,1263.95,1338.4,1211.0,2070270
07-APR-2020,1236.0,1225.95,1278.65,1212.5,1473098
03-APR-2020,1094.2,1189.55,1239.45,1088.05,2397409
01-APR-2020,1136.0,1088.85,1139.0,1080.05,1017298
31-MAR-2020,1122.0,1139.05,1155.1,1047.05,1882578
30-MAR-2020,1139.0,1098.25,1167.0,1080.15,1207572
27-MAR-2020,1259.0,1167.0,1259.0,1130.3,2480908
26-MAR-2020,1190.0,1215.85,1336.3,1132.0,2809837
25-MAR-2020,1180.0,1183.75,1222.2,1072.05,2323541
24-MAR-2020,1250.0,1156.0,1265.0,1124.15,1641799
23-MAR-2020,1226.7,1158.65,1299.35,1149.0,816579
20-MAR-2020,1190.25,1362.95,1400.4,1150.0,2002361
19-MAR-2020,1195.1,1180.1,1248.25,1052.35,2412020
18-MAR-2020,1454.0,1282.7,1454.0,1233.55,1731138
17-MAR-2020,1492.8,1426.75,1518.95,1415.45,610719
16-MAR-2020,1431.0,1472.8,1540.9,1363.35,1197701
13-MAR-2020,1380.1,1513.65,1598.5,1379.0,828569
12-MAR-2020,1580.0,1508.0,1590.05,1480.3,1279868
11-MAR-2020,1629.0,1629.25,1642.8,1611.0,617559
09-MAR-2020,1650.0,1640.9,1671.75,1606.1,486073
06-MAR-2020,1700.0,1688.9,1710.0,1673.0,498503
05-MAR-2020,1764.95,1727.2,1768.85,1718.6,661463
04-MAR-2020,1727.0,1755.25,1772.0,1711.65,1164850
03-MAR-2020,1738.9,1725.7,1753.2,1695.0,672514
02-MAR-2020,1750.0,1728.55,1777.9,1711.2,980080
28-FEB-2020,1780.5,1735.8,1799.75,1726.1,1234826
27-FEB-2020,1765.0,1795.4,1803.0,1755.1,919960
26-FEB-2020,1785.95,1767.2,1796.95,1763.0,494854
25-FEB-2020,1798.0,1790.45,1810.0,1778.0,459592
24-FEB-2020,1796.0,1797.45,1813.55,1764.25,708469
20-FEB-2020,1790.0,1800.7,1813.45,1778.25,799535
19-FEB-2020,1774.9,1780.5,1792.6,1750.7,1029649
18-FEB-2020,1716.0,1774.9,1784.4,1704.8,1860803
17-FEB-2020,1727.0,1715.05,1737.0,1700.1,808709
14-FEB-2020,1721.0,1704.4,1747.7,1674.45,3179224
13-FEB-2020,1675.0,1695.5,1707.0,1655.0,902548
12-FEB-2020,1705.0,1683.6,1716.95,1670.55,728165
11-FEB-2020,1670.5,1697.95,1702.9,1669.0,606839
10-FEB-2020,1663.0,1665.7,1701.6,1634.5,778081
07-FEB-2020,1649.8,1663.15,1678.5,1628.0,554048
06-FEB-2020,1665.7,1645.05,1665.7,1622.2,552992
05-FEB-2020,1681.0,1657.45,1681.0,1650.0,438855
04-FEB-2020,1695.85,1671.05,1704.9,1661.0,384789
03-FEB-2020,1616.0,1695.85,1717.6,1616.0,584886
01-FEB-2020,1658.1,1654.45,1703.45,1630.0,547355
31-JAN-2020,1699.2,1660.2,1699.25,1656.45,377299
30-JAN-2020,1685.0,1690.8,1709.75,1680.25,634505
29-JAN-2020,1687.0,1688.0,1694.95,1671.05,230705
28-JAN-2020,1695.9,1677.75,1704.8,1673.8,681671
27-JAN-2020,1668.0,1696.05,1713.0,1662.0,791549
24-JAN-2020,1690.0,1668.7,1697.55,1649.1,1023849
23-JAN-2020,1638.8,1686.9,1699.9,1631.25,764590
22-JAN-2020,1643.65,1634.45,1664.0,1626.5,736367
21-JAN-2020,1629.85,1626.2,1642.5,1621.0,317357
20-JAN-2020,1620.0,1629.55,1659.0,1616.5,1047368
17-JAN-2020,1595.55,1618.6,1624.0,1580.0,893254
16-JAN-2020,1519.7,1591.55,1607.0,1518.05,2305288
15-JAN-2020,1488.3,1511.95,1529.0,1488.0,932167
14-JAN-2020,1485.1,1493.3,1502.0,1483.9,308514
13-JAN-2020,1493.3,1483.45,1504.0,1479.45,374704
10-JAN-2020,1484.0,1485.9,1502.0,1476.0,364434
09-JAN-2020,1490.0,1479.6,1498.7,1473.0,254798
08-JAN-2020,1464.0,1473.65,1479.6,1458.0,190163
07-JAN-2020,1475.0,1478.7,1498.95,1472.55,365266
06-JAN-2020,1480.0,1462.5,1480.0,1458.15,378702
03-JAN-2020,1494.65,1486.1,1505.0,1481.55,629443
02-JAN-2020,1428.0,1494.65,1509.2,1428.0,2000143
01-JAN-2020,1440.0,1426.35,1442.0,1422.2,268255
31-DEC-2019,1417.0,1442.0,1454.0,1415.0,985801
30-DEC-2019,1421.2,1418.9,1432.85,1411.6,527326
27-DEC-2019,1379.95,1418.1,1424.95,1379.5,1085655
26-DEC-2019,1384.4,1379.6,1387.7,1370.45,344456
24-DEC-2019,1391.9,1375.45,1398.45,1372.2,295536
23-DEC-2019,1378.0,1386.25,1390.0,1365.55,476672
20-DEC-2019,1400.0,1379.2,1402.4,1375.5,629259
19-DEC-2019,1385.45,1396.4,1403.55,1371.15,730557
18-DEC-2019,1371.05,1384.85,1394.85,1370.0,1244195
17-DEC-2019,1369.95,1363.65,1369.95,1341.35,1184021
16-DEC-2019,1370.0,1370.55,1389.9,1366.0,825493
13-DEC-2019,1393.0,1353.0,1397.75,1345.0,2563372
12-DEC-2019,1395.0,1385.5,1406.0,1374.75,698123
11-DEC-2019,1380.0,1390.45,1407.0,1380.0,735568
10-DEC-2019,1412.5,1373.95,1437.0,1368.0,1141233
09-DEC-2019,1466.0,1411.8,1474.45,1402.7,878632
06-DEC-2019,1479.9,1465.0,1510.0,1459.6,830784
05-DEC-2019,1471.85,1483.2,1492.55,1451.6,725914
04-DEC-2019,1404.0,1470.25,1478.55,1401.05,1204381
