DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,50.6,49.95,50.8,49.5,2402349
01-JUL-2020,49.0,50.15,50.5,48.05,4126731
30-JUN-2020,50.1,48.8,50.7,47.0,2590310
29-JUN-2020,51.65,49.65,51.65,49.4,3934958
26-JUN-2020,51.2,51.35,52.3,50.2,8346330
25-JUN-2020,55.9,50.25,58.5,48.3,29600469
24-JUN-2020,53.9,55.0,58.9,53.15,13010740
23-JUN-2020,51.9,53.0,53.4,51.65,5359900
22-JUN-2020,52.5,52.05,52.9,51.6,4681285
19-JUN-2020,51.75,51.45,52.4,50.8,6665069
18-JUN-2020,48.05,51.2,52.7,48.05,8532361
17-JUN-2020,49.65,49.35,50.4,47.8,9659626
16-JUN-2020,49.65,49.75,52.5,48.15,33492218
15-JUN-2020,41.3,48.15,48.95,40.95,22181779
12-JUN-2020,38.0,40.8,41.0,38.0,2445328
11-JUN-2020,42.0,40.95,43.0,40.6,2810968
10-JUN-2020,41.05,42.2,42.75,40.55,3190269
09-JUN-2020,42.35,41.05,42.8,40.55,4657746
08-JUN-2020,43.5,42.35,43.8,41.8,3643791
05-JUN-2020,41.6,42.1,42.8,41.0,6044364
04-JUN-2020,39.5,40.65,41.4,39.45,7278079
03-JUN-2020,36.2,39.5,41.75,35.65,11133317
02-JUN-2020,35.0,35.2,35.45,34.15,3623696
01-JUN-2020,32.2,34.55,34.9,31.9,7335035
29-MAY-2020,31.55,31.45,31.8,31.05,3082936
28-MAY-2020,32.05,32.05,32.85,31.9,1662013
27-MAY-2020,31.5,32.0,32.2,31.3,2044998
26-MAY-2020,31.85,31.4,31.95,31.2,1004592
22-MAY-2020,31.45,31.5,32.5,31.2,3541947
21-MAY-2020,31.5,31.7,32.55,31.3,2711866
20-MAY-2020,31.4,31.4,31.65,31.0,2046726
19-MAY-2020,32.4,31.35,32.4,31.15,2671342
18-MAY-2020,33.25,32.0,33.35,31.65,2849502
15-MAY-2020,33.7,33.45,33.95,33.3,2139277
14-MAY-2020,33.75,33.85,34.4,33.05,3945976
13-MAY-2020,34.55,34.15,34.8,33.15,3917355
12-MAY-2020,32.55,32.85,33.1,31.85,1975008
11-MAY-2020,32.3,32.65,32.95,31.6,2991644
08-MAY-2020,33.2,32.15,33.2,32.0,1513945
07-MAY-2020,32.5,32.5,33.2,32.1,2307551
06-MAY-2020,32.9,32.6,32.9,31.6,2972391
05-MAY-2020,33.7,32.6,34.4,32.3,5854625
04-MAY-2020,35.2,33.7,35.2,33.5,3622631
30-APR-2020,35.2,35.2,36.2,34.9,7918011
29-APR-2020,34.6,34.55,35.1,34.3,3079171
28-APR-2020,33.95,34.3,34.8,33.6,3606089
27-APR-2020,34.0,33.75,34.2,33.5,3617200
24-APR-2020,34.1,33.6,34.4,33.5,3680914
23-APR-2020,34.4,34.45,35.15,34.3,2659058
22-APR-2020,34.55,34.3,34.95,33.8,3724578
21-APR-2020,35.0,34.9,35.9,34.5,4390644
20-APR-2020,34.95,35.95,37.85,33.75,11350586
17-APR-2020,35.75,34.1,35.75,33.5,2336563
16-APR-2020,34.3,34.4,34.55,33.8,853251
15-APR-2020,34.05,34.3,34.7,33.7,1323418
13-APR-2020,34.3,34.0,34.7,33.65,1137243
09-APR-2020,34.2,34.35,35.25,33.4,2268719
08-APR-2020,32.7,33.35,34.75,32.5,1236627
07-APR-2020,32.7,32.95,33.5,32.6,900678
03-APR-2020,32.45,32.55,32.9,31.7,713521
01-APR-2020,32.3,32.4,32.7,32.1,727916
31-MAR-2020,33.1,32.25,33.25,31.95,1066729
30-MAR-2020,33.25,32.35,33.45,32.1,859584
27-MAR-2020,34.0,33.25,35.65,33.0,1901680
26-MAR-2020,31.85,33.15,34.75,31.75,1386758
25-MAR-2020,31.95,31.75,32.7,30.9,1027126
24-MAR-2020,32.9,31.75,33.3,31.0,1182402
23-MAR-2020,32.3,31.95,34.4,31.95,1233031
20-MAR-2020,36.0,35.45,36.7,35.0,2237714
19-MAR-2020,34.5,35.45,36.85,33.65,1975725
18-MAR-2020,36.1,35.95,37.4,34.0,1995977
17-MAR-2020,35.5,35.85,37.1,35.0,2106997
16-MAR-2020,36.3,35.5,36.55,34.05,2450397
13-MAR-2020,31.0,36.8,37.1,30.4,3636454
12-MAR-2020,35.0,33.75,35.9,33.5,3306910
11-MAR-2020,40.5,38.9,41.2,38.5,3779481
09-MAR-2020,42.6,40.45,43.6,40.0,3130422
06-MAR-2020,45.05,45.5,46.4,44.5,2142612
05-MAR-2020,48.2,48.25,49.35,47.7,3033072
04-MAR-2020,49.6,48.2,50.3,47.7,2801651
03-MAR-2020,50.8,49.35,51.0,49.0,1622792
02-MAR-2020,51.25,50.05,54.2,49.3,1861547
28-FEB-2020,53.55,51.05,53.75,50.3,1960487
27-FEB-2020,56.85,55.3,56.85,54.5,1287501
26-FEB-2020,57.9,56.9,58.05,56.55,1283896
25-FEB-2020,59.0,58.35,59.3,58.0,1045929
24-FEB-2020,59.0,58.8,59.7,58.5,1024784
20-FEB-2020,60.3,59.95,60.95,59.55,1351308
19-FEB-2020,60.6,60.35,61.8,59.7,1388779
18-FEB-2020,60.6,60.3,60.8,58.45,1608057
17-FEB-2020,63.05,61.15,63.3,60.8,1263934
14-FEB-2020,63.25,63.05,63.55,62.65,999669
13-FEB-2020,63.35,63.1,63.8,62.75,1047518
12-FEB-2020,64.8,63.45,64.9,63.1,861663
11-FEB-2020,65.1,64.4,65.4,63.9,955718
10-FEB-2020,64.75,64.65,65.0,64.0,1012501
07-FEB-2020,65.05,64.75,65.7,64.25,1269896
06-FEB-2020,65.8,65.0,67.2,64.65,2449303
05-FEB-2020,65.5,65.05,66.3,64.6,949755
04-FEB-2020,65.1,65.55,66.1,64.8,1323547
03-FEB-2020,64.5,65.1,65.7,64.15,1136112
01-FEB-2020,68.85,65.25,68.85,64.5,1585214
31-JAN-2020,66.55,67.8,68.95,65.15,6726700
30-JAN-2020,67.0,66.1,67.0,65.8,728343
29-JAN-2020,66.9,66.45,67.2,66.2,846686
28-JAN-2020,67.0,66.3,67.3,65.9,1276379
27-JAN-2020,67.0,66.95,67.45,66.8,1099606
24-JAN-2020,67.65,67.7,68.35,67.25,1160432
23-JAN-2020,67.25,67.55,68.2,67.05,1465295
22-JAN-2020,67.6,67.45,67.8,66.7,1081492
21-JAN-2020,66.8,67.35,67.75,66.7,1239835
20-JAN-2020,69.1,67.05,69.45,66.75,2130478
17-JAN-2020,68.9,68.85,69.6,68.3,1423339
16-JAN-2020,69.0,69.1,69.6,68.7,1517048
15-JAN-2020,68.6,69.15,69.5,68.3,1320376
14-JAN-2020,68.8,68.85,69.2,68.3,1505771
13-JAN-2020,68.7,68.85,69.45,68.2,1384949
10-JAN-2020,69.0,68.85,69.75,68.15,1918919
09-JAN-2020,68.9,68.75,69.45,68.4,1894825
08-JAN-2020,67.6,67.85,68.5,66.8,1572645
07-JAN-2020,69.05,68.55,69.9,67.85,1841065
06-JAN-2020,70.0,68.6,70.1,67.65,2189295
03-JAN-2020,70.8,70.7,71.1,70.0,1432268
02-JAN-2020,70.1,71.25,71.75,69.6,2310241
01-JAN-2020,70.1,70.45,71.1,69.6,1611534
31-DEC-2019,69.6,70.4,71.4,69.5,2871913
30-DEC-2019,71.75,69.75,71.75,69.5,2749884
27-DEC-2019,71.45,71.8,72.75,71.1,2886692
26-DEC-2019,69.4,70.95,71.8,68.6,2397295
24-DEC-2019,69.75,69.15,69.9,68.85,1315830
23-DEC-2019,69.9,69.6,70.3,68.85,1972983
20-DEC-2019,71.5,69.9,72.2,69.0,3206039
19-DEC-2019,71.7,71.45,72.0,70.5,2082189
18-DEC-2019,71.2,71.35,73.55,69.4,2478131
17-DEC-2019,71.4,71.25,72.3,70.8,1839246
16-DEC-2019,71.5,71.05,72.4,70.55,2650660
13-DEC-2019,69.15,70.9,71.3,69.1,4419601
12-DEC-2019,68.45,68.8,69.2,68.2,2218573
11-DEC-2019,67.15,68.05,68.35,65.85,2611531
10-DEC-2019,68.75,67.05,68.95,66.8,2186009
09-DEC-2019,68.05,68.3,69.5,67.25,2964339
06-DEC-2019,71.3,68.4,71.6,67.65,3078818
05-DEC-2019,72.4,70.95,73.35,70.5,3390760
04-DEC-2019,70.75,72.2,72.5,70.05,3921450
03-DEC-2019,75.0,71.4,75.25,70.85,2992850
02-DEC-2019,76.5,74.9,76.5,74.35,2888461
29-NOV-2019,77.0,75.9,77.95,75.5,4333117
28-NOV-2019,77.15,77.4,79.8,76.25,16993173
27-NOV-2019,75.25,76.85,77.4,74.8,9202396
26-NOV-2019,75.1,74.55,78.15,73.15,19932357
25-NOV-2019,73.15,74.6,74.85,72.7,7777899
22-NOV-2019,73.25,73.05,74.15,72.25,9925433
21-NOV-2019,74.45,73.15,74.85,72.85,7478130
20-NOV-2019,74.95,73.6,76.15,72.8,16356384
19-NOV-2019,71.5,74.1,75.4,70.8,20170328
18-NOV-2019,69.65,71.3,71.6,68.9,10705199
15-NOV-2019,66.6,69.35,71.25,66.6,19836274
14-NOV-2019,65.55,66.25,66.75,63.9,7293774
13-NOV-2019,67.2,65.5,67.75,65.0,5485479
11-NOV-2019,66.1,67.15,67.65,66.0,5110559
08-NOV-2019,68.0,66.45,69.2,66.1,8076600
07-NOV-2019,70.25,68.75,70.65,68.05,7872854
06-NOV-2019,70.3,69.95,70.9,68.65,12651773
05-NOV-2019,71.35,70.4,72.65,70.1,9819361
04-NOV-2019,71.25,71.35,73.15,71.0,13445702
01-NOV-2019,71.5,71.0,75.55,70.4,40226962
31-OCT-2019,72.0,71.25,72.65,70.9,14024205
30-OCT-2019,67.55,71.05,71.4,66.9,11650110
29-OCT-2019,65.9,67.2,68.5,65.5,6293802
27-OCT-2019,66.15,66.1,66.75,65.6,702637
25-OCT-2019,64.1,65.85,66.45,63.05,8463208
24-OCT-2019,66.65,64.05,67.2,63.1,8562173
