DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,1291.3,1282.5,1298.7,1273.0,761943
01-JUL-2020,1312.0,1285.0,1319.8,1271.6,902468
30-JUN-2020,1319.75,1306.2,1336.1,1301.0,559995
29-JUN-2020,1317.0,1312.4,1323.1,1290.7,995412
26-JUN-2020,1327.0,1325.6,1342.0,1317.65,464571
25-JUN-2020,1330.0,1319.05,1340.0,1312.0,604495
24-JUN-2020,1355.0,1331.4,1379.0,1325.0,841874
23-JUN-2020,1353.95,1347.05,1367.4,1327.05,956097
22-JUN-2020,1364.0,1342.5,1365.0,1334.55,686909
19-JUN-2020,1320.0,1343.55,1355.7,1314.6,1025604
18-JUN-2020,1315.0,1314.7,1323.6,1295.0,904556
17-JUN-2020,1313.1,1317.4,1345.3,1311.05,832565
16-JUN-2020,1354.0,1330.35,1368.35,1306.05,768864
15-JUN-2020,1368.0,1340.9,1386.35,1332.0,675250
12-JUN-2020,1275.0,1366.35,1373.7,1275.0,1057783
11-JUN-2020,1390.0,1340.0,1402.6,1334.25,1148021
10-JUN-2020,1400.0,1391.2,1407.35,1381.35,483226
09-JUN-2020,1402.0,1394.85,1428.0,1385.0,929446
08-JUN-2020,1427.55,1402.0,1452.9,1394.8,1218789
05-JUN-2020,1394.65,1414.25,1420.5,1385.0,725101
04-JUN-2020,1410.0,1394.65,1418.85,1370.5,1377354
03-JUN-2020,1448.0,1405.45,1464.4,1399.25,1221887
02-JUN-2020,1410.0,1433.1,1439.25,1403.45,2064231
01-JUN-2020,1339.9,1387.55,1398.75,1335.0,1450295
29-MAY-2020,1285.0,1325.6,1337.8,1283.0,1485617
28-MAY-2020,1310.05,1300.05,1328.45,1292.25,1388838
27-MAY-2020,1284.7,1320.85,1329.0,1255.35,1688613
26-MAY-2020,1260.0,1286.55,1299.0,1230.0,2297683
22-MAY-2020,1295.0,1274.7,1322.0,1267.35,1036091
21-MAY-2020,1325.0,1301.3,1342.8,1289.0,806319
20-MAY-2020,1280.0,1325.0,1333.85,1278.95,784299
19-MAY-2020,1282.35,1289.25,1307.5,1263.65,1229676
18-MAY-2020,1335.0,1282.25,1337.95,1273.05,1265790
15-MAY-2020,1372.0,1335.0,1372.0,1323.0,882864
14-MAY-2020,1370.0,1364.0,1385.8,1355.2,714738
13-MAY-2020,1350.0,1384.6,1392.0,1328.2,1343211
12-MAY-2020,1310.0,1323.75,1329.55,1286.05,614808
11-MAY-2020,1320.0,1321.0,1334.9,1301.3,1364779
08-MAY-2020,1291.85,1293.1,1314.6,1286.5,740511
07-MAY-2020,1313.9,1278.45,1314.0,1273.5,677378
06-MAY-2020,1270.0,1306.8,1318.0,1245.65,1180629
