DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,337.0,334.4,342.1,331.55,1795803
01-JUL-2020,322.0,337.35,341.7,321.0,6851171
30-JUN-2020,315.0,319.35,322.55,306.6,9499227
29-JUN-2020,350.0,316.5,353.6,309.25,9808566
26-JUN-2020,363.2,352.5,363.2,350.45,1246484
25-JUN-2020,351.95,357.45,365.0,348.15,1726134
24-JUN-2020,368.95,356.65,374.6,353.7,1634500
23-JUN-2020,373.15,368.95,377.8,367.0,1895011
22-JUN-2020,379.9,373.15,385.7,367.05,3190009
19-JUN-2020,363.9,375.8,379.8,361.55,3234212
18-JUN-2020,357.7,360.35,363.6,355.75,1479580
17-JUN-2020,346.7,358.15,363.9,344.5,3218428
16-JUN-2020,348.3,348.15,358.9,343.5,2349784
15-JUN-2020,351.0,340.5,351.2,337.05,1534878
12-JUN-2020,330.0,350.5,355.2,327.0,2224297
11-JUN-2020,354.5,353.35,363.55,349.45,1191137
10-JUN-2020,364.9,353.95,366.3,350.4,2361211
09-JUN-2020,373.0,362.15,378.9,356.15,5881891
08-JUN-2020,354.05,363.0,372.75,354.05,6093965
05-JUN-2020,345.6,349.05,350.0,341.8,2421775
04-JUN-2020,336.5,340.95,350.3,335.65,4237284
03-JUN-2020,336.25,334.45,344.75,331.1,2993273
02-JUN-2020,336.0,333.85,342.0,332.0,4370997
01-JUN-2020,332.9,334.2,338.9,328.0,3600488
29-MAY-2020,305.0,326.05,336.6,300.65,5943563
28-MAY-2020,291.3,306.95,310.4,290.0,4702998
27-MAY-2020,293.55,288.35,301.8,287.15,4310016
26-MAY-2020,290.0,291.7,294.9,286.7,1913305
22-MAY-2020,287.65,284.35,294.45,277.7,3357259
21-MAY-2020,284.35,291.6,296.0,281.55,3845052
20-MAY-2020,270.5,281.9,283.8,267.7,2514032
19-MAY-2020,273.6,270.6,281.3,269.0,2623792
18-MAY-2020,284.0,269.7,288.0,263.1,5345896
15-MAY-2020,279.1,277.3,280.75,271.15,3499251
14-MAY-2020,282.0,276.3,282.0,271.35,2984629
13-MAY-2020,299.0,285.3,303.35,282.95,6278981
12-MAY-2020,283.0,284.0,287.55,270.1,2888134
11-MAY-2020,280.8,286.55,295.9,280.75,4424434
08-MAY-2020,285.7,279.8,298.8,277.0,3936943
07-MAY-2020,284.0,278.15,292.5,276.4,2853200
06-MAY-2020,279.0,284.8,287.8,272.5,3620864
05-MAY-2020,276.0,279.15,283.9,270.3,4391954
04-MAY-2020,298.5,269.8,298.7,267.9,3450715
30-APR-2020,290.0,309.2,324.35,287.0,8508750
29-APR-2020,267.5,282.05,287.45,265.6,3470987
28-APR-2020,272.0,266.75,277.85,263.3,1615301
27-APR-2020,268.5,271.2,278.85,265.75,2874070
24-APR-2020,251.1,263.25,265.0,251.1,2241342
23-APR-2020,260.0,256.5,271.4,254.25,3012848
22-APR-2020,255.0,256.4,263.35,250.6,2497060
21-APR-2020,282.0,259.3,283.85,256.55,3072550
20-APR-2020,289.3,290.35,295.0,277.4,6400830
17-APR-2020,250.1,283.8,286.0,246.0,11341639
16-APR-2020,237.3,238.45,243.75,229.0,2238188
15-APR-2020,243.7,237.3,253.0,235.05,1875218
13-APR-2020,250.0,239.35,250.0,235.45,1008742
09-APR-2020,239.8,245.55,250.0,235.05,1893139
08-APR-2020,218.45,231.55,261.0,214.6,5030681
07-APR-2020,224.85,218.5,225.2,207.5,5465834
03-APR-2020,230.0,219.65,230.05,215.0,2286237
01-APR-2020,234.4,230.05,234.4,223.25,3183893
31-MAR-2020,249.95,234.95,253.55,231.05,2858267
30-MAR-2020,258.7,246.35,259.65,244.0,1963543
27-MAR-2020,291.25,264.1,297.75,255.4,1954228
26-MAR-2020,255.0,283.75,288.0,248.0,2370298
25-MAR-2020,246.65,253.65,261.6,237.85,1436123
24-MAR-2020,243.3,245.15,267.0,234.2,3289425
23-MAR-2020,279.0,245.75,284.0,242.6,1940415
20-MAR-2020,305.0,301.25,328.0,292.4,3649712
