DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,401.65,397.8,405.0,394.05,446745
01-JUL-2020,392.35,397.2,399.75,388.65,889353
30-JUN-2020,402.0,392.35,404.05,391.05,630969
29-JUN-2020,410.2,397.6,414.65,396.0,1149871
26-JUN-2020,410.9,410.6,417.4,405.5,1574985
25-JUN-2020,398.9,403.7,408.85,395.1,1189573
24-JUN-2020,403.0,401.1,416.6,399.05,1933479
23-JUN-2020,398.0,399.65,408.4,395.0,1215367
22-JUN-2020,380.0,396.65,400.5,377.3,1613249
19-JUN-2020,372.0,376.25,379.0,370.6,1894591
18-JUN-2020,383.0,369.65,383.0,368.35,2461538
17-JUN-2020,383.25,385.9,389.75,380.7,648350
16-JUN-2020,401.0,383.25,401.1,380.2,1204359
15-JUN-2020,388.0,393.5,401.1,386.05,1007594
12-JUN-2020,380.05,391.85,394.0,380.05,808426
11-JUN-2020,390.2,396.1,401.4,388.05,2027282
10-JUN-2020,393.0,390.9,393.35,384.25,607746
09-JUN-2020,401.0,390.4,407.0,387.05,1226112
08-JUN-2020,394.0,399.2,403.7,386.85,2236707
05-JUN-2020,379.0,384.35,395.6,376.0,2629754
04-JUN-2020,379.0,378.55,385.85,374.6,636163
03-JUN-2020,383.95,380.0,387.55,377.25,683131
02-JUN-2020,377.8,378.95,384.5,373.0,1365129
01-JUN-2020,379.95,374.75,392.45,372.35,2198709
29-MAY-2020,355.0,376.35,382.15,351.0,2468840
28-MAY-2020,348.5,359.7,361.4,342.75,948477
27-MAY-2020,343.5,345.05,347.0,338.45,891151
26-MAY-2020,334.0,340.75,342.5,330.0,807861
22-MAY-2020,335.3,329.7,339.1,326.55,933192
21-MAY-2020,333.0,337.5,343.65,328.05,721427
20-MAY-2020,325.55,333.3,334.85,324.0,910470
19-MAY-2020,322.0,326.95,332.0,315.95,2120543
18-MAY-2020,338.3,317.5,338.35,311.2,2742340
15-MAY-2020,351.95,338.35,353.0,335.0,5797111
14-MAY-2020,359.65,347.25,368.6,344.5,7244155
13-MAY-2020,366.0,362.65,374.65,361.15,2026539
12-MAY-2020,364.15,354.35,367.5,347.05,2190667
11-MAY-2020,358.85,368.95,375.7,358.55,1902973
08-MAY-2020,361.1,358.1,367.0,352.15,960318
07-MAY-2020,372.2,358.25,374.85,355.0,1013292
06-MAY-2020,370.0,369.85,379.25,358.4,2912933
05-MAY-2020,367.35,366.75,374.3,365.15,1427683
04-MAY-2020,358.0,373.0,382.0,354.0,2134801
30-APR-2020,379.0,377.5,382.0,371.0,1797179
29-APR-2020,394.55,378.95,395.85,375.0,1629667
28-APR-2020,371.05,386.25,388.45,363.65,2175035
27-APR-2020,382.0,369.65,382.0,358.5,2774768
24-APR-2020,420.95,384.95,426.55,377.25,1276331
23-APR-2020,414.5,419.15,424.2,405.0,1487449
22-APR-2020,404.25,411.55,414.0,399.0,783606
21-APR-2020,400.25,401.25,406.75,382.4,1674880
20-APR-2020,407.95,400.4,411.05,396.6,1361181
17-APR-2020,400.0,403.9,406.0,392.05,1229378
16-APR-2020,370.0,389.8,396.0,362.5,2037046
15-APR-2020,360.15,375.4,388.0,360.15,2314627
13-APR-2020,359.0,362.0,371.95,341.0,1997978
09-APR-2020,340.0,353.4,358.95,334.2,2857017
08-APR-2020,286.0,330.05,338.05,280.0,5604056
07-APR-2020,315.8,287.15,315.8,283.0,3777546
03-APR-2020,311.0,298.65,314.95,296.45,1396809
01-APR-2020,328.65,308.5,330.9,304.45,1195274
31-MAR-2020,340.0,326.7,347.95,322.75,1344531
30-MAR-2020,351.0,331.6,357.0,326.7,1364098
27-MAR-2020,390.0,357.6,395.0,348.2,668074
26-MAR-2020,372.0,379.3,389.7,365.2,793362
25-MAR-2020,390.0,369.75,392.9,365.8,1460575
24-MAR-2020,400.0,395.35,414.0,385.0,738512
23-MAR-2020,408.2,395.9,414.75,388.0,1744984
20-MAR-2020,421.5,422.15,436.4,414.9,1706018
19-MAR-2020,430.0,420.1,442.0,414.0,2095708
18-MAR-2020,449.05,441.7,451.2,431.55,461346
17-MAR-2020,430.0,446.55,460.0,417.3,898666
16-MAR-2020,437.0,437.65,443.35,415.8,787495
13-MAR-2020,410.0,447.8,453.9,404.0,463441
12-MAR-2020,465.0,448.3,465.0,418.5,1268931
11-MAR-2020,485.0,477.8,489.5,471.45,480834
09-MAR-2020,499.05,482.45,499.05,477.5,644253
06-MAR-2020,492.0,503.6,509.0,483.6,336317
05-MAR-2020,499.7,502.55,508.9,494.5,375385
04-MAR-2020,506.0,497.7,511.65,492.0,670122
03-MAR-2020,502.8,506.25,550.4,500.1,579484
02-MAR-2020,513.0,500.4,521.55,497.0,432302
28-FEB-2020,509.45,510.95,515.0,496.6,583329
27-FEB-2020,535.0,518.1,535.35,511.2,903380
26-FEB-2020,535.0,533.35,543.5,527.0,415081
25-FEB-2020,544.0,535.65,547.55,531.4,304682
24-FEB-2020,555.0,545.0,559.4,542.1,501427
20-FEB-2020,539.85,554.75,556.5,539.85,493528
19-FEB-2020,531.15,539.8,544.45,531.15,292470
18-FEB-2020,536.35,530.4,536.5,523.55,464714
17-FEB-2020,534.0,536.75,539.45,528.65,391945
14-FEB-2020,547.0,536.95,552.2,535.45,332513
13-FEB-2020,550.0,549.05,554.8,546.15,314176
12-FEB-2020,545.8,551.1,556.35,543.0,455991
11-FEB-2020,548.1,545.85,556.95,544.0,322707
10-FEB-2020,560.8,546.7,561.5,541.15,748649
07-FEB-2020,560.95,558.05,563.9,552.15,598230
06-FEB-2020,573.2,567.7,577.0,564.0,360422
05-FEB-2020,566.9,570.4,580.5,566.05,489017
04-FEB-2020,561.0,564.75,572.2,561.0,279291
03-FEB-2020,562.0,560.95,569.85,555.0,559415
01-FEB-2020,568.0,562.1,585.0,552.0,889597
31-JAN-2020,585.0,574.55,595.45,572.2,991940
30-JAN-2020,597.9,584.6,600.95,580.1,1929888
29-JAN-2020,624.0,601.2,652.8,594.0,18713513
28-JAN-2020,608.4,588.35,614.4,583.6,1051918
27-JAN-2020,594.0,605.25,608.95,590.15,1922343
24-JAN-2020,570.9,595.15,606.0,570.35,1515868
23-JAN-2020,587.0,569.35,587.0,568.0,608267
22-JAN-2020,579.9,584.15,587.65,579.9,215727
21-JAN-2020,580.0,580.4,592.0,578.7,361234
20-JAN-2020,581.7,584.15,588.9,573.0,425150
17-JAN-2020,595.45,578.9,597.1,577.45,470283
16-JAN-2020,582.0,591.8,597.25,582.0,749424
15-JAN-2020,593.8,580.35,595.0,577.05,541744
14-JAN-2020,591.85,593.45,598.8,589.45,298076
13-JAN-2020,591.9,590.4,592.4,586.0,242018
10-JAN-2020,593.3,588.1,600.9,584.15,603502
09-JAN-2020,579.1,592.25,596.7,579.1,788564
08-JAN-2020,567.85,578.4,582.7,564.25,574685
07-JAN-2020,576.0,573.55,582.85,570.5,620142
06-JAN-2020,570.3,570.7,581.7,562.4,880116
03-JAN-2020,572.5,573.0,589.65,565.0,1823916
02-JAN-2020,550.1,569.05,571.0,550.1,702328
01-JAN-2020,550.85,552.15,553.95,548.4,148568
31-DEC-2019,553.0,550.85,555.95,548.75,226406
30-DEC-2019,559.0,549.95,568.55,548.0,651196
27-DEC-2019,555.1,559.95,563.55,553.9,222476
26-DEC-2019,555.95,555.4,559.4,552.5,395366
24-DEC-2019,551.05,555.95,557.9,550.5,273424
23-DEC-2019,557.0,551.5,561.75,548.65,214842
20-DEC-2019,560.7,556.15,566.0,551.45,339617
19-DEC-2019,557.2,560.95,563.65,557.2,210520
18-DEC-2019,562.4,561.3,564.95,556.5,414344
17-DEC-2019,545.95,562.05,565.0,541.25,928497
16-DEC-2019,550.5,545.95,554.5,542.05,380512
13-DEC-2019,538.8,548.55,550.0,530.0,531553
12-DEC-2019,524.7,538.85,540.0,523.75,355078
11-DEC-2019,527.5,522.3,527.8,504.0,1262201
10-DEC-2019,528.0,527.5,535.5,526.2,543958
09-DEC-2019,520.0,527.15,532.3,515.3,342495
06-DEC-2019,540.9,520.7,542.4,519.4,841065
05-DEC-2019,539.9,539.35,546.05,537.0,332307
04-DEC-2019,534.0,537.65,539.1,527.5,219540
03-DEC-2019,540.0,532.75,541.75,527.45,281310
02-DEC-2019,543.25,539.7,544.95,535.35,259454
29-NOV-2019,548.0,542.25,552.0,538.0,826998
28-NOV-2019,560.6,547.3,564.75,544.65,1473537
27-NOV-2019,564.35,562.7,568.4,560.6,190085
26-NOV-2019,567.0,566.2,572.5,563.6,559467
25-NOV-2019,572.0,568.8,577.35,561.3,413320
