DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,3946.0,3920.55,3979.0,3901.0,742294
01-JUL-2020,3965.2,3911.45,3966.0,3885.85,623565
30-JUN-2020,4000.0,3944.95,4010.9,3925.5,680942
29-JUN-2020,3998.0,3973.85,4044.0,3958.75,538493
26-JUN-2020,4015.0,3998.6,4065.0,3965.0,743912
25-JUN-2020,4030.0,4006.6,4041.0,3976.55,753882
24-JUN-2020,4112.45,4042.65,4136.7,4028.3,535565
23-JUN-2020,4047.9,4108.85,4130.0,4040.1,960083
22-JUN-2020,4032.0,4032.85,4062.5,4010.9,531202
19-JUN-2020,4020.25,4005.6,4044.9,3992.0,730943
18-JUN-2020,4010.0,4007.0,4052.45,3992.0,722877
17-JUN-2020,4005.45,3985.2,4042.75,3972.0,637364
16-JUN-2020,4065.0,4005.45,4080.0,3952.75,780026
15-JUN-2020,4048.0,4012.3,4126.9,3960.6,1391915
12-JUN-2020,3992.0,4007.95,4036.6,3981.0,782308
11-JUN-2020,4113.0,4057.6,4127.95,4037.0,827516
10-JUN-2020,4145.0,4112.5,4190.0,4087.7,1553988
09-JUN-2020,3930.0,4123.8,4142.0,3930.0,2275180
08-JUN-2020,4034.9,3967.6,4034.9,3942.0,712014
05-JUN-2020,4019.45,4024.9,4050.0,3992.3,771006
04-JUN-2020,3959.9,3998.9,4057.0,3956.65,1199450
03-JUN-2020,3928.8,3962.4,3990.0,3911.25,738828
02-JUN-2020,3985.0,3895.3,4007.3,3886.0,1490210
01-JUN-2020,4077.6,3953.55,4092.35,3941.05,1369831
29-MAY-2020,3880.0,4071.25,4090.7,3869.3,1926274
28-MAY-2020,3895.0,3887.75,3910.8,3842.5,792562
27-MAY-2020,3864.75,3883.0,3900.0,3814.0,861668
26-MAY-2020,3899.0,3864.3,3939.0,3853.45,827396
22-MAY-2020,3840.6,3892.85,3910.0,3811.0,1010561
21-MAY-2020,3950.0,3847.5,3954.15,3825.5,1734433
20-MAY-2020,3720.9,3910.2,3930.0,3693.15,4216736
19-MAY-2020,3700.15,3699.6,3722.0,3660.1,935404
18-MAY-2020,3760.15,3679.15,3762.55,3613.85,990955
15-MAY-2020,3746.0,3735.1,3778.9,3717.05,899387
14-MAY-2020,3790.0,3732.0,3819.95,3718.6,897141
13-MAY-2020,3849.0,3779.6,3849.0,3735.1,878436
12-MAY-2020,3863.2,3773.4,3909.6,3759.15,1078501
11-MAY-2020,3977.8,3862.0,3977.8,3848.05,1194988
