DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,56.75,60.5,62.65,56.75,5069852
01-JUL-2020,63.0,59.7,63.0,59.7,1772035
30-JUN-2020,62.8,62.8,62.8,59.9,6666775
29-JUN-2020,59.75,59.85,59.85,54.6,8140231
26-JUN-2020,57.0,57.0,57.0,56.75,704665
25-JUN-2020,53.9,54.3,54.3,52.25,3202739
24-JUN-2020,52.5,51.75,52.5,50.0,7677307
23-JUN-2020,50.0,50.0,50.0,50.0,303011
22-JUN-2020,47.65,47.65,47.65,47.65,538828
19-JUN-2020,44.4,45.4,45.4,42.85,3683958
18-JUN-2020,41.6,43.25,43.6,40.55,2629225
17-JUN-2020,42.75,41.55,43.25,41.45,1778536
16-JUN-2020,43.95,42.55,44.7,41.3,2177406
15-JUN-2020,43.6,43.45,45.65,42.75,1727920
12-JUN-2020,42.1,43.5,43.9,42.1,1165086
11-JUN-2020,45.0,44.3,45.9,43.85,845901
10-JUN-2020,45.9,45.1,45.95,44.8,825066
09-JUN-2020,47.85,45.4,47.85,45.2,958368
08-JUN-2020,48.3,46.45,48.3,46.0,2241159
05-JUN-2020,45.0,46.0,47.0,44.9,1391139
04-JUN-2020,45.6,44.9,46.8,44.5,736462
03-JUN-2020,47.45,46.05,48.65,45.6,2005773
02-JUN-2020,47.85,46.7,48.45,46.4,827129
01-JUN-2020,47.45,47.4,48.35,46.6,2454008
29-MAY-2020,47.3,46.05,47.8,45.65,1264779
28-MAY-2020,47.3,47.5,48.65,46.3,1481476
27-MAY-2020,46.45,46.8,46.8,44.7,1279444
26-MAY-2020,43.0,44.6,44.6,41.8,1503219
22-MAY-2020,46.85,42.5,46.85,42.45,3295181
21-MAY-2020,44.65,44.65,44.65,44.65,545601
20-MAY-2020,42.35,42.55,42.55,41.45,762529
19-MAY-2020,43.15,40.55,43.15,40.0,1289468
18-MAY-2020,46.0,41.95,46.0,41.95,993924
15-MAY-2020,42.5,44.15,44.15,40.0,2199834
14-MAY-2020,45.0,42.05,46.45,42.05,3950176
13-MAY-2020,44.25,44.25,44.25,43.0,1211592
12-MAY-2020,40.7,42.15,42.15,38.25,3381082
11-MAY-2020,40.15,40.15,40.15,39.5,865406
08-MAY-2020,37.0,38.25,38.25,36.55,1961063
07-MAY-2020,35.5,36.45,36.75,34.2,1095940
06-MAY-2020,37.5,35.05,37.75,34.5,2753191
05-MAY-2020,37.85,36.0,38.6,36.0,2677375
04-MAY-2020,37.85,37.85,38.4,37.85,677044
30-APR-2020,39.2,39.8,40.75,39.2,3034777
29-APR-2020,37.65,38.85,39.5,37.0,1709275
28-APR-2020,38.2,37.65,38.3,36.3,873816
27-APR-2020,36.5,37.2,37.75,34.7,1851127
24-APR-2020,37.45,36.5,37.75,36.5,1065255
23-APR-2020,36.7,38.4,38.4,36.7,1706189
22-APR-2020,35.75,36.6,38.1,35.5,2038613
