DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,879.0,860.6,885.05,856.2,85673
01-JUL-2020,870.75,877.0,884.8,870.75,53155
30-JUN-2020,880.0,870.75,889.15,864.75,45996
29-JUN-2020,880.0,867.55,894.85,846.05,119662
26-JUN-2020,917.0,895.9,924.6,890.0,242850
25-JUN-2020,900.0,886.3,935.0,872.6,240419
24-JUN-2020,907.8,905.45,950.0,890.0,331463
23-JUN-2020,878.95,894.65,900.0,861.95,265744
22-JUN-2020,854.95,856.1,862.15,826.25,78506
19-JUN-2020,897.0,856.3,902.0,835.4,185770
18-JUN-2020,851.4,884.55,899.0,841.55,164431
17-JUN-2020,865.0,851.4,869.95,847.1,85937
16-JUN-2020,847.0,862.95,879.9,842.1,87067
15-JUN-2020,823.0,842.65,850.0,814.3,208154
12-JUN-2020,825.1,821.6,833.95,793.85,125844
11-JUN-2020,843.95,851.25,890.0,831.9,265073
10-JUN-2020,840.0,838.8,844.4,828.2,75837
09-JUN-2020,818.85,824.45,844.3,810.0,100378
08-JUN-2020,814.4,810.5,863.55,807.0,173091
05-JUN-2020,785.0,806.6,814.55,785.0,82939
04-JUN-2020,807.95,786.15,808.9,775.0,70766
03-JUN-2020,769.35,802.4,847.9,765.0,231816
02-JUN-2020,760.0,761.9,779.0,740.0,111120
01-JUN-2020,730.0,759.75,794.0,727.05,278325
29-MAY-2020,671.5,726.05,734.0,671.5,487562
28-MAY-2020,664.0,673.85,681.95,650.8,176455
27-MAY-2020,652.0,657.7,658.95,635.0,64555
26-MAY-2020,649.0,653.35,658.0,644.85,57720
22-MAY-2020,625.8,647.8,649.9,619.25,149379
21-MAY-2020,627.9,629.95,638.0,625.05,120411
20-MAY-2020,614.0,629.65,634.0,605.45,57598
19-MAY-2020,633.9,614.0,640.05,601.2,162397
18-MAY-2020,648.75,628.95,665.6,618.15,208179
15-MAY-2020,643.95,651.85,663.0,633.3,190832
14-MAY-2020,640.05,642.4,646.7,636.35,203103
13-MAY-2020,656.5,649.95,658.4,625.1,724834
12-MAY-2020,636.0,625.3,639.65,617.7,151078
11-MAY-2020,618.0,634.9,637.8,610.0,646015
08-MAY-2020,619.4,612.7,619.4,606.0,79753
07-MAY-2020,612.05,607.6,616.55,605.1,38913
06-MAY-2020,618.65,609.65,618.65,601.0,186719
05-MAY-2020,643.7,611.4,643.7,608.0,124175
