DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,77.45,74.95,78.0,74.0,3388648
01-JUL-2020,75.55,76.7,77.3,75.55,2450317
30-JUN-2020,82.6,75.4,82.95,75.0,8096433
29-JUN-2020,79.75,81.9,83.8,78.5,9327050
26-JUN-2020,76.7,79.9,80.75,76.4,11409751
25-JUN-2020,74.95,74.4,81.4,73.6,15623896
24-JUN-2020,72.8,72.45,76.1,70.65,4663291
23-JUN-2020,71.6,72.15,73.65,71.5,2113268
22-JUN-2020,67.9,71.05,72.25,67.7,3033842
19-JUN-2020,68.4,67.35,69.5,67.05,1147759
18-JUN-2020,65.0,67.95,70.0,64.8,3718125
17-JUN-2020,65.75,65.05,66.85,64.45,1789158
16-JUN-2020,70.0,65.9,70.4,65.1,1423425
15-JUN-2020,69.65,68.3,70.4,67.0,758782
12-JUN-2020,66.2,69.65,69.95,66.0,1243940
11-JUN-2020,73.95,68.85,74.6,66.5,4676810
10-JUN-2020,72.1,74.25,74.95,71.1,989046
09-JUN-2020,72.5,72.0,72.9,71.45,803769
08-JUN-2020,72.0,72.05,74.95,71.25,2137561
05-JUN-2020,72.0,70.8,72.1,69.0,3214458
04-JUN-2020,70.45,71.45,72.55,70.0,1627155
03-JUN-2020,66.5,70.4,71.55,66.0,4684563
02-JUN-2020,64.2,65.85,66.4,63.6,1258782
01-JUN-2020,64.1,63.95,65.85,63.8,1975437
29-MAY-2020,63.0,63.35,63.8,62.5,888924
28-MAY-2020,62.1,62.8,63.8,62.0,1119162
27-MAY-2020,61.5,61.7,62.4,61.25,515296
26-MAY-2020,61.55,61.2,62.3,61.05,458116
22-MAY-2020,62.2,61.2,63.15,61.0,399015
21-MAY-2020,60.55,62.4,63.4,60.55,566323
20-MAY-2020,61.0,61.35,62.5,60.55,408261
19-MAY-2020,62.6,61.0,63.0,60.5,517514
18-MAY-2020,65.2,61.35,65.75,61.1,1237958
15-MAY-2020,63.5,64.4,66.15,63.5,1189805
14-MAY-2020,64.0,63.35,68.4,62.7,2155657
13-MAY-2020,63.0,65.6,70.75,60.85,5033264
12-MAY-2020,62.4,59.85,62.4,59.5,594993
11-MAY-2020,63.5,61.15,63.8,61.0,1556339
08-MAY-2020,64.5,62.9,64.9,62.4,488064
07-MAY-2020,63.5,63.45,64.8,63.3,376737
06-MAY-2020,65.15,63.4,65.6,63.25,515973
05-MAY-2020,66.5,65.05,67.4,64.85,446364
04-MAY-2020,65.7,66.55,68.5,65.0,1210467
30-APR-2020,68.05,67.3,69.7,67.15,2177482
29-APR-2020,66.25,67.3,67.95,66.05,1540354
28-APR-2020,68.2,65.8,68.2,65.2,860266
27-APR-2020,69.0,67.5,69.75,67.2,1003814
24-APR-2020,68.0,68.75,72.8,67.0,2685402
23-APR-2020,66.85,68.8,69.7,66.25,1601224
22-APR-2020,66.45,66.2,66.7,63.9,735307
21-APR-2020,66.8,66.45,67.25,64.6,2830509
20-APR-2020,67.2,68.8,70.6,65.35,4086719
17-APR-2020,73.9,65.75,74.9,64.85,7290224
16-APR-2020,67.4,67.85,68.6,65.85,3139023
15-APR-2020,65.1,67.05,67.95,65.1,1134695
13-APR-2020,66.2,64.8,67.5,63.35,1051648
09-APR-2020,64.95,65.1,65.8,63.75,1084738
08-APR-2020,61.5,63.55,64.35,60.55,1315957
07-APR-2020,62.2,60.85,62.2,59.35,857224
03-APR-2020,58.5,59.45,60.1,57.65,2239125
01-APR-2020,60.05,59.05,60.25,57.65,1235149
31-MAR-2020,59.1,60.05,61.2,59.1,5071505
30-MAR-2020,59.0,59.4,59.95,54.0,1174947
27-MAR-2020,57.8,60.05,63.8,57.8,1677332
26-MAR-2020,57.8,57.0,59.0,55.8,1029777
25-MAR-2020,51.0,57.8,58.45,51.0,729759
24-MAR-2020,52.35,54.05,54.8,49.7,682406
23-MAR-2020,52.0,51.15,54.8,50.2,1426446
20-MAR-2020,56.0,57.1,58.45,53.6,1127264
19-MAR-2020,53.0,54.4,55.2,51.0,1238243
18-MAR-2020,55.7,55.05,57.9,51.25,1761826
17-MAR-2020,57.1,54.7,58.4,53.0,1000984
16-MAR-2020,60.0,57.0,60.0,56.75,1042372
13-MAR-2020,52.0,60.4,64.0,49.2,2707624
12-MAR-2020,65.75,61.5,66.0,58.6,2101865
11-MAR-2020,68.0,67.95,69.35,66.2,1186581
09-MAR-2020,70.65,67.4,70.65,66.1,1564478
06-MAR-2020,70.0,71.5,71.85,68.2,979565
05-MAR-2020,73.6,71.85,73.6,71.1,975196
04-MAR-2020,76.1,72.15,76.1,70.65,1546238
03-MAR-2020,72.5,75.7,76.0,72.5,1676172
02-MAR-2020,72.0,72.1,72.95,70.85,1016041
28-FEB-2020,72.45,70.0,72.45,69.75,2747508
27-FEB-2020,75.0,73.25,75.8,71.0,1460715
26-FEB-2020,80.4,74.95,80.65,74.5,1564697
25-FEB-2020,82.25,80.7,82.95,80.35,652872
24-FEB-2020,81.9,81.75,82.65,80.6,645029
20-FEB-2020,83.6,81.9,83.6,81.45,933445
19-FEB-2020,79.5,83.45,83.9,79.5,1546497
18-FEB-2020,81.85,78.85,81.85,78.3,1630331
17-FEB-2020,84.55,81.85,84.8,80.7,1395363
14-FEB-2020,86.05,84.65,86.5,84.1,1964967
13-FEB-2020,90.15,89.1,90.75,88.7,1293055
12-FEB-2020,90.05,89.9,90.5,89.55,3149311
11-FEB-2020,92.35,90.0,92.65,89.6,1675241
10-FEB-2020,92.5,91.85,92.75,91.2,941386
07-FEB-2020,93.65,91.95,94.1,91.8,1361944
06-FEB-2020,97.8,92.95,99.5,92.7,4018133
05-FEB-2020,92.95,94.55,96.25,92.6,739849
04-FEB-2020,91.35,92.5,92.85,90.0,454307
03-FEB-2020,91.9,91.1,92.45,90.55,387215
01-FEB-2020,91.0,91.85,94.95,90.55,807406
31-JAN-2020,95.95,91.5,96.6,90.7,1704006
30-JAN-2020,97.2,95.7,97.4,95.2,684607
29-JAN-2020,99.2,96.75,99.4,96.5,1140613
28-JAN-2020,100.25,98.6,100.3,98.1,543369
27-JAN-2020,99.45,99.45,101.15,99.1,525129
24-JAN-2020,100.0,100.1,101.5,99.9,735381
23-JAN-2020,99.5,100.5,101.0,99.2,493702
22-JAN-2020,100.55,99.25,100.8,99.0,411354
21-JAN-2020,100.8,100.0,101.55,99.6,513578
20-JAN-2020,102.15,101.55,103.25,101.3,616203
17-JAN-2020,102.8,101.75,103.1,101.3,818279
16-JAN-2020,104.0,102.55,105.0,102.2,876271
15-JAN-2020,99.95,103.5,104.35,99.75,1866528
14-JAN-2020,102.0,99.95,102.3,99.75,571858
13-JAN-2020,102.0,101.6,102.6,100.65,542959
10-JAN-2020,100.3,101.45,102.5,99.65,1445972
09-JAN-2020,98.25,99.85,100.6,97.45,1575032
08-JAN-2020,97.85,97.3,98.6,97.0,537785
07-JAN-2020,98.5,98.85,99.65,98.5,353276
06-JAN-2020,100.1,98.4,100.25,97.8,597667
03-JAN-2020,99.45,100.05,101.4,99.0,898230
02-JAN-2020,99.0,99.2,100.25,98.35,1564150
01-JAN-2020,99.35,98.75,99.65,98.6,429657
31-DEC-2019,98.9,99.0,99.9,98.55,786055
30-DEC-2019,100.25,98.35,101.0,97.5,1027635
27-DEC-2019,101.15,99.65,101.7,99.4,1072949
26-DEC-2019,101.25,100.85,101.75,100.55,305841
24-DEC-2019,101.2,100.8,101.9,100.5,448315
23-DEC-2019,103.0,101.05,104.35,99.8,1905734
20-DEC-2019,103.0,104.0,104.5,102.55,1014284
19-DEC-2019,101.4,103.5,103.8,101.05,557019
18-DEC-2019,103.55,101.8,103.6,101.5,556700
17-DEC-2019,104.35,103.15,104.55,102.15,397539
16-DEC-2019,105.2,104.0,105.7,103.6,311825
13-DEC-2019,105.25,104.5,106.35,103.8,394129
12-DEC-2019,102.6,104.8,105.25,102.5,641589
11-DEC-2019,100.9,101.9,102.75,99.4,664786
10-DEC-2019,103.65,100.9,104.1,100.25,2313936
09-DEC-2019,103.25,103.05,104.15,102.8,2513759
06-DEC-2019,103.7,102.85,104.35,102.5,342759
05-DEC-2019,103.55,103.3,103.95,102.9,381722
04-DEC-2019,103.3,103.3,104.5,102.5,425649
03-DEC-2019,104.5,103.25,104.7,102.7,1863496
02-DEC-2019,106.0,104.0,106.0,103.6,532190
29-NOV-2019,104.0,105.75,106.0,104.0,832858
28-NOV-2019,105.0,103.6,106.35,103.0,1028148
27-NOV-2019,104.2,105.05,105.4,102.8,657052
26-NOV-2019,104.8,103.7,105.65,102.8,560653
25-NOV-2019,104.0,104.1,105.25,103.4,588901
22-NOV-2019,104.6,103.7,104.65,102.5,682952
21-NOV-2019,104.15,104.0,104.8,103.1,505730
20-NOV-2019,105.6,104.4,105.65,103.55,899657
19-NOV-2019,102.85,104.35,104.95,102.6,1799214
18-NOV-2019,102.55,102.85,103.85,102.25,605346
15-NOV-2019,104.2,102.0,105.3,101.8,938650
14-NOV-2019,102.4,104.15,105.5,101.5,2054131
13-NOV-2019,108.3,101.75,108.3,101.5,1634693
11-NOV-2019,105.9,107.7,108.6,105.75,1129971
08-NOV-2019,110.95,105.55,113.5,104.85,1624492
07-NOV-2019,113.4,110.85,115.5,110.55,757911
06-NOV-2019,115.5,112.75,116.7,111.85,1474514
05-NOV-2019,119.5,115.3,119.5,112.8,2120549
04-NOV-2019,121.65,118.9,123.0,118.4,1297534
01-NOV-2019,120.15,121.55,122.8,119.0,1354349
31-OCT-2019,118.0,119.6,121.65,117.5,3139623
30-OCT-2019,112.0,117.6,119.4,112.0,3665371
29-OCT-2019,110.95,111.05,111.5,110.0,871643
27-OCT-2019,109.8,109.55,110.35,109.0,94118
25-OCT-2019,110.0,109.3,110.6,108.55,634448
24-OCT-2019,108.9,109.8,110.7,108.75,1787079
23-OCT-2019,107.4,108.8,109.7,107.2,1842859
22-OCT-2019,108.6,107.1,109.85,106.15,1101637
18-OCT-2019,107.5,108.7,114.7,107.1,4156403
17-OCT-2019,107.2,107.05,109.0,106.5,1225319
16-OCT-2019,109.4,106.6,109.4,105.75,950758
15-OCT-2019,106.15,107.25,107.65,105.6,858989
14-OCT-2019,111.4,105.6,112.75,104.5,2480830
11-OCT-2019,111.3,110.95,113.25,110.5,1168957
10-OCT-2019,109.3,111.0,111.5,109.2,1481244
09-OCT-2019,106.7,109.0,109.95,106.2,1731705
07-OCT-2019,109.4,106.9,111.45,106.0,2048369
04-OCT-2019,112.8,108.85,113.45,107.75,2059433
03-OCT-2019,113.8,112.2,114.5,111.1,1163032
01-OCT-2019,117.5,114.45,118.8,113.1,874059
30-SEP-2019,118.5,117.35,120.45,116.5,1705753
27-SEP-2019,115.8,118.1,119.5,114.25,1461194
26-SEP-2019,108.65,118.0,120.8,108.65,6236171
25-SEP-2019,111.0,109.9,114.3,108.4,2512329
24-SEP-2019,118.25,112.2,118.65,111.05,3494775
23-SEP-2019,116.2,117.9,122.45,116.2,2317808
20-SEP-2019,108.55,114.3,117.85,107.7,3331619
19-SEP-2019,109.5,109.35,111.2,107.25,1203845
18-SEP-2019,109.45,109.15,111.0,107.1,1065337
17-SEP-2019,113.0,108.8,115.75,108.0,5585310
16-SEP-2019,112.45,112.8,114.35,111.6,1004232
13-SEP-2019,112.8,112.85,113.75,109.7,1613539
12-SEP-2019,112.5,112.25,114.8,111.7,1624352
11-SEP-2019,110.6,112.35,113.5,110.35,1700031
09-SEP-2019,108.2,110.6,111.85,107.9,2283012
