DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,183.5,188.9,192.45,183.05,776024
01-JUL-2020,184.4,183.3,186.0,181.0,241144
30-JUN-2020,184.6,182.95,186.0,181.2,209529
29-JUN-2020,188.0,183.25,188.15,182.0,266621
26-JUN-2020,190.35,188.1,191.8,187.6,240197
25-JUN-2020,188.1,187.5,191.5,185.95,325366
24-JUN-2020,200.9,192.1,202.0,190.5,767374
23-JUN-2020,190.45,197.05,198.25,187.2,693917
22-JUN-2020,188.25,188.85,190.9,188.0,277253
19-JUN-2020,190.55,186.9,193.8,185.5,420691
18-JUN-2020,182.0,188.0,190.0,180.25,426935
17-JUN-2020,184.1,182.2,185.35,182.0,369092
16-JUN-2020,190.9,184.65,192.75,181.0,289342
15-JUN-2020,187.7,186.8,194.65,185.5,288078
12-JUN-2020,184.1,187.95,189.0,183.55,499057
11-JUN-2020,199.0,193.2,202.2,192.0,366659
10-JUN-2020,194.5,199.75,202.0,193.25,875252
09-JUN-2020,216.9,203.4,219.85,203.4,1015401
08-JUN-2020,217.0,214.1,220.9,210.0,958475
05-JUN-2020,204.0,212.5,212.5,201.05,1534520
04-JUN-2020,195.5,202.4,204.0,193.45,845088
03-JUN-2020,202.0,195.6,202.9,195.0,565674
02-JUN-2020,194.4,199.15,200.9,191.3,902642
01-JUN-2020,186.9,191.4,191.4,184.9,909164
29-MAY-2020,183.5,182.3,190.0,181.0,701491
28-MAY-2020,181.7,183.1,186.0,181.05,221567
27-MAY-2020,179.5,181.7,187.55,177.0,570230
26-MAY-2020,179.55,178.65,181.6,178.0,122222
22-MAY-2020,182.0,179.65,185.0,178.0,244809
21-MAY-2020,183.25,180.95,186.8,180.0,254382
20-MAY-2020,181.0,182.4,186.0,178.0,258293
19-MAY-2020,182.0,179.25,183.0,178.0,164010
18-MAY-2020,189.55,180.95,189.55,180.0,279803
15-MAY-2020,187.0,187.65,189.5,181.25,300166
14-MAY-2020,182.5,184.55,188.0,182.0,307900
13-MAY-2020,187.7,187.05,188.0,181.25,500967
12-MAY-2020,182.25,179.05,182.25,174.5,369517
11-MAY-2020,188.9,182.25,198.3,180.5,1059805
08-MAY-2020,200.0,188.9,201.0,188.15,388782
07-MAY-2020,200.2,196.35,202.2,195.15,279449
06-MAY-2020,207.3,200.0,207.3,197.0,478149
05-MAY-2020,211.0,206.1,211.95,204.0,1599220
04-MAY-2020,197.9,201.9,211.0,197.9,1246827
30-APR-2020,220.8,208.3,223.4,207.0,1415211
29-APR-2020,195.25,215.75,215.75,195.25,3722937
28-APR-2020,205.5,205.5,205.5,205.5,90864
27-APR-2020,216.3,216.3,216.3,216.3,55455
24-APR-2020,251.55,227.65,251.55,227.65,845619
23-APR-2020,238.0,239.6,239.6,232.0,531146
22-APR-2020,228.2,228.2,228.2,218.5,800764
21-APR-2020,217.35,217.35,217.35,211.0,691214
20-APR-2020,207.0,207.0,207.0,207.0,47218
17-APR-2020,197.15,197.15,197.15,197.15,55848
16-APR-2020,184.0,187.8,187.8,179.0,222968
15-APR-2020,178.9,178.9,178.9,172.0,398973
13-APR-2020,170.4,170.4,170.4,155.3,805529
09-APR-2020,162.3,162.3,162.3,162.3,70593
08-APR-2020,154.6,154.6,154.6,154.6,43375
07-APR-2020,147.25,147.25,147.25,147.25,62694
03-APR-2020,140.25,140.25,140.25,135.15,384287
01-APR-2020,133.6,133.6,133.6,133.6,169693
31-MAR-2020,124.9,127.25,127.25,122.0,354758
30-MAR-2020,117.0,121.2,122.95,113.5,402953
27-MAR-2020,115.0,117.5,117.5,113.3,479669
26-MAR-2020,115.0,111.95,117.25,110.35,715010
25-MAR-2020,106.4,111.7,111.7,103.0,547115
24-MAR-2020,114.95,106.4,119.4,104.0,539101
23-MAR-2020,119.9,114.95,120.85,114.95,413242
20-MAR-2020,130.0,129.7,135.8,125.0,1041246
19-MAR-2020,139.6,130.7,140.0,130.25,870130
18-MAR-2020,160.0,144.7,164.0,143.0,674106
17-MAR-2020,153.0,157.6,163.2,153.0,741320
16-MAR-2020,144.8,152.7,160.5,142.0,1125122
13-MAR-2020,136.3,149.9,156.0,128.0,1875192
12-MAR-2020,166.0,159.95,178.0,158.1,1175914
11-MAR-2020,185.0,189.3,195.3,183.1,1205177
09-MAR-2020,205.0,188.95,213.95,187.0,1263324
06-MAR-2020,218.0,213.7,219.0,212.35,857916
05-MAR-2020,235.0,227.55,237.1,226.0,773413
04-MAR-2020,238.0,231.75,239.9,220.2,1032965
03-MAR-2020,234.7,236.05,239.9,226.55,1183554
02-MAR-2020,227.0,228.6,250.85,223.5,2896208
28-FEB-2020,232.0,223.05,235.0,222.0,904918
27-FEB-2020,253.0,241.0,254.9,240.0,945633
26-FEB-2020,255.0,255.05,266.65,253.2,1104550
25-FEB-2020,261.05,255.45,264.7,254.0,608834
24-FEB-2020,266.0,260.95,266.85,260.15,490735
20-FEB-2020,274.7,267.55,275.05,266.1,708943
19-FEB-2020,268.0,274.05,276.9,266.1,1045303
18-FEB-2020,266.0,263.55,266.0,260.0,859605
17-FEB-2020,275.0,267.1,275.0,266.05,1338108
14-FEB-2020,292.95,283.1,294.4,275.7,1892032
13-FEB-2020,292.0,292.95,295.0,290.0,725498
12-FEB-2020,292.25,290.25,295.7,286.7,1831104
11-FEB-2020,320.0,307.2,320.75,306.05,1225589
10-FEB-2020,318.7,319.2,329.8,316.0,3673110
07-FEB-2020,312.75,318.8,321.75,310.4,3251296
06-FEB-2020,303.9,309.15,312.2,301.25,1426910
05-FEB-2020,300.75,303.1,304.85,299.15,1012749
04-FEB-2020,291.3,299.25,300.95,288.55,886876
03-FEB-2020,288.0,286.25,293.9,280.55,755739
01-FEB-2020,296.0,288.3,300.1,286.2,618686
31-JAN-2020,302.5,298.4,304.0,296.0,851755
30-JAN-2020,305.05,300.1,306.05,299.1,559439
29-JAN-2020,306.75,305.0,309.0,303.0,632546
28-JAN-2020,309.0,304.75,312.0,303.0,789151
27-JAN-2020,314.9,308.7,316.0,308.0,1068425
24-JAN-2020,325.75,318.1,327.2,317.0,1474018
23-JAN-2020,316.45,323.15,325.8,313.2,2260357
22-JAN-2020,313.0,316.0,327.65,313.0,4267542
21-JAN-2020,306.0,305.45,309.55,304.0,1130712
20-JAN-2020,317.0,308.8,318.45,307.6,1269925
17-JAN-2020,315.0,315.7,324.8,313.6,4430725
16-JAN-2020,302.0,313.5,315.8,300.35,5214258
15-JAN-2020,301.6,300.25,304.7,297.3,1227424
14-JAN-2020,300.0,301.4,304.35,298.0,1288503
13-JAN-2020,301.2,297.1,302.55,296.15,957273
10-JAN-2020,298.95,298.3,309.0,296.9,2442990
09-JAN-2020,296.0,297.85,303.9,294.6,1977076
08-JAN-2020,289.15,291.95,295.75,288.0,821444
07-JAN-2020,298.2,296.75,302.0,294.0,801106
06-JAN-2020,306.8,294.95,307.6,293.0,1350305
03-JAN-2020,309.0,309.2,318.9,308.2,3316089
02-JAN-2020,307.35,310.55,314.65,306.65,2172895
01-JAN-2020,303.7,306.5,310.7,302.15,1127394
31-DEC-2019,306.0,303.25,307.0,302.6,637843
30-DEC-2019,306.0,306.15,308.5,303.0,868221
27-DEC-2019,305.95,304.55,309.9,302.55,811471
26-DEC-2019,306.3,304.85,309.0,304.0,717150
24-DEC-2019,307.8,305.85,310.8,303.8,791400
23-DEC-2019,308.0,307.0,310.75,303.0,721539
20-DEC-2019,310.0,308.6,320.9,306.6,2192957
19-DEC-2019,308.75,310.1,316.25,306.2,1789923
18-DEC-2019,306.0,309.25,312.9,305.25,1581257
17-DEC-2019,307.3,307.2,311.0,305.15,945922
16-DEC-2019,308.0,304.5,311.2,302.5,1659520
13-DEC-2019,315.95,307.25,316.9,306.0,959109
12-DEC-2019,308.95,314.45,322.5,304.25,1876540
11-DEC-2019,296.5,307.45,309.5,295.8,906817
10-DEC-2019,307.6,299.3,308.95,297.0,518038
09-DEC-2019,305.7,307.8,311.3,302.0,683066
06-DEC-2019,315.0,305.6,317.4,303.2,1265053
05-DEC-2019,301.0,313.35,314.9,300.65,2272998
04-DEC-2019,296.0,300.9,304.0,293.0,1127148
03-DEC-2019,299.0,296.6,303.2,294.25,1513870
02-DEC-2019,323.0,299.75,324.85,298.0,2406499
29-NOV-2019,326.0,326.1,335.4,321.25,1978835
28-NOV-2019,334.5,327.25,337.4,324.1,2493585
27-NOV-2019,318.75,331.65,335.4,311.6,4360553
26-NOV-2019,318.0,315.9,324.4,308.7,1848816
25-NOV-2019,316.8,316.2,320.45,311.1,1642693
22-NOV-2019,303.0,315.85,324.0,303.0,4024497
21-NOV-2019,304.75,302.3,306.4,298.3,673603
20-NOV-2019,303.0,303.65,308.95,299.15,1001838
19-NOV-2019,297.1,301.95,304.0,297.1,1015459
18-NOV-2019,298.2,295.2,304.0,293.3,1092814
15-NOV-2019,304.0,298.15,307.6,296.7,1191039
14-NOV-2019,307.0,304.7,310.4,298.35,2013468
13-NOV-2019,301.25,308.55,313.9,298.2,2670091
11-NOV-2019,301.7,301.25,305.5,298.0,882491
08-NOV-2019,308.0,302.45,314.45,300.25,2336788
07-NOV-2019,299.0,307.0,310.0,296.1,1989859
06-NOV-2019,295.7,297.9,305.6,295.5,1809069
05-NOV-2019,301.8,295.75,305.9,293.65,1657068
04-NOV-2019,290.75,299.3,310.9,288.05,3854173
01-NOV-2019,284.9,288.55,293.8,283.8,1462808
31-OCT-2019,283.0,284.9,289.9,281.65,1276788
30-OCT-2019,294.5,282.7,299.3,278.5,3352904
