DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,34.0,33.25,34.3,32.7,3519041
01-JUL-2020,34.9,33.55,34.95,32.9,4800803
30-JUN-2020,35.0,34.75,36.6,33.8,16632700
29-JUN-2020,33.45,33.45,33.45,31.65,18452304
26-JUN-2020,28.1,27.9,28.35,27.6,2172808
25-JUN-2020,27.1,27.75,28.45,27.0,2694177
24-JUN-2020,28.35,27.5,28.85,27.15,4247351
23-JUN-2020,27.25,27.95,28.25,27.0,3356794
22-JUN-2020,26.25,27.0,27.6,26.1,4599410
19-JUN-2020,26.0,25.95,26.75,25.65,2851487
18-JUN-2020,25.2,25.8,26.25,25.05,3486675
17-JUN-2020,24.15,25.2,25.65,23.8,3188760
16-JUN-2020,24.95,24.3,25.25,23.8,1857342
15-JUN-2020,24.55,24.45,24.75,24.1,1708625
12-JUN-2020,23.45,24.45,24.75,23.45,2118805
11-JUN-2020,25.65,24.8,26.0,24.7,1823540
10-JUN-2020,25.45,25.55,26.1,25.0,2711870
09-JUN-2020,26.55,25.35,26.8,25.2,2880833
08-JUN-2020,25.65,26.35,26.8,24.9,6960559
05-JUN-2020,24.3,24.75,25.2,23.95,2787407
04-JUN-2020,24.45,24.05,24.9,23.8,1187663
03-JUN-2020,24.8,24.55,25.2,24.3,1650159
02-JUN-2020,23.6,24.55,25.8,23.4,4283254
01-JUN-2020,23.3,23.55,24.15,23.05,1752352
29-MAY-2020,22.75,22.95,23.3,22.55,1098863
28-MAY-2020,23.0,22.9,23.25,22.8,879761
27-MAY-2020,22.1,22.85,23.65,21.7,2263741
26-MAY-2020,22.15,21.95,22.35,21.7,982384
22-MAY-2020,22.5,22.15,22.8,22.05,1034436
21-MAY-2020,22.9,22.5,23.05,22.4,764119
20-MAY-2020,22.75,22.7,23.0,22.4,1088568
19-MAY-2020,23.05,22.7,23.5,22.5,730587
18-MAY-2020,24.55,22.8,24.75,22.35,1344915
15-MAY-2020,24.4,24.4,25.6,24.1,5184743
14-MAY-2020,23.6,23.55,24.3,23.1,1827555
