DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,226.05,225.3,233.0,221.55,44146532
01-JUL-2020,209.0,220.15,232.4,203.8,76081142
30-JUN-2020,224.0,207.15,224.0,204.35,34683637
29-JUN-2020,223.9,216.65,228.25,208.55,34077360
26-JUN-2020,233.0,227.65,239.4,217.65,46062583
25-JUN-2020,200.0,227.3,239.2,197.45,83054546
24-JUN-2020,243.1,208.1,245.9,193.8,49609285
23-JUN-2020,251.0,240.3,263.25,235.4,60999868
22-JUN-2020,219.8,242.2,254.25,215.8,85316152
19-JUN-2020,157.4,203.4,209.45,156.85,97952166
18-JUN-2020,152.0,155.15,157.5,151.75,16133130
17-JUN-2020,148.85,152.25,157.4,148.2,19248961
16-JUN-2020,158.9,152.35,160.9,144.5,24450954
15-JUN-2020,153.0,153.5,159.4,150.3,27221400
12-JUN-2020,141.0,153.45,155.65,141.0,28396266
11-JUN-2020,160.95,153.2,165.35,152.3,31528222
10-JUN-2020,145.0,161.8,164.7,144.5,58876004
09-JUN-2020,155.0,144.5,156.6,141.4,44235724
08-JUN-2020,134.8,149.0,152.3,132.8,54829372
05-JUN-2020,129.7,130.25,131.9,127.0,15448489
04-JUN-2020,128.65,127.75,133.5,125.8,15509760
03-JUN-2020,129.0,128.65,135.65,128.0,18711524
02-JUN-2020,128.4,126.8,130.3,124.7,12604546
01-JUN-2020,125.0,127.95,131.0,124.0,19158887
29-MAY-2020,118.5,122.15,122.75,117.2,15758920
28-MAY-2020,123.0,120.8,126.0,119.65,14826633
27-MAY-2020,115.9,121.8,123.95,115.65,24535873
26-MAY-2020,117.45,115.2,118.45,113.8,10997051
22-MAY-2020,121.35,115.65,123.65,114.5,20933876
21-MAY-2020,124.25,121.8,126.65,120.45,12315999
20-MAY-2020,119.4,124.25,125.8,118.55,19927344
19-MAY-2020,122.05,120.4,124.6,117.8,23666527
18-MAY-2020,131.9,118.95,131.9,117.2,28889485
15-MAY-2020,132.0,133.45,134.8,128.55,26315671
14-MAY-2020,135.0,131.4,144.9,130.05,52923719
13-MAY-2020,129.0,136.6,139.65,125.35,53863608
12-MAY-2020,120.0,119.0,120.3,112.7,21614886
11-MAY-2020,126.0,122.5,126.4,121.15,12572128
08-MAY-2020,128.9,123.25,131.5,121.7,17380354
07-MAY-2020,125.0,125.2,130.9,123.55,17037471
06-MAY-2020,120.05,123.55,126.0,118.3,18027087
05-MAY-2020,125.0,118.9,127.2,117.4,19456656
04-MAY-2020,124.5,121.4,126.4,119.55,13681171
30-APR-2020,130.7,132.7,134.9,127.4,30143670
29-APR-2020,119.0,126.9,132.4,117.35,67875312
28-APR-2020,117.65,117.1,120.0,114.6,21753321
27-APR-2020,115.0,115.65,120.5,114.0,21438480
24-APR-2020,114.0,112.95,118.4,111.0,19607985
23-APR-2020,115.55,119.45,121.0,115.0,22783589
22-APR-2020,114.0,115.55,117.5,108.0,35037242
21-APR-2020,120.0,115.9,122.35,113.15,37693411
20-APR-2020,131.75,129.0,132.9,123.1,51746746
17-APR-2020,116.9,125.35,127.55,111.55,82091441
16-APR-2020,90.2,106.3,110.1,90.15,54680482
15-APR-2020,94.1,91.75,97.75,90.5,24767179
13-APR-2020,98.0,93.85,98.45,88.5,22430423
09-APR-2020,98.0,98.3,100.4,97.05,18750464
08-APR-2020,96.5,96.85,102.45,95.05,21733148
07-APR-2020,101.8,98.1,102.35,96.7,20705898
03-APR-2020,98.5,96.65,99.0,93.5,14992859
01-APR-2020,98.3,99.35,105.0,97.05,23202437
31-MAR-2020,94.9,96.75,99.15,92.05,16347786
30-MAR-2020,89.45,91.35,92.85,85.6,15501833
27-MAR-2020,100.0,90.9,109.95,89.25,39854408
26-MAR-2020,95.05,95.65,104.0,88.15,38589269
25-MAR-2020,85.1,95.05,97.0,83.2,21242198
24-MAR-2020,105.0,90.2,105.85,88.15,22819512
23-MAR-2020,81.75,96.25,99.85,81.75,41121252
20-MAR-2020,93.0,90.8,115.5,81.0,132895939
19-MAR-2020,122.0,89.75,126.65,81.4,73987041
18-MAR-2020,164.7,135.45,170.0,113.55,38342299
17-MAR-2020,154.05,160.1,174.95,150.1,35348766
16-MAR-2020,152.1,153.6,164.7,150.0,23092893
13-MAR-2020,147.25,163.6,177.0,140.0,37208693
12-MAR-2020,176.0,163.6,176.0,131.5,49634997
11-MAR-2020,206.65,195.55,218.95,186.5,55647200
09-MAR-2020,229.05,213.65,229.05,203.8,40079590
06-MAR-2020,256.95,254.5,258.9,243.2,43258904
05-MAR-2020,288.9,285.45,300.0,280.3,40814937
04-MAR-2020,296.0,282.9,297.85,270.45,40968496
03-MAR-2020,295.0,292.55,303.8,283.4,47549484
02-MAR-2020,307.8,284.4,349.75,279.0,70157790
28-FEB-2020,303.2,279.85,306.3,275.85,37439449
27-FEB-2020,326.0,316.7,328.2,308.2,30595992
26-FEB-2020,324.6,321.5,334.7,315.65,31030962
25-FEB-2020,337.5,324.7,344.0,318.35,35753585
24-FEB-2020,335.0,330.85,350.8,326.0,40567458
20-FEB-2020,304.0,338.2,359.75,301.3,70436641
19-FEB-2020,306.0,305.45,313.35,302.85,19471833
18-FEB-2020,307.95,300.05,307.95,293.3,18991374
17-FEB-2020,320.7,307.75,324.4,306.2,16954075
14-FEB-2020,329.0,320.8,334.45,318.7,19506457
13-FEB-2020,340.0,327.0,342.4,324.05,24055205
12-FEB-2020,343.35,339.75,355.45,322.35,59833683
11-FEB-2020,328.0,344.95,361.0,326.5,62386677
10-FEB-2020,316.9,323.0,328.0,315.5,22946515
07-FEB-2020,316.0,321.4,329.0,311.6,42832351
06-FEB-2020,272.9,318.95,326.4,268.2,103611027
05-FEB-2020,279.0,276.7,284.15,271.5,20690497
04-FEB-2020,260.0,276.85,283.2,257.3,35923574
03-FEB-2020,278.3,256.6,288.0,250.2,32693890
01-FEB-2020,306.8,278.3,318.5,268.2,25788425
31-JAN-2020,311.9,306.4,314.0,304.5,16975776
30-JAN-2020,317.0,307.95,318.5,304.75,16361804
29-JAN-2020,324.8,315.15,328.4,313.7,16348765
28-JAN-2020,325.0,320.2,331.2,317.6,19196983
27-JAN-2020,318.3,322.95,329.7,317.05,20153251
24-JAN-2020,319.95,322.6,326.4,316.6,26672842
23-JAN-2020,296.65,312.1,317.6,296.6,30483567
22-JAN-2020,305.3,296.3,305.95,295.0,12620677
21-JAN-2020,292.8,301.15,305.8,291.55,16104115
20-JAN-2020,306.65,294.4,307.85,292.5,15176534
17-JAN-2020,306.4,304.65,311.0,303.15,11410286
16-JAN-2020,312.4,307.5,314.5,306.2,12825085
15-JAN-2020,308.0,311.45,316.45,301.6,22683327
14-JAN-2020,315.45,307.35,316.75,306.15,16269491
13-JAN-2020,316.0,313.5,319.0,308.75,16329816
10-JAN-2020,323.0,314.1,327.7,312.7,25977301
09-JAN-2020,320.0,322.7,332.8,317.0,34527599
08-JAN-2020,300.0,310.1,313.0,297.35,23049670
07-JAN-2020,310.25,308.2,317.4,303.55,32305742
06-JAN-2020,326.0,304.4,327.15,301.2,31387511
03-JAN-2020,325.5,329.6,335.8,321.05,38042432
02-JAN-2020,314.0,325.15,328.6,310.3,31124957
01-JAN-2020,315.0,312.7,318.3,310.65,18294197
31-DEC-2019,306.85,313.2,316.9,305.4,34372679
30-DEC-2019,301.95,306.85,309.3,300.0,23455965
27-DEC-2019,297.9,301.0,307.4,294.3,40584607
26-DEC-2019,312.0,297.15,319.8,293.7,45566741
24-DEC-2019,296.9,310.05,313.5,296.25,43253984
23-DEC-2019,300.0,295.9,306.5,293.25,25547080
20-DEC-2019,292.85,299.35,306.5,288.75,39191346
19-DEC-2019,304.1,293.85,305.8,292.15,22393931
18-DEC-2019,305.0,302.25,308.4,297.5,25074944
17-DEC-2019,313.0,305.05,314.8,303.25,28980623
16-DEC-2019,313.0,309.75,319.7,303.6,48234582
13-DEC-2019,293.0,309.05,315.4,292.1,73596154
12-DEC-2019,273.0,291.25,295.55,265.1,49477781
11-DEC-2019,278.0,268.35,278.5,255.2,43168486
10-DEC-2019,261.0,269.7,277.6,259.3,55393829
09-DEC-2019,275.0,258.95,277.2,254.0,51482598
06-DEC-2019,287.9,272.45,295.2,270.15,38593431
05-DEC-2019,289.35,285.1,294.25,283.0,22587702
04-DEC-2019,291.0,288.2,297.95,282.3,41360659
03-DEC-2019,306.05,290.85,312.0,284.0,57512598
02-DEC-2019,292.5,304.15,309.0,271.45,97863806
29-NOV-2019,354.45,290.5,376.7,268.1,173409205
28-NOV-2019,274.5,334.75,347.8,272.2,168963840
27-NOV-2019,265.1,268.15,270.7,259.1,34033191
26-NOV-2019,267.95,259.05,281.55,256.6,96013905
25-NOV-2019,234.0,259.45,266.0,233.2,56913283
22-NOV-2019,236.5,237.35,244.9,231.4,58500860
21-NOV-2019,209.5,231.55,235.3,204.55,53888172
20-NOV-2019,214.0,208.2,216.0,206.6,22849941
19-NOV-2019,210.2,212.7,218.0,210.05,28626369
18-NOV-2019,205.0,208.7,215.7,200.5,41305424
15-NOV-2019,212.4,210.3,218.85,207.5,35716132
14-NOV-2019,222.5,211.35,223.85,208.1,45073367
13-NOV-2019,241.0,218.25,245.6,215.2,47625825
11-NOV-2019,243.0,238.55,255.6,236.35,59535881
08-NOV-2019,237.0,241.65,260.0,228.35,77850817
07-NOV-2019,230.0,238.35,262.4,229.3,94317381
06-NOV-2019,227.3,219.4,238.6,216.1,47692066
05-NOV-2019,218.8,225.05,232.65,217.7,47637319
04-NOV-2019,218.6,218.8,228.8,214.5,42777294
01-NOV-2019,208.7,218.6,236.4,207.5,60257905
31-OCT-2019,216.15,206.65,220.0,204.05,48717825
30-OCT-2019,217.8,214.25,229.25,204.05,58184693
29-OCT-2019,189.25,218.7,233.8,186.05,63766001
27-OCT-2019,191.5,189.15,192.4,187.5,4020413
25-OCT-2019,203.0,186.15,206.4,181.35,42507989
24-OCT-2019,210.0,200.3,219.0,196.05,42804690
23-OCT-2019,218.0,206.15,224.9,202.1,55990220
22-OCT-2019,239.0,218.0,252.0,205.35,73100530
18-OCT-2019,198.0,231.2,259.95,196.5,71353309
17-OCT-2019,168.45,197.95,204.0,165.8,86561554
16-OCT-2019,189.1,173.05,195.0,166.95,50261582
