DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,366.0,362.85,370.9,361.35,50964872
01-JUL-2020,354.25,364.05,365.75,351.6,36922717
30-JUN-2020,347.0,351.45,354.45,346.3,47526205
29-JUN-2020,345.25,343.1,345.6,338.5,27385252
26-JUN-2020,355.6,349.1,358.5,346.1,34596718
25-JUN-2020,345.9,351.0,355.6,338.5,69905394
24-JUN-2020,380.0,348.1,380.0,345.0,57956306
23-JUN-2020,369.0,376.15,378.3,364.2,32495431
22-JUN-2020,367.0,367.55,375.25,365.15,40135946
19-JUN-2020,351.0,363.8,365.45,349.2,51368058
18-JUN-2020,340.0,352.0,354.7,337.2,39286577
17-JUN-2020,338.6,341.95,351.0,336.1,37107569
16-JUN-2020,342.25,342.95,347.9,326.05,57511276
15-JUN-2020,341.2,331.1,342.25,325.5,43501834
12-JUN-2020,324.2,344.2,346.15,324.1,47509639
11-JUN-2020,352.45,341.25,354.2,340.1,37000065
10-JUN-2020,348.55,353.0,356.85,345.3,36292503
09-JUN-2020,360.05,348.55,369.35,345.25,47622914
08-JUN-2020,366.55,359.8,373.75,353.15,46827650
05-JUN-2020,350.0,357.2,360.0,347.0,37251290
04-JUN-2020,357.0,347.85,363.0,345.5,57061955
03-JUN-2020,357.9,356.85,373.0,353.8,69689849
02-JUN-2020,337.0,348.4,350.0,332.5,47558564
01-JUN-2020,339.0,339.25,348.0,336.2,44025817
29-MAY-2020,322.9,331.95,334.3,320.0,60488688
28-MAY-2020,322.25,326.85,329.75,320.75,66136528
27-MAY-2020,296.1,318.85,321.95,294.85,80543561
26-MAY-2020,296.05,292.7,297.9,290.0,46684636
22-MAY-2020,301.0,291.05,307.7,285.55,80359014
21-MAY-2020,306.0,304.4,312.8,302.0,43076017
20-MAY-2020,299.0,305.65,308.25,297.5,42239472
19-MAY-2020,307.05,300.3,311.5,297.1,61828639
18-MAY-2020,320.0,298.5,320.5,293.25,74034470
15-MAY-2020,329.3,322.7,330.55,318.8,31829841
14-MAY-2020,330.0,327.4,334.5,325.65,33999679
13-MAY-2020,343.5,338.05,348.4,332.3,72818140
12-MAY-2020,318.3,321.2,324.4,308.0,69072372
11-MAY-2020,341.0,320.15,343.55,318.2,83666044
08-MAY-2020,344.0,337.7,352.5,333.7,42970794
07-MAY-2020,337.0,336.75,342.9,333.7,27657193
06-MAY-2020,331.5,341.4,345.55,325.25,49953121
05-MAY-2020,348.0,330.85,348.0,329.55,45071600
04-MAY-2020,359.0,338.05,359.0,336.0,38837866
30-APR-2020,382.0,380.15,392.95,374.15,45735197
29-APR-2020,353.0,370.45,376.5,351.65,39342166
28-APR-2020,353.75,359.85,362.85,350.25,32934538
27-APR-2020,339.3,347.9,352.9,338.0,38981101
24-APR-2020,337.9,334.85,343.25,331.5,38513311
23-APR-2020,340.25,352.95,354.8,338.0,45953483
22-APR-2020,326.0,335.95,338.0,323.05,49115661
21-APR-2020,341.0,331.85,346.2,328.0,50118816
20-APR-2020,376.0,361.3,378.9,357.0,55811178
17-APR-2020,362.0,375.55,385.5,349.05,69008019
16-APR-2020,325.3,342.0,347.8,319.35,56494211
15-APR-2020,342.7,327.35,351.9,325.0,49134201
13-APR-2020,341.05,330.65,345.8,329.25,30995409
09-APR-2020,332.4,342.7,345.0,322.65,52432049
08-APR-2020,322.85,318.95,352.75,315.1,73931642
07-APR-2020,308.3,326.1,329.6,296.85,57662681
03-APR-2020,309.5,286.65,309.5,281.5,57330285
01-APR-2020,319.0,311.15,323.75,308.1,33142102
31-MAR-2020,324.7,323.75,334.85,316.0,46280029
30-MAR-2020,330.1,313.4,333.9,311.1,36560532
27-MAR-2020,355.8,339.85,359.55,326.0,72890796
26-MAR-2020,322.0,330.25,364.4,314.25,76174000
25-MAR-2020,284.0,316.9,334.15,281.6,66545735
24-MAR-2020,295.3,296.5,305.0,268.3,67896591
23-MAR-2020,311.15,284.0,313.7,280.0,56868412
20-MAR-2020,328.0,345.7,359.8,323.0,88640850
19-MAR-2020,336.1,338.55,369.6,323.0,57986210
18-MAR-2020,369.1,355.05,375.5,342.3,61204129
17-MAR-2020,407.0,367.25,408.45,364.0,47233442
16-MAR-2020,424.2,402.9,424.2,397.45,34834779
13-MAR-2020,401.0,447.2,464.75,395.2,67105024
12-MAR-2020,438.0,425.65,445.95,416.0,50757036
11-MAR-2020,450.0,465.65,471.75,449.6,31018901
09-MAR-2020,475.0,457.75,475.0,442.95,42027546
06-MAR-2020,485.0,486.35,496.8,477.3,31024353
05-MAR-2020,509.75,504.5,511.15,500.0,16671516
04-MAR-2020,517.5,508.35,517.5,497.05,21883404
03-MAR-2020,509.85,514.75,519.5,508.5,19661945
02-MAR-2020,508.25,506.1,520.55,498.45,28642076
28-FEB-2020,501.6,497.25,506.85,492.2,32737933
27-FEB-2020,522.8,515.35,523.3,512.65,26315054
26-FEB-2020,526.85,523.7,529.35,522.2,15743918
25-FEB-2020,532.45,530.95,538.8,525.3,14942960
24-FEB-2020,539.5,529.85,541.85,527.55,16940750
20-FEB-2020,545.5,547.0,549.35,541.8,13588526
19-FEB-2020,543.5,544.8,546.5,540.5,8704234
18-FEB-2020,541.0,541.2,544.4,536.0,15918303
17-FEB-2020,543.0,541.6,545.35,537.75,7793293
14-FEB-2020,541.25,545.8,548.65,536.55,14458649
13-FEB-2020,549.0,541.0,549.0,538.0,9227235
12-FEB-2020,545.8,549.3,550.7,542.7,14026335
11-FEB-2020,537.7,539.75,544.8,537.5,11243552
10-FEB-2020,538.65,533.95,542.25,530.5,12536053
07-FEB-2020,540.95,536.45,541.75,535.15,8297149
06-FEB-2020,540.35,541.6,547.0,536.25,15296851
05-FEB-2020,529.05,539.1,540.4,525.7,18782476
04-FEB-2020,520.0,530.8,534.65,516.65,17781475
03-FEB-2020,504.0,515.55,519.15,502.0,22531888
01-FEB-2020,524.0,504.6,528.0,501.85,11815597
31-JAN-2020,530.0,525.65,532.75,522.4,16292578
30-JAN-2020,527.65,532.2,533.95,524.15,14319317
29-JAN-2020,531.55,526.6,534.8,525.3,16400827
28-JAN-2020,538.1,528.2,540.6,524.45,24009224
27-JAN-2020,538.5,537.25,545.0,531.5,38149166
24-JAN-2020,529.25,533.85,537.4,527.0,17851868
23-JAN-2020,521.4,527.7,530.25,517.05,17061293
22-JAN-2020,531.5,522.85,534.95,520.75,17527408
21-JAN-2020,532.95,531.05,540.25,530.2,13477994
20-JAN-2020,533.0,534.85,544.0,531.0,19159996
17-JAN-2020,534.5,532.05,538.0,530.6,18312609
16-JAN-2020,533.9,537.15,540.0,533.2,11249232
15-JAN-2020,535.1,535.6,536.95,530.65,12353176
14-JAN-2020,536.2,537.6,538.95,534.15,13939440
13-JAN-2020,539.4,538.6,546.05,538.0,7901800
10-JAN-2020,544.9,540.25,546.5,538.5,12335407
09-JAN-2020,530.7,546.3,547.4,530.3,18934019
08-JAN-2020,516.0,525.95,527.35,515.0,16094310
07-JAN-2020,531.3,522.9,535.6,521.65,16101835
06-JAN-2020,537.25,525.7,537.25,523.8,12534334
03-JAN-2020,538.0,538.85,540.8,536.25,9594690
02-JAN-2020,536.0,540.6,541.9,535.85,10264223
01-JAN-2020,539.9,536.75,542.5,535.7,7642793
31-DEC-2019,543.8,538.9,543.8,538.0,12491978
30-DEC-2019,549.6,543.95,552.2,542.6,13180302
27-DEC-2019,541.0,549.4,550.5,538.35,11247684
26-DEC-2019,541.1,538.75,542.4,537.65,7831074
24-DEC-2019,542.0,541.1,543.95,539.3,6715007
23-DEC-2019,547.0,541.3,548.85,537.6,11521942
