DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,48.6,48.6,48.6,48.6,1145819
01-JUL-2020,45.9,46.3,46.3,44.55,19770995
30-JUN-2020,43.8,44.1,44.1,43.25,8497396
29-JUN-2020,41.45,42.0,42.0,38.55,22387064
26-JUN-2020,40.0,40.0,40.0,39.15,3576423
25-JUN-2020,37.8,38.1,38.1,37.0,6341776
24-JUN-2020,36.3,36.3,36.3,35.1,11442025
23-JUN-2020,34.2,34.6,34.7,33.6,6539436
22-JUN-2020,31.75,33.05,33.3,31.4,3663426
19-JUN-2020,32.2,31.75,32.45,31.55,1642101
18-JUN-2020,31.2,31.9,32.15,31.2,1705768
17-JUN-2020,32.0,31.9,32.8,31.15,2302723
16-JUN-2020,34.3,32.05,34.4,31.65,6465676
15-JUN-2020,32.0,33.3,33.3,30.75,6268873
12-JUN-2020,30.45,31.75,32.4,30.45,7111230
11-JUN-2020,32.55,32.05,33.85,32.05,5569523
10-JUN-2020,34.75,33.7,34.75,33.7,3975902
09-JUN-2020,37.5,35.45,37.75,35.45,7163645
08-JUN-2020,40.0,37.3,40.45,37.05,15437934
05-JUN-2020,36.0,38.55,38.55,35.5,18040144
04-JUN-2020,33.75,35.05,35.05,33.15,20901571
03-JUN-2020,30.5,31.9,31.9,30.0,6811075
02-JUN-2020,26.0,29.0,29.3,25.8,25286233
01-JUN-2020,24.4,24.45,24.45,23.55,7293134
29-MAY-2020,19.8,20.4,20.8,19.75,2112850
28-MAY-2020,20.0,20.1,20.5,19.9,1563161
27-MAY-2020,19.75,19.85,20.05,19.35,991962
26-MAY-2020,20.0,19.65,20.0,19.55,873434
22-MAY-2020,19.7,19.65,20.4,19.5,1699990
21-MAY-2020,19.3,19.55,20.15,19.3,1098382
20-MAY-2020,19.35,19.45,19.6,19.2,681835
19-MAY-2020,19.8,19.4,20.15,19.25,1014875
18-MAY-2020,20.0,19.35,20.2,19.2,925087
15-MAY-2020,20.6,20.25,20.7,20.15,1059504
14-MAY-2020,20.7,20.5,20.85,20.25,1267736
13-MAY-2020,21.4,20.8,21.6,20.45,2487948
12-MAY-2020,19.9,20.15,20.35,19.4,1475607
11-MAY-2020,20.15,19.95,20.4,19.2,1084847
08-MAY-2020,20.45,20.05,20.6,20.0,821089
07-MAY-2020,20.4,20.35,20.65,20.3,563433
06-MAY-2020,20.5,20.4,20.8,20.25,811666
05-MAY-2020,20.9,20.6,21.25,20.35,1722926
04-MAY-2020,21.0,20.75,21.4,20.3,2892007
30-APR-2020,21.65,21.45,21.9,21.3,1381908
29-APR-2020,21.0,21.2,21.45,21.0,1118631
28-APR-2020,21.1,21.0,21.45,20.65,1496354
27-APR-2020,21.15,21.0,21.45,20.8,1397436
24-APR-2020,21.15,21.05,21.6,20.95,1017573
23-APR-2020,21.45,21.45,22.2,21.25,1240251
22-APR-2020,21.45,21.35,21.7,20.85,1243951
21-APR-2020,22.3,21.2,22.3,20.7,2320237
20-APR-2020,21.3,22.45,22.9,21.0,3553469
17-APR-2020,21.5,21.15,21.5,20.8,1836808
16-APR-2020,20.4,20.75,20.9,20.1,706736
15-APR-2020,20.55,20.55,21.2,20.45,1457615
13-APR-2020,21.3,20.7,21.5,20.2,1554265
09-APR-2020,20.95,21.3,21.7,20.55,3008993
08-APR-2020,20.0,19.7,20.7,19.5,1969534
07-APR-2020,20.0,19.95,20.15,19.5,1719334
03-APR-2020,19.75,19.4,19.85,19.0,980265
01-APR-2020,19.45,19.3,19.5,18.6,1052765
31-MAR-2020,19.25,19.3,20.0,19.0,1274527
30-MAR-2020,19.7,19.1,19.7,18.5,1028359
27-MAR-2020,19.6,19.7,20.9,19.2,2481949
26-MAR-2020,18.25,19.3,20.0,17.8,2399221
25-MAR-2020,18.4,17.8,18.45,17.5,1484646
24-MAR-2020,20.0,18.45,20.5,18.3,1735852
23-MAR-2020,21.35,19.5,21.4,19.2,1377389
20-MAR-2020,21.0,22.1,22.8,19.9,3031811
19-MAR-2020,20.05,20.35,21.45,19.0,2413803
18-MAR-2020,21.7,20.75,22.45,20.2,2170638
17-MAR-2020,22.6,21.6,23.4,21.2,2006156
16-MAR-2020,21.15,22.4,23.1,21.15,1979035
13-MAR-2020,18.1,23.3,25.0,17.25,3862106
12-MAR-2020,24.5,21.2,24.5,21.0,3535314
11-MAR-2020,25.2,25.7,26.3,25.05,1946584
09-MAR-2020,26.7,25.2,26.7,24.95,2012256
06-MAR-2020,26.9,27.15,27.95,25.9,2595322
05-MAR-2020,28.65,29.9,30.4,28.1,2520562
04-MAR-2020,29.5,28.55,29.75,28.2,1921570
03-MAR-2020,29.6,29.45,30.4,29.1,1442306
02-MAR-2020,30.7,29.8,31.1,28.0,1391333
28-FEB-2020,32.4,30.6,32.4,30.3,1453353
27-FEB-2020,33.9,33.15,33.95,33.05,974893
26-FEB-2020,34.1,33.45,34.15,33.3,1046436
25-FEB-2020,34.5,34.2,34.65,33.8,938591
24-FEB-2020,34.5,34.2,34.6,34.05,808635
20-FEB-2020,34.55,34.55,34.75,34.4,1097464
19-FEB-2020,34.6,34.55,34.9,34.3,1579220
18-FEB-2020,34.3,34.1,34.8,33.25,1560176
17-FEB-2020,36.2,34.55,36.6,34.3,2667331
14-FEB-2020,36.0,35.45,36.05,35.1,2135769
13-FEB-2020,34.9,35.7,37.85,34.15,5627415
12-FEB-2020,35.9,34.75,35.9,34.4,3644164
11-FEB-2020,36.5,37.0,37.7,36.3,3010007
10-FEB-2020,36.0,36.3,36.65,36.0,2009369
07-FEB-2020,34.65,36.25,37.55,34.4,5394762
06-FEB-2020,34.3,34.75,35.25,33.85,1954644
05-FEB-2020,34.7,34.25,34.85,34.1,1522252
04-FEB-2020,35.1,34.55,35.4,34.5,2272156
03-FEB-2020,38.2,35.2,38.2,34.1,5866727
01-FEB-2020,33.8,37.25,39.9,33.55,27667984
31-JAN-2020,34.35,33.8,34.4,33.6,652812
