DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,204.45,205.85,206.75,202.55,39321517
01-JUL-2020,194.65,202.9,203.85,194.65,44298379
30-JUN-2020,199.4,194.65,199.4,194.0,41216021
29-JUN-2020,202.5,197.25,203.0,196.2,91504651
26-JUN-2020,206.0,195.2,209.4,193.3,71957460
25-JUN-2020,192.25,202.1,203.5,191.65,75575878
24-JUN-2020,187.4,191.85,194.7,186.15,54653037
23-JUN-2020,185.4,185.85,187.5,184.75,26547403
22-JUN-2020,186.5,185.0,187.5,183.15,31396392
19-JUN-2020,187.1,184.05,187.95,183.6,30531484
18-JUN-2020,181.2,186.6,187.5,180.7,28887658
17-JUN-2020,184.0,181.2,185.0,180.7,24028372
16-JUN-2020,190.8,185.0,190.95,181.9,27637395
15-JUN-2020,193.9,187.2,193.95,186.3,24463651
12-JUN-2020,188.95,193.9,195.2,187.85,22562987
11-JUN-2020,200.0,194.25,201.25,193.6,19847762
10-JUN-2020,199.45,199.05,203.15,198.3,27204677
09-JUN-2020,198.25,198.5,206.2,197.65,39914936
08-JUN-2020,202.9,197.65,203.65,197.0,19555380
05-JUN-2020,201.8,200.0,202.0,198.65,14632889
04-JUN-2020,197.75,200.15,202.5,195.0,21999875
03-JUN-2020,200.0,196.7,200.9,195.6,18979339
02-JUN-2020,201.9,197.25,201.9,196.7,22631743
01-JUN-2020,201.0,200.55,205.25,199.0,28509025
29-MAY-2020,190.45,197.35,198.0,189.0,35836696
28-MAY-2020,192.3,190.65,192.9,189.0,24579385
27-MAY-2020,192.5,192.15,193.9,186.9,24546312
26-MAY-2020,190.0,191.7,194.95,187.8,53235758
22-MAY-2020,188.0,186.35,191.9,184.6,39013806
21-MAY-2020,175.6,188.95,190.45,172.65,58382988
20-MAY-2020,171.95,175.75,177.0,171.0,25320952
19-MAY-2020,166.5,170.75,171.65,165.1,20142194
18-MAY-2020,166.0,164.75,167.3,163.15,20802365
15-MAY-2020,162.2,164.65,165.5,161.15,14950688
14-MAY-2020,164.5,163.8,168.25,161.95,14949993
13-MAY-2020,173.4,165.4,173.6,164.5,20018552
12-MAY-2020,158.45,165.05,165.9,157.5,21387983
11-MAY-2020,160.0,158.45,163.5,158.0,18095693
08-MAY-2020,163.95,158.25,164.15,157.1,25307551
07-MAY-2020,164.0,161.0,165.85,160.5,24249898
06-MAY-2020,171.4,163.9,171.4,160.5,65586753
05-MAY-2020,175.0,173.9,177.45,172.0,17709577
04-MAY-2020,181.75,174.05,181.75,170.65,30298058
30-APR-2020,184.9,182.05,184.9,180.45,30169126
29-APR-2020,180.5,182.15,182.9,179.65,21461158
28-APR-2020,180.0,179.45,180.8,178.05,17802711
27-APR-2020,180.25,179.85,182.3,179.3,13086773
24-APR-2020,181.0,180.05,182.8,179.3,18050148
23-APR-2020,182.95,180.55,184.0,179.65,32968241
22-APR-2020,179.0,182.25,183.55,176.0,25164099
21-APR-2020,178.0,179.6,184.3,176.05,23334550
20-APR-2020,189.95,180.7,189.95,179.5,35767070
17-APR-2020,190.45,188.1,191.4,186.95,26669272
16-APR-2020,189.65,186.35,191.2,185.45,27082646
15-APR-2020,184.05,189.35,193.75,182.7,49092959
13-APR-2020,184.5,181.6,186.65,181.05,17744825
09-APR-2020,184.0,185.25,186.25,180.0,42643743
08-APR-2020,180.85,178.65,184.0,176.65,37561322
07-APR-2020,185.7,181.55,185.7,173.65,36119016
03-APR-2020,167.9,177.9,182.75,167.0,62868085
01-APR-2020,171.7,166.4,172.75,164.55,18142049
31-MAR-2020,164.0,171.7,173.85,161.55,42630922
30-MAR-2020,156.05,159.2,164.9,156.05,28120394
27-MAR-2020,162.0,163.2,166.0,155.0,32636891
26-MAR-2020,150.0,156.4,159.4,143.25,58443502
25-MAR-2020,151.0,147.35,152.0,139.0,62506221
24-MAR-2020,162.95,149.7,163.7,147.4,52569242
23-MAR-2020,158.0,154.3,162.0,149.2,51354135
20-MAR-2020,165.1,175.5,176.5,165.1,61997991
19-MAR-2020,150.7,161.85,163.55,144.75,89753683
18-MAR-2020,152.1,150.7,154.65,147.35,50248786
17-MAR-2020,148.0,149.15,155.8,146.05,47658462
16-MAR-2020,158.0,147.25,158.1,145.25,33255085
13-MAR-2020,150.0,162.25,164.0,134.6,61592332
12-MAR-2020,169.0,155.8,169.15,150.55,52040944
11-MAR-2020,174.0,175.65,176.75,172.35,27957737
09-MAR-2020,179.0,177.2,179.0,174.5,21795899
06-MAR-2020,184.85,181.75,184.85,179.75,26764504
05-MAR-2020,187.55,188.05,191.2,186.55,20025924
04-MAR-2020,194.95,187.5,195.55,186.55,27664076
03-MAR-2020,197.0,193.85,197.45,192.55,17947416
02-MAR-2020,199.5,195.3,203.45,193.65,18560049
28-FEB-2020,195.0,197.55,199.9,192.05,32628444
27-FEB-2020,198.4,197.55,199.15,195.9,17271066
26-FEB-2020,200.65,198.6,201.95,196.3,17869240
25-FEB-2020,203.8,201.8,205.4,201.5,15313516
24-FEB-2020,207.0,203.0,207.45,201.8,16594046
20-FEB-2020,207.0,207.45,208.55,205.45,15592846
19-FEB-2020,205.25,206.7,207.15,203.85,9054560
18-FEB-2020,204.55,203.85,204.6,200.5,20934864
17-FEB-2020,208.0,204.8,208.65,204.0,15561953
14-FEB-2020,212.25,207.7,212.9,206.8,13731692
13-FEB-2020,213.05,211.9,213.45,211.2,9153131
12-FEB-2020,213.4,213.05,214.8,211.8,9928416
11-FEB-2020,216.5,212.6,216.95,211.8,29803784
10-FEB-2020,214.0,210.55,214.05,210.05,9617387
07-FEB-2020,213.8,213.4,215.7,212.75,17133407
06-FEB-2020,218.0,213.55,219.9,211.8,27388582
05-FEB-2020,216.3,216.45,217.5,211.5,21253607
04-FEB-2020,210.8,215.65,217.6,209.15,35767812
03-FEB-2020,215.0,207.6,216.9,205.0,79764370
01-FEB-2020,236.9,219.0,239.25,215.5,42268141
31-JAN-2020,235.75,235.15,238.4,234.05,18455880
30-JAN-2020,236.95,234.05,237.0,233.0,10394149
29-JAN-2020,231.5,236.65,237.65,231.15,20469708
28-JAN-2020,234.75,230.75,235.9,230.5,14582907
