DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,49.4,50.35,50.95,48.9,2603967
01-JUL-2020,47.4,48.85,49.85,47.35,6197702
30-JUN-2020,47.6,47.15,48.55,46.95,1824117
29-JUN-2020,48.0,47.85,48.95,46.55,1252640
26-JUN-2020,49.95,48.75,50.3,48.5,1338916
25-JUN-2020,48.9,49.5,50.55,48.1,2126648
24-JUN-2020,51.7,49.2,52.5,49.0,2899226
23-JUN-2020,50.6,51.35,51.95,49.65,5333125
22-JUN-2020,48.25,50.4,51.3,47.95,7234807
19-JUN-2020,48.15,47.9,48.6,47.8,2393760
18-JUN-2020,47.75,47.75,48.6,47.5,1589165
17-JUN-2020,47.75,47.65,49.3,47.5,4036101
16-JUN-2020,46.75,48.15,48.6,46.5,4246567
15-JUN-2020,48.0,46.25,49.5,45.9,4250891
12-JUN-2020,44.25,48.1,48.7,44.25,5410580
11-JUN-2020,47.15,47.1,48.7,46.65,2123098
10-JUN-2020,47.1,47.25,48.8,46.55,7572728
09-JUN-2020,46.45,46.85,47.75,45.7,7761211
08-JUN-2020,46.0,45.8,47.5,45.0,5592046
05-JUN-2020,42.25,44.3,45.05,42.25,8146915
04-JUN-2020,43.0,42.05,43.6,41.8,1663758
03-JUN-2020,46.0,43.2,46.65,42.8,3984032
02-JUN-2020,41.35,45.0,45.4,41.25,6114084
01-JUN-2020,40.55,41.1,41.6,40.55,1365207
29-MAY-2020,40.3,40.05,40.65,39.65,3320858
28-MAY-2020,41.15,40.7,41.9,40.5,1172003
27-MAY-2020,39.25,40.9,41.3,38.9,6877048
26-MAY-2020,39.85,39.2,39.95,39.1,816548
22-MAY-2020,40.6,39.25,40.6,39.1,912141
21-MAY-2020,41.9,40.15,41.9,40.0,2423098
20-MAY-2020,40.05,40.7,43.0,39.8,5197282
19-MAY-2020,40.0,39.15,40.15,38.5,735671
18-MAY-2020,40.45,39.55,40.5,38.7,702877
15-MAY-2020,40.4,39.6,40.4,39.3,613339
14-MAY-2020,41.0,40.15,42.35,40.05,1103226
13-MAY-2020,41.3,40.5,41.5,39.7,741573
12-MAY-2020,39.6,39.85,40.0,38.8,562626
11-MAY-2020,40.9,39.8,41.3,39.7,378302
08-MAY-2020,40.95,40.75,41.0,40.0,868511
07-MAY-2020,38.0,40.45,41.0,38.0,538660
06-MAY-2020,40.3,39.9,41.0,39.55,693205
05-MAY-2020,41.85,40.3,42.5,40.1,1033246
04-MAY-2020,41.7,41.4,42.9,41.1,1078974
30-APR-2020,41.5,44.6,45.6,41.5,4349174
29-APR-2020,40.0,41.0,41.7,39.25,1421240
28-APR-2020,40.1,39.4,40.1,38.5,1544978
27-APR-2020,40.7,39.45,40.7,38.85,1563680
24-APR-2020,39.8,39.9,40.75,39.4,1136324
23-APR-2020,40.8,39.6,40.8,38.95,4206089
22-APR-2020,41.0,40.05,41.2,39.9,1312632
