DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,192.35,194.45,195.0,190.05,9164240
01-JUL-2020,190.3,191.45,193.05,188.55,8343254
30-JUN-2020,191.15,189.35,195.6,187.8,11450934
29-JUN-2020,192.5,190.7,192.95,185.65,7560301
26-JUN-2020,195.65,192.65,197.5,191.55,6960491
25-JUN-2020,192.15,193.55,197.35,191.0,9502767
24-JUN-2020,206.95,193.9,207.75,192.35,19739136
23-JUN-2020,198.1,201.65,203.9,198.1,14850064
22-JUN-2020,194.9,197.95,199.9,193.0,11091702
19-JUN-2020,195.1,194.3,197.35,192.7,18204886
18-JUN-2020,189.0,193.4,194.05,188.0,8868746
17-JUN-2020,188.75,191.85,194.45,185.8,11912711
16-JUN-2020,189.0,190.05,195.95,185.75,23464025
15-JUN-2020,185.95,183.75,186.45,179.95,12059372
12-JUN-2020,177.0,188.95,190.2,175.45,9000558
11-JUN-2020,188.0,184.65,190.85,183.55,6481994
10-JUN-2020,188,190.95,191.9,184.55,11823033
09-JUN-2020,195.95,190.05,198.9,188.6,8055268
08-JUN-2020,202,194.95,202,192.25,13522911
05-JUN-2020,195.95,197.05,202.4,194.05,26006736
04-JUN-2020,193,192,195.2,189.8,10238285
03-JUN-2020,195,192.7,197.8,191.55,11567639
02-JUN-2020,195,192.15,197.75,190.35,14155546
01-JUN-2020,188,193.95,199.4,187.15,17324578
29-MAY-2020,181,184.2,185.45,180.05,13458899
28-MAY-2020,186.2,184.15,188.75,183.2,14270125
27-MAY-2020,176.05,184.8,189,174.15,20403834
26-MAY-2020,168,176.25,178.25,168,30383793
22-MAY-2020,168.4,166.15,169.5,163.5,10228048
21-MAY-2020,172,169.9,174.85,168.95,11065823
20-MAY-2020,169.3,171.05,173,168.3,10091863
19-MAY-2020,167,169.3,172.95,165.9,11001274
18-MAY-2020,175.8,163.25,176.2,162.1,8130435
15-MAY-2020,176.9,174.3,179.4,173.25,11548870
14-MAY-2020,179,175.2,180.4,174.2,5808584
13-MAY-2020,189,182.35,189,180.6,10377139
12-MAY-2020,172,178.2,179.6,167.05,11889850
