DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,68.45,69.2,70.15,67.95,14256478
01-JUL-2020,66.0,67.65,68.25,65.6,12169387
30-JUN-2020,68.0,65.85,68.75,65.35,9059478
29-JUN-2020,68.25,66.95,68.8,66.2,9761415
26-JUN-2020,71.5,68.8,72.2,68.3,15289710
25-JUN-2020,67.65,70.7,71.5,66.25,31632554
24-JUN-2020,71.05,67.65,72.4,67.2,24238721
23-JUN-2020,71.25,70.35,72.15,68.9,18323284
22-JUN-2020,68.45,70.3,71.35,68.2,32395970
19-JUN-2020,64.7,67.5,68.3,64.25,44280557
18-JUN-2020,61.2,63.85,64.4,60.9,17730418
17-JUN-2020,60.5,61.25,62.5,60.15,13401974
16-JUN-2020,63.8,61.2,64.2,59.7,20129486
15-JUN-2020,63.0,62.05,63.75,60.8,19302060
12-JUN-2020,58.7,62.9,63.45,58.3,22310444
11-JUN-2020,62.85,61.55,65.45,61.35,25119499
10-JUN-2020,62.0,63.15,63.5,61.25,17914506
09-JUN-2020,63.95,61.9,64.85,61.25,20686459
08-JUN-2020,64.0,63.15,66.2,62.55,32106628
05-JUN-2020,58.8,62.3,62.9,58.4,24401759
04-JUN-2020,60.15,58.1,61.3,57.35,16655677
03-JUN-2020,61.8,60.2,62.7,59.7,21630870
02-JUN-2020,58.2,60.55,60.9,57.3,31225334
01-JUN-2020,55.5,57.4,59.6,54.5,28340504
29-MAY-2020,52.85,54.35,55.0,52.4,14258268
28-MAY-2020,54.2,53.55,55.2,53.25,15817234
27-MAY-2020,51.3,53.85,54.2,50.8,20974954
26-MAY-2020,52.3,51.1,52.7,51.0,16503276
22-MAY-2020,53.0,51.65,54.4,51.2,16695648
21-MAY-2020,54.0,53.15,55.2,52.85,12768617
20-MAY-2020,51.95,53.7,54.9,51.6,15484792
19-MAY-2020,53.8,52.05,54.4,51.65,17220105
18-MAY-2020,57.3,52.75,57.4,51.6,27903084
15-MAY-2020,58.95,57.3,59.05,56.8,15957636
14-MAY-2020,62.0,58.2,63.4,57.9,26568970
13-MAY-2020,60.95,61.85,62.95,58.5,37372861
12-MAY-2020,56.45,57.25,58.15,54.0,18153466
11-MAY-2020,57.5,57.2,59.1,56.9,11088376
08-MAY-2020,59.7,56.75,60.1,56.5,10523291
07-MAY-2020,58.85,58.4,60.6,58.0,13895249
06-MAY-2020,58.1,59.3,59.85,56.85,23539901
05-MAY-2020,59.7,57.55,60.55,57.25,20175374
04-MAY-2020,62.5,58.0,62.5,55.8,19185642
30-APR-2020,65.9,65.6,67.5,65.0,14299685
29-APR-2020,64.5,64.6,66.0,64.0,11486157
28-APR-2020,62.0,64.2,64.5,61.05,17873956
27-APR-2020,59.25,61.35,62.8,59.25,15752460
24-APR-2020,58.5,58.95,60.2,58.05,13876203
23-APR-2020,59.15,61.95,63.4,58.55,13789781
22-APR-2020,59.0,59.3,59.85,56.85,11252067
21-APR-2020,60.9,58.9,60.9,58.15,10713703
20-APR-2020,65.85,63.75,66.0,63.5,13117523
17-APR-2020,67.0,65.5,69.15,62.6,43283797
16-APR-2020,53.75,61.35,62.45,53.0,26701025
15-APR-2020,55.0,54.05,56.9,52.75,12542359
13-APR-2020,57.15,54.15,57.15,53.4,10571367
09-APR-2020,56.4,57.2,58.95,56.1,15460239
08-APR-2020,52.9,55.1,58.05,52.0,16503670
07-APR-2020,51.95,53.85,55.55,49.75,16172551
03-APR-2020,51.0,48.9,51.0,48.2,10545764
01-APR-2020,51.2,50.55,52.0,50.0,9475943
31-MAR-2020,52.8,51.3,54.0,50.3,13313724
30-MAR-2020,51.0,51.3,52.8,49.3,11749394
27-MAR-2020,57.0,53.1,60.85,50.85,26206286
26-MAR-2020,56.1,53.6,59.85,52.25,23875149
25-MAR-2020,47.0,55.2,56.1,46.85,19467091
24-MAR-2020,51.3,48.8,52.65,45.9,23989572
23-MAR-2020,53.6,48.55,55.0,48.2,10758015
20-MAR-2020,60.0,59.55,62.4,56.75,20412114
19-MAR-2020,60.0,58.25,62.7,56.4,19568668
18-MAR-2020,67.8,62.85,68.75,61.8,18567849
17-MAR-2020,72.0,66.5,73.7,66.0,19750093
16-MAR-2020,80.0,71.0,80.0,70.2,21506722
13-MAR-2020,75.4,83.45,86.3,70.0,20793977
12-MAR-2020,90.0,81.65,91.55,80.5,15260836
11-MAR-2020,94.45,97.35,99.0,93.4,12775072
09-MAR-2020,95.8,94.45,98.2,93.4,11747390
06-MAR-2020,100.0,100.85,101.75,94.95,15265426
05-MAR-2020,106.0,106.8,109.5,104.0,8462531
04-MAR-2020,107.95,105.65,108.7,102.4,10229637
03-MAR-2020,105.0,107.3,108.3,103.15,9915296
02-MAR-2020,103.0,102.7,107.25,101.25,13951164
28-FEB-2020,109.0,99.95,109.5,99.0,13676570
27-FEB-2020,114.1,112.3,115.0,111.7,7393781
26-FEB-2020,116.05,115.0,117.1,113.7,6147100
25-FEB-2020,118.5,116.55,119.3,115.8,6078659
24-FEB-2020,122.5,118.2,122.5,117.95,4941523
20-FEB-2020,123.0,123.1,127.65,122.5,6136632
19-FEB-2020,122.75,123.35,126.6,122.5,8176018
