DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,175.45,184.9,186.9,174.8,21592325
01-JUL-2020,167.0,173.3,174.9,164.8,12608406
30-JUN-2020,172.4,167.8,172.55,167.25,8213812
29-JUN-2020,176.45,168.8,176.8,166.6,12092648
26-JUN-2020,182.45,176.9,185.5,175.05,11491578
25-JUN-2020,178.0,179.25,182.95,173.65,16225671
24-JUN-2020,180.0,178.7,189.6,177.45,24055393
23-JUN-2020,180.95,177.95,182.25,173.5,9650468
22-JUN-2020,176.7,178.0,186.15,176.0,17877642
19-JUN-2020,170.3,174.4,177.75,168.0,18379228
18-JUN-2020,166.8,168.35,170.1,165.1,9890610
17-JUN-2020,167.5,166.55,171.75,165.8,11977356
16-JUN-2020,168.55,168.15,171.45,160.1,20646076
15-JUN-2020,163.5,163.9,168.5,161.0,17145750
12-JUN-2020,148.0,163.6,165.0,146.9,17222048
11-JUN-2020,155.8,156.9,164.0,153.3,16686487
10-JUN-2020,158.7,154.45,160.55,152.05,11854469
09-JUN-2020,160.0,157.55,167.25,155.75,14911038
08-JUN-2020,157.0,158.65,165.3,157.0,17107087
05-JUN-2020,150.8,154.3,155.5,149.55,10285419
04-JUN-2020,154.0,148.8,156.6,147.05,13675249
03-JUN-2020,154.0,154.8,160.7,153.1,19763880
02-JUN-2020,147.45,151.45,152.75,146.05,18251451
01-JUN-2020,143.5,145.4,153.95,143.5,29780384
29-MAY-2020,134.9,139.7,144.25,133.05,46316984
28-MAY-2020,141.0,136.6,141.0,135.5,10439075
27-MAY-2020,134.0,138.5,139.95,131.1,13150573
26-MAY-2020,130.0,132.8,133.9,129.0,9597793
22-MAY-2020,136.0,127.55,139.3,125.4,19194337
21-MAY-2020,138.2,136.3,144.75,135.1,14658483
20-MAY-2020,135.25,136.7,141.7,132.25,13934548
19-MAY-2020,142.95,134.6,144.9,133.5,14481948
18-MAY-2020,164.05,137.8,164.4,136.25,26772645
15-MAY-2020,170.1,168.45,171.4,165.2,5225914
14-MAY-2020,177.2,168.4,182.25,167.0,12986248
13-MAY-2020,168.5,176.85,178.5,164.35,11862155
12-MAY-2020,155.0,162.55,164.0,154.15,9260253
11-MAY-2020,166.0,157.85,168.0,156.8,8716583
08-MAY-2020,174.0,165.35,176.7,163.45,9453316
07-MAY-2020,173.0,170.5,181.9,168.75,10633135
06-MAY-2020,161.0,172.15,174.7,157.85,15178330
05-MAY-2020,164.9,160.55,174.7,159.45,13030552
04-MAY-2020,156.0,160.25,164.8,150.2,12830579
30-APR-2020,161.95,165.95,167.95,160.1,12639407
29-APR-2020,156.0,156.9,162.4,153.4,9587110
28-APR-2020,146.0,154.2,155.2,141.2,11970759
27-APR-2020,142.95,143.75,149.9,141.2,6603470
24-APR-2020,150.0,140.45,150.0,138.2,8747190
23-APR-2020,151.0,155.7,157.7,149.0,6078965
22-APR-2020,152.0,150.8,153.8,144.8,6328554
21-APR-2020,159.0,151.55,160.65,149.65,4793274
20-APR-2020,180.9,166.0,183.0,165.0,5619215
17-APR-2020,177.0,179.8,191.8,170.6,13148854
16-APR-2020,154.4,166.8,174.25,152.35,8090288
15-APR-2020,155.0,155.75,168.6,154.2,5875475
13-APR-2020,167.65,153.95,167.9,150.25,3797320
09-APR-2020,160.0,166.4,170.55,160.0,8242105
08-APR-2020,141.0,159.2,162.8,135.8,10126702
07-APR-2020,147.1,142.2,150.0,128.3,14502355
03-APR-2020,153.5,142.55,156.5,140.1,3853026
01-APR-2020,145.0,152.6,153.65,143.0,3255439
31-MAR-2020,149.3,147.2,151.0,138.2,5624755
30-MAR-2020,158.0,143.95,158.0,141.0,3435379
27-MAR-2020,169.5,160.9,182.0,158.85,8113633
26-MAR-2020,170.0,162.45,180.0,156.0,8161710
25-MAR-2020,153.0,165.2,172.75,149.0,2581455
24-MAR-2020,153.0,161.0,172.3,142.1,5003670
23-MAR-2020,189.0,149.85,195.0,145.05,3810864
20-MAR-2020,202.8,210.0,218.95,189.6,8807612
19-MAR-2020,206.1,199.05,232.1,186.95,3994352
18-MAR-2020,253.25,228.65,255.4,216.0,4599348
17-MAR-2020,255.05,248.9,275.6,245.2,4452929
16-MAR-2020,271.8,261.55,275.8,258.0,2751066
13-MAR-2020,260.35,282.6,313.2,251.0,6088845
12-MAR-2020,315.0,284.8,315.0,279.15,4032086
11-MAR-2020,324.8,324.15,331.65,318.2,2609802
09-MAR-2020,325.1,322.8,332.8,318.55,1880208
06-MAR-2020,310.0,336.25,339.25,310.0,3490996
05-MAR-2020,336.25,337.1,346.55,332.65,2346033
04-MAR-2020,344.9,334.95,346.9,325.75,2587993
03-MAR-2020,342.0,341.1,348.7,337.75,2039657
02-MAR-2020,350.5,337.85,357.25,333.0,1667638
28-FEB-2020,341.0,343.25,355.0,331.3,4019303
27-FEB-2020,360.7,352.65,360.85,350.0,1727046
26-FEB-2020,370.0,360.85,370.0,359.0,1936293
25-FEB-2020,368.5,371.35,380.0,366.85,2154347
24-FEB-2020,375.0,366.65,381.85,362.35,1616366
20-FEB-2020,380.5,381.3,389.7,379.0,1590043
19-FEB-2020,373.5,382.3,383.55,373.5,994397
18-FEB-2020,372.2,369.75,373.5,364.75,1253105
17-FEB-2020,387.0,374.8,388.5,373.2,1051946
14-FEB-2020,388.25,385.15,391.8,381.35,1252341
13-FEB-2020,390.0,387.8,393.2,384.75,902541
12-FEB-2020,392.5,390.9,396.15,385.65,1054810
11-FEB-2020,395.65,391.9,403.3,390.25,2061782
10-FEB-2020,397.3,394.25,398.65,391.05,1227562
07-FEB-2020,391.4,398.05,400.35,387.6,2307888
06-FEB-2020,390.0,391.35,399.9,384.25,4221886
05-FEB-2020,368.0,387.85,392.9,368.0,4669585
04-FEB-2020,352.9,367.95,370.5,352.9,2390222
03-FEB-2020,349.0,349.55,363.0,347.05,1736623
01-FEB-2020,370.3,351.45,373.8,344.6,1380344
31-JAN-2020,370.4,369.35,377.5,364.65,2306322
30-JAN-2020,369.0,368.6,371.45,360.0,2265194
29-JAN-2020,359.9,368.2,379.5,358.4,12899516
28-JAN-2020,354.9,351.15,363.9,345.55,3004852
27-JAN-2020,365.0,352.5,372.7,345.8,2900178
24-JAN-2020,365.4,368.9,371.0,362.6,2001879
23-JAN-2020,350.0,364.6,365.95,349.15,3115741
22-JAN-2020,354.55,350.95,358.35,348.35,2135000
21-JAN-2020,347.65,352.8,355.85,344.2,1415647
20-JAN-2020,359.95,350.7,359.95,347.65,947561
17-JAN-2020,358.7,360.05,361.15,354.4,1624941
16-JAN-2020,354.0,359.1,361.8,354.0,1875589
15-JAN-2020,344.7,353.25,355.0,344.05,1367189
14-JAN-2020,342.85,346.85,350.0,342.5,1741689
13-JAN-2020,333.2,342.85,344.4,333.2,1839919
10-JAN-2020,334.95,332.0,335.75,328.5,1733969
09-JAN-2020,328.5,331.4,334.2,327.1,3231164
08-JAN-2020,319.05,324.85,326.0,315.15,1578727
07-JAN-2020,325.0,323.15,327.95,320.85,1845641
06-JAN-2020,333.0,322.15,333.0,317.45,2821782
03-JAN-2020,336.3,335.25,338.95,333.6,1673150
02-JAN-2020,333.25,339.15,340.5,329.6,2425060
01-JAN-2020,323.5,332.3,333.2,322.0,1690609
31-DEC-2019,322.0,322.45,326.5,319.7,2451368
30-DEC-2019,325.85,321.6,325.85,320.8,1270575
27-DEC-2019,322.9,323.9,327.8,322.15,1955076
26-DEC-2019,322.8,321.75,323.7,319.3,1255456
24-DEC-2019,320.0,322.05,323.1,318.3,1570173
23-DEC-2019,323.5,320.55,325.6,319.5,1207560
20-DEC-2019,321.1,323.1,327.1,318.55,2903630
19-DEC-2019,323.45,319.8,327.7,317.8,2183801
18-DEC-2019,321.7,321.9,323.7,316.5,2401550
