DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,600.5,594.65,605.7,593.15,2353091
01-JUL-2020,594.0,599.2,602.0,590.05,2744966
30-JUN-2020,591.5,592.3,606.9,583.05,4671574
29-JUN-2020,589.0,584.05,594.85,581.05,1978730
26-JUN-2020,608.5,591.45,610.85,589.0,2952755
25-JUN-2020,601.0,601.1,612.95,597.0,3292275
24-JUN-2020,625.8,608.0,630.5,604.7,3650280
23-JUN-2020,639.0,622.45,642.35,619.5,3497945
22-JUN-2020,621.0,635.1,639.4,612.85,3202098
19-JUN-2020,613.0,618.05,631.4,610.0,4700037
18-JUN-2020,601.4,610.0,615.0,601.05,1954213
17-JUN-2020,607.5,605.55,612.7,598.25,2131551
16-JUN-2020,624.0,604.8,624.0,586.75,3943225
15-JUN-2020,621.9,612.7,629.8,606.55,5637186
12-JUN-2020,570.0,617.45,621.5,570.0,7105643
11-JUN-2020,612.9,594.3,622.4,592.3,5237815
10-JUN-2020,612.0,608.4,614.05,596.15,3851474
09-JUN-2020,600.0,608.2,618.35,592.0,6243842
08-JUN-2020,597.75,596.8,611.0,581.8,8090089
05-JUN-2020,583.0,586.05,595.0,577.05,4592469
04-JUN-2020,574.0,578.35,583.9,572.85,2651408
03-JUN-2020,578.9,572.45,587.7,569.95,4512699
02-JUN-2020,590.6,573.45,591.85,572.0,3982122
01-JUN-2020,602.0,589.3,607.0,584.1,4617664
29-MAY-2020,567.0,594.1,601.6,563.0,9119124
28-MAY-2020,567.1,563.6,581.1,557.0,5927607
27-MAY-2020,587.65,578.2,587.65,571.15,2987326
26-MAY-2020,591.5,583.0,598.0,578.75,3646795
22-MAY-2020,611.0,589.25,613.55,584.15,5628309
21-MAY-2020,575.15,609.95,615.75,571.35,9001644
20-MAY-2020,561.45,575.15,579.0,558.0,6641812
19-MAY-2020,552.95,555.1,560.0,543.0,4665270
18-MAY-2020,542.1,542.6,569.65,530.05,12096007
15-MAY-2020,540.0,540.85,558.6,536.25,8457291
14-MAY-2020,505.0,539.8,561.0,500.0,15134744
13-MAY-2020,510.0,510.2,532.2,505.05,5925905
12-MAY-2020,490.0,505.5,508.4,487.7,3129346
11-MAY-2020,505.5,493.2,509.65,491.65,3776776
08-MAY-2020,514.7,501.35,514.7,499.2,4537666
07-MAY-2020,503.9,504.75,516.65,494.2,7738493
06-MAY-2020,495.0,493.85,498.35,478.5,8307364
05-MAY-2020,543.0,494.9,544.0,488.0,12418432
04-MAY-2020,550.0,541.85,558.0,527.85,12143401
30-APR-2020,536.15,536.65,545.5,527.1,3049732
29-APR-2020,528.0,532.3,539.6,522.6,2258793
28-APR-2020,525.25,522.9,528.95,516.5,2151641
27-APR-2020,520.75,522.05,530.5,519.0,1214830
24-APR-2020,524.9,519.5,527.9,516.7,1442370
