DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,2760.0,2789.5,2820.0,2760.0,258306
01-JUL-2020,2755.0,2758.9,2778.9,2725.0,282709
30-JUN-2020,2789.0,2761.85,2799.0,2750.1,263890
29-JUN-2020,2736.75,2764.35,2779.15,2736.75,279737
26-JUN-2020,2738.0,2756.3,2812.0,2735.8,442421
25-JUN-2020,2712.05,2747.65,2818.0,2660.0,1461978
24-JUN-2020,2935.0,2712.05,2940.0,2664.5,746283
23-JUN-2020,2730.05,2954.7,2985.0,2730.05,1183291
22-JUN-2020,2677.95,2769.25,2804.9,2665.0,445962
19-JUN-2020,2765.05,2677.95,2798.0,2620.75,598562
18-JUN-2020,2788.0,2758.9,2799.0,2738.4,263110
17-JUN-2020,2805.1,2798.9,2825.0,2763.05,438379
16-JUN-2020,2839.95,2813.45,2875.0,2762.0,518217
15-JUN-2020,2799.85,2786.35,2809.45,2755.1,432744
12-JUN-2020,2650.0,2820.5,2844.75,2650.0,719697
11-JUN-2020,2755.0,2740.1,2769.95,2680.0,461148
10-JUN-2020,2720.0,2746.8,2778.85,2687.0,730231
09-JUN-2020,2685.2,2703.15,2722.9,2640.0,1519933
08-JUN-2020,2529.0,2662.95,2679.9,2520.0,638891
05-JUN-2020,2540.45,2500.1,2540.95,2472.9,480448
04-JUN-2020,2540.0,2514.0,2579.3,2483.2,795526
03-JUN-2020,2628.0,2570.95,2647.2,2532.55,650421
02-JUN-2020,2688.05,2602.55,2704.7,2580.0,352597
01-JUN-2020,2705.15,2681.55,2755.2,2606.05,429176
29-MAY-2020,2570.9,2683.8,2780.0,2526.05,604880
28-MAY-2020,2457.25,2570.9,2588.0,2434.2,587301
27-MAY-2020,2398.7,2431.9,2440.4,2335.0,343527
26-MAY-2020,2423.5,2395.1,2456.95,2377.0,241083
22-MAY-2020,2410.0,2423.3,2448.1,2366.0,253231
21-MAY-2020,2412.05,2456.05,2490.0,2405.0,358529
20-MAY-2020,2440.05,2397.05,2456.1,2316.3,771383
19-MAY-2020,2449.9,2462.6,2512.25,2415.0,819856
18-MAY-2020,2590.0,2403.9,2590.0,2205.0,1010512
15-MAY-2020,2699.0,2591.65,2699.0,2575.05,286553
