DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,16985.0,16789.35,16985.0,16661.1,147010
01-JUL-2020,17205.0,16798.85,17205.0,16720.0,216945
30-JUN-2020,16799.0,17174.45,17298.0,16753.9,201034
29-JUN-2020,16740.0,16724.85,16980.6,16540.0,169646
26-JUN-2020,16850.0,16677.5,16930.0,16630.0,110342
25-JUN-2020,16590.3,16787.0,16850.0,16565.0,169666
24-JUN-2020,16660.0,16707.95,16860.0,16519.15,201086
23-JUN-2020,16289.8,16548.45,16720.0,16210.05,244735
22-JUN-2020,16290.0,16140.8,16290.0,16065.0,135920
19-JUN-2020,16290.0,16094.85,16305.65,16052.2,168895
18-JUN-2020,16218.5,16178.95,16300.0,16054.6,158448
17-JUN-2020,16345.0,16198.15,16440.0,16115.15,126959
16-JUN-2020,16598.0,16342.1,16598.0,16270.0,193237
15-JUN-2020,16500.0,16400.3,16650.0,16370.0,139654
12-JUN-2020,16300.0,16496.3,16717.1,16300.0,140678
11-JUN-2020,16550.0,16608.25,16850.0,16535.75,165132
10-JUN-2020,16650.0,16534.7,16832.0,16410.0,123440
09-JUN-2020,16652.0,16552.55,16985.0,16521.0,174685
08-JUN-2020,17250.0,16836.2,17250.0,16790.0,147070
05-JUN-2020,17317.0,17096.85,17460.0,16956.55,162096
04-JUN-2020,17406.9,17196.6,17546.55,17148.05,97631
03-JUN-2020,17175.0,17407.55,17521.95,17152.0,146102
02-JUN-2020,17477.0,17014.45,17477.0,16972.0,132201
01-JUN-2020,17540.8,17183.45,17749.0,17111.0,175301
29-MAY-2020,16950.0,17540.8,17600.0,16784.55,244466
28-MAY-2020,16716.5,16989.15,17030.0,16680.0,176289
27-MAY-2020,16700.0,16716.5,16820.0,16487.1,167533
26-MAY-2020,16380.0,16655.15,16750.0,16324.4,198692
22-MAY-2020,16296.0,16215.15,16396.8,16150.0,118300
21-MAY-2020,16330.0,16295.45,16505.0,16265.0,121080
20-MAY-2020,16241.0,16303.4,16594.95,16151.0,179539
19-MAY-2020,16280.2,16150.3,16415.8,16108.65,118144
18-MAY-2020,16441.0,16240.35,16575.0,16162.2,167962
15-MAY-2020,16500.0,16443.8,16550.0,16201.95,271603
14-MAY-2020,16600.0,16242.5,16850.0,16201.0,410272
13-MAY-2020,17750.0,16512.35,17750.0,16400.0,562034
12-MAY-2020,17609.0,17461.95,17777.0,17385.0,238937
11-MAY-2020,17770.0,17562.1,17920.0,17490.0,184032
08-MAY-2020,17350.0,17802.95,17820.0,17201.5,179200
07-MAY-2020,17200.0,17142.45,17280.0,16825.25,209078
06-MAY-2020,17421.5,17309.3,17617.1,17270.0,135509
05-MAY-2020,17571.0,17421.5,17636.95,17100.0,130682
04-MAY-2020,17420.5,17456.45,17728.15,17360.05,118975
30-APR-2020,17700.0,17924.65,18000.0,17512.0,158370
29-APR-2020,17748.0,17489.7,17748.0,17400.0,105243
28-APR-2020,17976.5,17569.65,18022.95,17501.0,107549
27-APR-2020,17585.0,17950.8,18015.0,17425.0,121986
24-APR-2020,17300.0,17406.05,17800.0,17300.0,145116
23-APR-2020,17599.95,17436.05,17800.0,17306.0,187100
22-APR-2020,17008.35,17642.05,17700.0,16817.2,202241
21-APR-2020,16800.0,17015.35,17240.0,16700.0,133756
20-APR-2020,17489.8,16976.4,17489.8,16930.0,135197
17-APR-2020,18369.95,17324.3,18369.95,17223.4,187271
16-APR-2020,17320.0,17895.25,18001.65,17052.15,225740
15-APR-2020,16657.1,17325.9,17391.0,16657.1,155579
13-APR-2020,16845.0,16599.95,16974.0,16330.15,83132
09-APR-2020,17436.95,16839.7,17544.0,16575.0,207510
08-APR-2020,16650.0,16871.25,17544.05,16555.45,248445
07-APR-2020,15575.0,17038.65,17200.0,15426.05,246901
03-APR-2020,15939.7,15104.65,15939.7,15005.0,190780
01-APR-2020,16300.25,15654.55,16456.0,15500.0,127512
31-MAR-2020,15849.0,16300.6,16424.95,15701.25,183919
30-MAR-2020,14990.0,15658.65,15890.0,14687.7,201470
27-MAR-2020,15400.0,15108.6,15534.0,14800.0,175247
26-MAR-2020,14699.7,14919.65,15100.0,14051.55,205344
25-MAR-2020,12800.0,14444.1,14520.0,12800.0,198759
24-MAR-2020,13889.0,13478.35,13889.0,12200.0,258686
