DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,121.4,120.75,122.8,118.3,1012596
01-JUL-2020,122.45,120.55,123.0,118.7,3077262
30-JUN-2020,115.5,116.65,119.8,115.25,1017831
29-JUN-2020,113.75,113.8,115.0,112.85,267370
26-JUN-2020,114.9,114.05,114.9,112.0,687717
25-JUN-2020,122.0,110.75,124.9,108.9,2581946
24-JUN-2020,124.4,120.75,124.9,120.3,316930
23-JUN-2020,125.7,123.05,126.3,122.35,650375
22-JUN-2020,125.05,124.45,126.9,124.05,188597
19-JUN-2020,129.0,124.2,130.6,121.6,547687
18-JUN-2020,127.8,128.65,131.8,126.25,373317
17-JUN-2020,125.6,128.05,135.9,124.3,1343031
16-JUN-2020,125.8,123.8,127.8,121.3,323106
15-JUN-2020,122.45,124.75,126.4,121.85,196219
12-JUN-2020,117.1,122.45,123.15,117.1,164341
11-JUN-2020,127.5,122.0,129.25,120.15,185640
10-JUN-2020,131.7,127.45,132.65,126.15,299947
09-JUN-2020,131.0,131.7,138.0,129.5,1455798
08-JUN-2020,119.15,126.4,129.35,119.15,1305186
05-JUN-2020,117.8,118.5,120.75,116.6,294858
04-JUN-2020,117.45,117.25,118.8,116.25,129355
03-JUN-2020,118.0,117.35,119.7,116.8,256624
02-JUN-2020,117.6,117.35,119.7,116.8,270927
01-JUN-2020,123.15,117.0,123.65,116.5,549418
29-MAY-2020,117.0,120.8,123.45,116.0,515469
28-MAY-2020,115.8,117.85,119.0,115.2,313917
27-MAY-2020,114.65,115.2,116.5,114.45,117906
26-MAY-2020,116.5,114.65,116.85,114.1,65295
22-MAY-2020,117.3,115.8,118.0,115.1,154140
21-MAY-2020,115.0,115.5,117.8,115.0,81890
20-MAY-2020,116.75,115.0,117.8,114.1,70803
19-MAY-2020,115.35,116.15,118.65,115.0,88407
18-MAY-2020,121.5,114.75,121.7,111.25,146565
15-MAY-2020,117.3,120.85,122.1,116.1,218277
14-MAY-2020,119.0,116.7,121.0,115.7,150288
