DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,364.7,360.0,365.3,358.1,124220
01-JUL-2020,366.5,361.05,369.0,356.1,259231
30-JUN-2020,365.05,365.8,371.45,364.0,302786
29-JUN-2020,373.8,361.8,391.0,360.1,241874
26-JUN-2020,390.4,375.35,390.4,373.35,111820
25-JUN-2020,380.0,386.3,388.6,377.45,184759
24-JUN-2020,392.0,383.2,396.2,380.0,376180
23-JUN-2020,385.95,387.45,395.95,380.45,427670
22-JUN-2020,377.8,383.0,394.0,375.8,388441
19-JUN-2020,362.4,374.8,390.7,360.6,507471
18-JUN-2020,359.75,362.05,364.95,356.25,75154
17-JUN-2020,358.95,358.3,365.0,353.9,317637
16-JUN-2020,366.3,354.25,372.6,345.1,234309
15-JUN-2020,371.2,363.7,386.35,361.0,177127
12-JUN-2020,365.1,371.2,384.35,365.1,360720
11-JUN-2020,389.9,375.4,389.9,372.85,425841
10-JUN-2020,371.5,387.6,391.95,368.6,477799
09-JUN-2020,370.0,372.25,383.0,362.05,299215
08-JUN-2020,387.95,367.0,387.95,364.0,300487
05-JUN-2020,375.0,372.1,384.9,369.25,278818
04-JUN-2020,375.85,375.45,391.95,363.05,646787
03-JUN-2020,351.5,375.85,384.4,344.25,733036
02-JUN-2020,337.75,351.5,356.8,331.55,761198
01-JUN-2020,323.0,334.9,338.75,321.1,244662
29-MAY-2020,307.0,319.8,324.7,305.15,549089
28-MAY-2020,305.9,307.15,311.9,305.0,649458
27-MAY-2020,304.85,303.5,313.4,300.05,578827
26-MAY-2020,295.9,302.0,307.0,293.75,213084
22-MAY-2020,305.5,292.9,307.5,290.0,263809
21-MAY-2020,303.9,300.9,313.45,299.2,311671
20-MAY-2020,301.0,301.2,309.0,296.5,805782
19-MAY-2020,305.5,301.05,309.95,295.0,1392886
18-MAY-2020,324.0,299.95,324.0,297.05,806392
15-MAY-2020,342.0,319.7,342.0,313.6,347873
14-MAY-2020,345.0,336.9,347.0,331.05,130412
13-MAY-2020,348.0,343.1,357.0,336.0,334422
12-MAY-2020,326.05,334.45,337.0,315.05,285860
11-MAY-2020,330.3,328.45,337.4,324.0,156437
08-MAY-2020,344.8,324.25,345.95,321.15,264808
07-MAY-2020,340.0,339.25,346.55,333.45,168722
06-MAY-2020,312.25,337.55,343.8,312.25,740628
05-MAY-2020,325.8,315.3,325.8,310.05,286349
04-MAY-2020,327.0,318.1,333.9,315.45,321418
30-APR-2020,338.0,344.5,354.8,332.5,1020991
29-APR-2020,331.7,329.35,338.95,325.2,224288
28-APR-2020,340.2,327.8,340.2,326.05,252889
27-APR-2020,324.4,333.15,342.0,320.0,624795
24-APR-2020,345.0,313.75,352.9,302.8,600738
23-APR-2020,356.9,354.8,371.4,351.0,303915
22-APR-2020,363.55,355.4,378.5,342.1,366783
21-APR-2020,388.8,365.1,388.8,360.5,377370
20-APR-2020,389.7,391.7,435.0,380.0,2113755
17-APR-2020,361.0,385.35,409.6,361.0,1801958
16-APR-2020,308.6,341.35,354.0,306.95,710836
15-APR-2020,297.5,310.0,315.55,294.0,832853
13-APR-2020,308.55,297.25,309.95,291.4,413443
09-APR-2020,310.6,310.35,314.8,302.0,874235
08-APR-2020,321.0,306.4,337.0,305.0,477314
07-APR-2020,325.95,320.65,334.15,316.25,904316
03-APR-2020,320.5,320.2,340.8,314.25,1037067
01-APR-2020,331.75,325.65,339.6,324.05,221253
31-MAR-2020,349.15,331.75,349.15,323.6,443679
30-MAR-2020,364.75,340.5,364.75,337.25,198026
27-MAR-2020,392.1,364.75,400.0,361.0,368888
26-MAR-2020,400.1,385.9,407.7,381.5,199372
25-MAR-2020,396.8,400.65,410.0,375.15,341097
24-MAR-2020,380.3,409.9,449.9,380.3,520591
23-MAR-2020,409.0,407.1,414.7,365.95,228260
20-MAR-2020,438.0,430.85,452.75,411.8,261503
19-MAR-2020,418.0,445.2,452.2,380.05,1688232
18-MAR-2020,457.0,435.0,457.0,426.15,1407905
17-MAR-2020,435.15,437.85,449.8,426.05,648219
16-MAR-2020,432.0,443.85,450.0,411.55,630657
13-MAR-2020,423.0,456.4,461.0,362.35,285879
12-MAR-2020,470.0,452.9,480.0,426.7,178107
11-MAR-2020,486.3,485.1,492.95,476.0,197946
09-MAR-2020,492.0,492.95,495.95,480.65,348147
06-MAR-2020,481.0,499.7,512.0,476.1,377391
05-MAR-2020,506.2,496.1,512.0,493.0,225225
