DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,1380.0,1388.55,1392.0,1365.15,630207
01-JUL-2020,1383.25,1370.75,1383.95,1357.6,656829
30-JUN-2020,1391.7,1372.1,1399.4,1366.25,517776
29-JUN-2020,1386.15,1384.9,1400.0,1381.15,381374
26-JUN-2020,1392.0,1387.8,1409.6,1373.6,906145
25-JUN-2020,1403.0,1381.95,1412.95,1378.6,927305
24-JUN-2020,1416.0,1404.15,1437.65,1400.0,957909
23-JUN-2020,1400.15,1409.7,1423.5,1395.1,1172240
22-JUN-2020,1400.0,1391.0,1417.45,1388.0,1069603
19-JUN-2020,1398.9,1398.85,1415.0,1388.2,2590585
18-JUN-2020,1432.15,1391.15,1444.95,1383.1,1798258
17-JUN-2020,1436.0,1432.15,1473.0,1426.8,1357122
16-JUN-2020,1444.05,1431.25,1463.05,1412.5,1626083
15-JUN-2020,1449.0,1431.95,1469.1,1422.55,714226
12-JUN-2020,1390.0,1430.05,1444.0,1384.4,913916
11-JUN-2020,1455.15,1417.3,1457.5,1411.0,623076
10-JUN-2020,1468.1,1454.75,1483.95,1450.0,712634
09-JUN-2020,1506.8,1467.3,1506.8,1458.3,896381
08-JUN-2020,1519.8,1492.3,1523.0,1490.0,600577
05-JUN-2020,1506.45,1508.3,1518.0,1486.05,687596
04-JUN-2020,1515.0,1496.85,1528.95,1487.6,590079
03-JUN-2020,1500.0,1510.15,1532.95,1491.65,751288
02-JUN-2020,1483.7,1490.8,1510.0,1471.8,731527
01-JUN-2020,1488.0,1473.15,1504.0,1466.45,924436
29-MAY-2020,1426.0,1468.4,1485.85,1417.4,1574181
28-MAY-2020,1406.0,1425.35,1434.95,1402.8,915640
27-MAY-2020,1406.55,1402.8,1427.85,1395.0,571770
26-MAY-2020,1405.0,1412.45,1439.0,1400.5,793658
22-MAY-2020,1419.45,1397.7,1429.8,1390.0,636230
21-MAY-2020,1370.0,1419.45,1424.95,1362.4,1053208
20-MAY-2020,1363.1,1370.1,1377.0,1346.25,398983
19-MAY-2020,1359.9,1362.5,1383.9,1330.4,626691
18-MAY-2020,1370.0,1342.65,1376.05,1330.0,770105
15-MAY-2020,1365.95,1373.25,1385.0,1355.55,539398
14-MAY-2020,1377.0,1360.95,1377.0,1341.4,665394
13-MAY-2020,1400.0,1385.35,1400.0,1362.05,549132
12-MAY-2020,1370.0,1356.0,1379.85,1335.75,667788
11-MAY-2020,1380.0,1377.45,1388.4,1358.4,660493
08-MAY-2020,1373.8,1368.35,1389.0,1351.8,944412
07-MAY-2020,1434.0,1353.05,1442.85,1346.55,1641697
06-MAY-2020,1396.1,1430.55,1450.05,1376.2,1106858
05-MAY-2020,1435.0,1393.45,1451.1,1382.05,1202073
04-MAY-2020,1480.0,1424.65,1521.5,1420.2,817610
30-APR-2020,1540.0,1527.0,1542.65,1506.45,814819
29-APR-2020,1560.0,1517.8,1567.6,1509.55,571059
28-APR-2020,1567.4,1554.45,1573.15,1524.95,773625
27-APR-2020,1525.0,1540.5,1558.0,1505.15,922147
24-APR-2020,1532.1,1505.2,1576.8,1500.15,1241873
23-APR-2020,1548.45,1539.2,1584.0,1531.15,1389946
22-APR-2020,1475.7,1538.25,1547.0,1457.1,1431177
21-APR-2020,1436.5,1475.7,1483.95,1422.1,1079429
