DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,335.0,361.75,367.35,335.0,493481
01-JUL-2020,347.5,349.9,363.0,347.5,356963
30-JUN-2020,388.4,365.75,390.0,365.75,423763
29-JUN-2020,396.25,385.0,396.25,377.8,1082186
26-JUN-2020,365.0,377.4,377.4,360.0,621395
25-JUN-2020,340.0,359.45,363.0,335.6,331774
24-JUN-2020,367.25,347.6,367.25,340.0,1088430
23-JUN-2020,349.8,349.8,349.8,339.0,200323
22-JUN-2020,325.9,333.15,333.15,320.0,652522
19-JUN-2020,317.3,317.3,317.3,317.3,71510
18-JUN-2020,292.4,302.2,302.2,290.0,223169
17-JUN-2020,279.95,287.85,287.85,268.0,338624
16-JUN-2020,267.0,274.15,274.15,260.8,423030
15-JUN-2020,267.0,261.1,271.0,260.0,219246
12-JUN-2020,253.5,270.8,275.0,253.0,305005
11-JUN-2020,269.7,266.3,275.95,261.25,358506
10-JUN-2020,269.45,267.7,279.4,256.0,467460
09-JUN-2020,283.45,267.25,283.45,266.05,628849
08-JUN-2020,294.0,280.05,295.5,272.5,976414
05-JUN-2020,281.4,281.45,281.45,255.6,1313790
04-JUN-2020,268.05,268.05,268.05,268.05,59232
03-JUN-2020,255.3,255.3,255.3,255.3,62120
02-JUN-2020,243.15,243.15,243.15,243.15,25703
01-JUN-2020,231.6,231.6,231.6,227.25,108062
29-MAY-2020,215.0,220.6,220.6,211.0,291145
28-MAY-2020,195.0,210.1,211.8,192.0,663888
27-MAY-2020,204.0,201.75,209.7,195.0,459027
26-MAY-2020,201.7,201.75,201.75,193.0,459096
22-MAY-2020,192.35,192.15,192.35,174.05,837033
21-MAY-2020,183.2,183.2,183.2,183.2,63003
20-MAY-2020,169.0,174.5,174.5,165.0,240301
19-MAY-2020,172.9,166.2,172.9,165.65,198155
18-MAY-2020,174.0,169.25,176.0,167.0,151966
15-MAY-2020,174.0,172.95,174.0,166.05,273530
14-MAY-2020,182.5,174.1,185.0,170.35,313528
13-MAY-2020,178.0,179.3,179.35,173.85,259269
12-MAY-2020,175.9,170.85,176.0,167.9,296793
11-MAY-2020,185.5,176.7,186.45,176.0,261727
