DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,1104.4,1094.55,1114.5,1086.65,507202
01-JUL-2020,1096.65,1094.95,1109.1,1082.45,479828
30-JUN-2020,1103.75,1096.65,1127.0,1093.0,550155
29-JUN-2020,1114.9,1099.2,1115.95,1092.65,288816
26-JUN-2020,1129.0,1116.4,1129.0,1108.05,577951
25-JUN-2020,1095.0,1110.1,1126.45,1083.65,638348
24-JUN-2020,1115.0,1094.3,1132.0,1088.1,677707
23-JUN-2020,1105.0,1101.3,1114.7,1085.0,486716
22-JUN-2020,1067.0,1083.85,1099.9,1067.0,512709
19-JUN-2020,1045.0,1066.9,1074.6,1045.0,751999
18-JUN-2020,1025.9,1043.2,1054.8,1023.55,488721
17-JUN-2020,1029.0,1027.55,1041.9,1021.0,486471
16-JUN-2020,1068.0,1032.7,1068.0,1019.15,681732
15-JUN-2020,1064.7,1048.85,1080.0,1039.0,413093
12-JUN-2020,1025.55,1068.65,1078.8,1025.35,363223
11-JUN-2020,1104.6,1069.0,1113.9,1065.2,431024
10-JUN-2020,1118.0,1102.05,1129.0,1092.75,394115
09-JUN-2020,1135.0,1122.75,1148.45,1116.95,350928
08-JUN-2020,1169.6,1130.95,1174.75,1124.35,711665
05-JUN-2020,1118.9,1150.6,1168.0,1118.9,1309805
04-JUN-2020,1125.0,1113.4,1137.0,1104.15,617920
03-JUN-2020,1125.0,1128.25,1146.0,1112.0,791989
02-JUN-2020,1127.2,1109.65,1141.0,1102.8,536323
01-JUN-2020,1105.0,1125.5,1147.0,1101.7,729684
29-MAY-2020,1071.5,1089.2,1098.8,1060.0,1290958
28-MAY-2020,1024.8,1071.5,1074.9,1021.05,897194
27-MAY-2020,1025.0,1018.8,1027.4,1010.5,502716
26-MAY-2020,1020.0,1021.95,1039.0,1015.0,490069
22-MAY-2020,1017.0,1015.0,1031.8,1001.4,529986
21-MAY-2020,1025.0,1021.75,1036.5,1010.6,644421
20-MAY-2020,1020.55,1022.8,1040.0,1004.45,534229
19-MAY-2020,1034.95,1020.85,1041.1,1001.25,1154379
18-MAY-2020,1084.85,997.05,1085.0,990.0,720493
15-MAY-2020,1051.4,1082.6,1089.45,1040.05,1226294
14-MAY-2020,1010.0,1049.15,1080.0,991.3,1702543
13-MAY-2020,1050.0,1044.75,1062.0,1025.0,540002
12-MAY-2020,1026.1,1015.25,1035.4,996.3,544630
11-MAY-2020,1056.4,1030.1,1058.8,1017.5,574333
08-MAY-2020,1064.4,1043.35,1072.25,1036.2,315523
07-MAY-2020,1049.9,1054.8,1073.9,1045.0,333912
