DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,41.15,41.0,41.7,40.6,2882155
01-JUL-2020,40.0,40.95,41.3,39.85,3268496
30-JUN-2020,41.2,40.05,41.65,39.8,2957835
29-JUN-2020,41.15,40.65,41.25,39.85,3878962
26-JUN-2020,43.0,41.45,43.0,41.05,3409805
25-JUN-2020,42.8,42.25,43.55,41.7,4499697
24-JUN-2020,43.15,43.0,45.45,42.7,12070075
23-JUN-2020,42.7,43.35,43.85,42.1,6411730
22-JUN-2020,42.95,42.6,43.75,42.1,3965120
19-JUN-2020,39.95,42.7,43.0,39.65,10411389
18-JUN-2020,39.5,39.8,40.2,39.1,2993259
17-JUN-2020,38.65,39.65,40.2,38.55,3988804
16-JUN-2020,42.1,39.6,43.3,38.55,11333854
15-JUN-2020,44.7,42.0,44.7,41.8,6949195
12-JUN-2020,42.05,44.7,45.0,42.0,4210408
11-JUN-2020,46.3,45.1,47.3,44.45,3894869
10-JUN-2020,46.25,47.0,47.45,45.6,4244720
09-JUN-2020,48.55,46.65,49.15,46.1,7396232
08-JUN-2020,48.6,48.05,49.9,47.3,9449215
05-JUN-2020,42.75,46.95,47.5,42.7,13018447
04-JUN-2020,42.35,42.15,43.0,41.1,3281569
03-JUN-2020,43.3,42.35,44.5,41.8,6341903
02-JUN-2020,39.3,42.0,42.4,38.5,9200936
01-JUN-2020,36.55,38.9,39.3,36.55,8740926
29-MAY-2020,36.0,36.1,36.75,35.35,3477714
28-MAY-2020,35.6,36.0,36.25,35.2,3519128
27-MAY-2020,34.9,35.15,35.55,34.85,2215768
26-MAY-2020,35.0,34.85,35.7,34.7,2254501
22-MAY-2020,35.05,34.7,35.3,34.35,1691515
21-MAY-2020,35.05,35.35,35.5,34.6,2151911
20-MAY-2020,33.8,34.95,35.3,33.7,2538976
19-MAY-2020,34.5,34.0,35.3,33.85,3033466
18-MAY-2020,35.2,33.75,35.4,33.4,3116753
15-MAY-2020,35.6,35.3,35.7,35.0,2062584
14-MAY-2020,35.5,35.3,36.15,34.5,4562418
13-MAY-2020,37.85,36.35,38.4,36.0,5624231
12-MAY-2020,35.5,36.0,36.4,34.8,2910587
11-MAY-2020,35.05,35.95,38.2,34.85,14570142
08-MAY-2020,36.05,34.95,36.25,34.8,1646703
07-MAY-2020,35.45,35.45,35.85,35.0,1369083
06-MAY-2020,35.3,35.5,36.15,34.25,3139154
05-MAY-2020,36.9,34.75,36.95,34.6,3580899
04-MAY-2020,37.0,36.0,37.5,35.55,3959691
30-APR-2020,40.0,39.75,40.95,37.75,19526871
29-APR-2020,34.3,34.9,35.1,33.85,3229383
28-APR-2020,34.7,34.3,34.95,33.7,2282255
27-APR-2020,34.55,33.85,34.55,33.7,1668865
24-APR-2020,34.3,33.7,34.95,33.5,1721984
23-APR-2020,35.0,34.75,36.0,34.65,2326395
22-APR-2020,34.0,34.7,35.45,33.25,2563830
21-APR-2020,35.3,34.4,35.5,34.0,2432111
20-APR-2020,36.2,36.65,37.8,35.3,9066462
17-APR-2020,38.1,36.1,38.55,35.85,5985022
16-APR-2020,35.25,36.55,36.95,34.85,2708078
15-APR-2020,37.0,36.35,39.4,36.0,6507627
13-APR-2020,35.0,36.55,37.4,33.35,7803593
09-APR-2020,31.05,34.25,34.9,31.0,9794575
08-APR-2020,30.25,30.25,31.7,29.85,4398807
07-APR-2020,30.7,30.3,31.45,30.0,4232255
03-APR-2020,29.0,29.55,30.0,28.8,1732848
01-APR-2020,30.8,29.95,31.3,29.3,2420758
31-MAR-2020,30.9,30.95,31.3,30.0,2214573
30-MAR-2020,30.0,30.05,30.95,29.05,1984634
27-MAR-2020,31.0,30.55,32.25,30.1,3170729
26-MAR-2020,30.3,30.0,32.45,29.3,3976848
25-MAR-2020,30.5,30.0,30.9,29.2,2822599
24-MAR-2020,30.4,30.35,32.5,28.4,6696969
23-MAR-2020,29.25,29.6,30.6,29.25,3917284
20-MAR-2020,32.9,32.5,34.2,32.0,6953408
19-MAR-2020,35.9,32.55,35.9,32.15,7826440
18-MAR-2020,41.0,37.25,41.35,36.6,3658777
17-MAR-2020,42.0,39.1,44.15,38.7,4047862
16-MAR-2020,45.4,42.0,47.5,41.0,4783691
13-MAR-2020,40.5,47.55,48.9,39.05,15361841
12-MAR-2020,41.7,44.05,45.4,37.25,29881777
11-MAR-2020,45.8,43.5,46.7,43.0,3695160
09-MAR-2020,46.15,46.05,47.95,45.55,3116084
06-MAR-2020,50.8,49.95,50.8,48.85,2511180
