DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,327.05,334.9,337.5,324.55,11971928
01-JUL-2020,329.0,323.7,329.6,320.3,10489533
30-JUN-2020,323.1,326.7,337.65,323.1,36523647
29-JUN-2020,323.0,320.85,326.0,312.1,11961198
26-JUN-2020,325.8,323.85,329.95,322.55,9706335
25-JUN-2020,322.0,323.1,327.4,321.0,11345728
24-JUN-2020,336.6,326.05,338.15,324.75,20782956
23-JUN-2020,327.7,332.0,333.5,326.15,12551154
22-JUN-2020,319.75,325.7,328.0,318.35,11031385
19-JUN-2020,321.0,320.55,325.85,317.3,15134693
18-JUN-2020,308.2,318.1,319.2,307.1,11369278
17-JUN-2020,307.2,308.2,314.8,305.05,11447411
16-JUN-2020,315.1,308.95,322.55,301.3,23442027
15-JUN-2020,313.75,306.2,315.0,302.6,18582927
12-JUN-2020,300.0,317.6,320.45,300.0,17558010
11-JUN-2020,322.0,313.15,323.5,311.0,13906985
10-JUN-2020,331.1,324.0,331.5,322.0,17218893
09-JUN-2020,336.0,332.2,344.0,328.85,14926862
08-JUN-2020,347.7,333.6,350.8,327.35,16481809
05-JUN-2020,325.8,338.95,343.65,325.05,30918495
04-JUN-2020,316.9,319.95,322.6,314.6,11251331
03-JUN-2020,325.45,317.4,326.3,315.05,10387136
02-JUN-2020,318.0,319.4,323.45,314.55,16563267
01-JUN-2020,302.0,315.2,317.8,302.0,24384633
29-MAY-2020,292.1,295.2,296.9,287.85,13128027
28-MAY-2020,291.9,295.5,298.6,289.4,16602462
27-MAY-2020,282.2,287.95,290.4,279.05,14007562
26-MAY-2020,277.5,280.45,284.4,277.0,12108740
22-MAY-2020,279.0,274.45,280.25,273.3,10656911
21-MAY-2020,283.9,283.7,286.25,278.5,13035881
20-MAY-2020,272.0,283.2,284.0,270.1,14423657
19-MAY-2020,271.95,272.0,280.4,267.5,16897173
18-MAY-2020,274.1,266.6,276.2,262.45,11616080
15-MAY-2020,270.0,273.45,276.8,268.8,14991458
14-MAY-2020,272.0,268.55,275.2,267.3,10796959
13-MAY-2020,287.5,276.55,288.0,273.5,14723748
12-MAY-2020,273.3,273.95,276.8,264.5,15040334
11-MAY-2020,275.55,276.2,283.0,275.0,10907408
08-MAY-2020,282.8,272.9,284.0,272.0,9878213
07-MAY-2020,275.45,275.85,282.85,274.65,8958411
06-MAY-2020,274.1,277.75,280.45,272.05,9507731
05-MAY-2020,279.0,272.65,282.4,271.0,12182355
04-MAY-2020,285.0,273.6,286.15,270.1,12892158
30-APR-2020,289.95,298.3,304.5,288.7,23636082
29-APR-2020,273.0,282.65,286.15,271.25,19876696
28-APR-2020,273.9,273.55,275.4,269.55,8548134
27-APR-2020,274.0,271.65,276.9,270.5,12410812
24-APR-2020,266.3,267.55,273.85,264.45,12383846
23-APR-2020,270.0,270.3,279.0,269.0,15468122
22-APR-2020,266.1,268.35,269.9,259.2,14789857
21-APR-2020,280.05,265.95,281.0,263.25,16925417
20-APR-2020,294.8,286.4,295.0,285.1,11961355
17-APR-2020,297.5,293.35,299.7,285.5,17492884
16-APR-2020,276.0,288.9,291.9,276.0,17248806
15-APR-2020,287.4,285.15,295.65,281.9,20991943
13-APR-2020,285.0,282.55,292.0,273.85,15510598
09-APR-2020,280.5,284.85,289.6,277.65,13855788
08-APR-2020,271.0,274.75,292.9,266.65,20435156
07-APR-2020,266.05,276.2,277.7,261.2,15956873
03-APR-2020,267.7,253.75,268.9,251.0,12528030
01-APR-2020,266.0,266.35,267.95,258.1,11965031
31-MAR-2020,262.25,269.6,272.45,259.7,15787411
30-MAR-2020,267.0,254.05,270.75,250.85,15853761
27-MAR-2020,291.0,277.25,295.25,274.2,11184139
26-MAR-2020,290.0,284.45,295.5,280.1,11493837
25-MAR-2020,267.05,286.8,295.0,267.05,9442834
24-MAR-2020,277.05,271.9,285.65,258.6,12928877
23-MAR-2020,268.0,271.15,278.0,253.55,12100684
20-MAR-2020,279.7,297.75,305.0,274.15,17307882
19-MAR-2020,268.95,271.85,284.5,260.5,18723257
18-MAR-2020,290.0,280.85,293.15,275.7,18772675
17-MAR-2020,300.0,282.75,307.65,280.5,20654603
16-MAR-2020,304.0,289.6,317.65,287.1,23606452
13-MAR-2020,270.0,326.7,332.1,255.35,33842310
12-MAR-2020,275.0,287.45,291.8,267.2,43767763
11-MAR-2020,324.0,299.75,326.05,296.1,28693709
09-MAR-2020,337.5,322.3,337.7,319.75,20423826
06-MAR-2020,356.95,351.5,358.3,346.65,14848188
05-MAR-2020,383.95,375.75,387.8,374.3,14628468
04-MAR-2020,388.05,377.15,389.9,365.1,22937148
03-MAR-2020,373.5,387.55,391.0,370.1,18648933
02-MAR-2020,393.7,364.05,394.0,358.0,20220772
28-FEB-2020,398.7,381.75,398.95,375.0,24532833
27-FEB-2020,414.9,412.8,415.9,407.05,10226379
26-FEB-2020,411.3,416.3,419.4,411.3,14270706
25-FEB-2020,419.0,421.3,425.55,414.4,14558176
24-FEB-2020,434.85,415.45,434.85,413.35,17523142
20-FEB-2020,429.0,443.55,447.7,428.0,12980237
19-FEB-2020,436.45,433.2,438.5,428.15,8465109
18-FEB-2020,434.0,431.4,435.15,421.3,11502423
17-FEB-2020,435.5,436.85,440.9,433.0,9724765
14-FEB-2020,441.0,434.55,445.55,433.35,9484817
13-FEB-2020,448.75,441.25,451.7,439.35,9965221
12-FEB-2020,450.0,447.95,454.5,442.55,11785858
11-FEB-2020,448.35,444.1,457.7,442.7,16824371
10-FEB-2020,460.25,443.8,463.25,440.0,26796048
07-FEB-2020,475.7,471.0,479.7,468.85,11649909
06-FEB-2020,478.0,477.6,487.25,471.6,16666074
05-FEB-2020,452.25,475.05,479.7,448.0,16056765
04-FEB-2020,442.0,451.9,453.4,433.45,13336263
03-FEB-2020,418.0,436.05,439.0,416.6,16237126
01-FEB-2020,431.5,423.8,440.0,420.1,12915212
31-JAN-2020,453.0,438.7,454.25,436.45,10738727
30-JAN-2020,451.9,448.55,454.45,441.4,14652016
29-JAN-2020,452.8,452.2,459.7,449.6,11081834
28-JAN-2020,460.0,446.25,462.0,442.0,18015283
27-JAN-2020,477.75,462.45,477.75,460.1,12963119
24-JAN-2020,480.3,483.4,485.1,476.45,7481130
23-JAN-2020,475.9,480.25,481.85,473.15,7200020
22-JAN-2020,478.65,475.05,479.85,473.2,7662171
21-JAN-2020,487.8,476.15,487.8,473.5,11315803
20-JAN-2020,497.0,490.65,499.8,489.15,7291878
17-JAN-2020,493.3,495.25,498.9,491.9,5682460
16-JAN-2020,502.0,494.4,504.05,492.1,10438369
15-JAN-2020,491.9,502.1,503.55,489.15,12117948
14-JAN-2020,496.45,498.6,506.0,495.75,15660822
13-JAN-2020,491.1,495.75,497.0,487.75,10942750
10-JAN-2020,485.5,486.2,493.85,480.0,15927634
09-JAN-2020,485.0,483.15,486.0,479.1,10131152
08-JAN-2020,471.65,475.25,478.15,467.0,13304841
07-JAN-2020,475.5,476.1,484.6,473.55,13195788
06-JAN-2020,480.0,473.25,480.0,470.55,9601608
03-JAN-2020,483.0,483.7,486.2,479.45,12956863
02-JAN-2020,472.0,484.85,487.8,472.0,21674961
01-JAN-2020,473.0,467.75,476.5,464.8,12100530
31-DEC-2019,472.65,472.05,475.3,469.5,9644145
30-DEC-2019,470.1,474.75,476.3,465.1,11462074
27-DEC-2019,469.25,469.5,471.8,463.2,11144333
26-DEC-2019,463.0,467.9,472.0,463.0,18255603
24-DEC-2019,462.2,463.0,464.7,459.4,11235505
23-DEC-2019,461.0,462.15,467.5,457.05,18631143
20-DEC-2019,446.0,461.0,463.4,443.1,26931262
19-DEC-2019,440.0,446.75,449.4,438.0,20547286
18-DEC-2019,439.4,444.75,454.8,436.05,40028398
17-DEC-2019,423.6,439.4,441.9,423.05,30757738
16-DEC-2019,432.0,421.0,432.0,420.15,9565831
13-DEC-2019,430.25,428.4,434.6,423.45,21628183
12-DEC-2019,408.3,418.7,420.9,406.8,14984671
11-DEC-2019,402.4,405.55,408.2,400.35,8227863
10-DEC-2019,405.0,402.05,409.6,400.2,9349585
09-DEC-2019,403.0,406.7,411.8,401.95,12318452
06-DEC-2019,401.45,403.25,407.5,393.85,16931082
05-DEC-2019,411.05,399.8,411.85,397.1,11110884
04-DEC-2019,392.8,409.3,411.45,389.0,26113249
03-DEC-2019,418.0,399.65,418.55,396.4,16870656
02-DEC-2019,424.95,420.85,426.95,419.0,8337171
29-NOV-2019,427.45,427.5,429.5,421.1,12631956
28-NOV-2019,422.2,432.1,434.3,422.15,15766073
27-NOV-2019,425.3,421.35,427.0,419.2,10984679
26-NOV-2019,425.0,424.15,429.3,416.75,28276312
25-NOV-2019,405.25,419.5,421.0,403.0,27612458
22-NOV-2019,386.0,400.0,402.8,383.1,17271949
21-NOV-2019,399.0,385.1,399.15,383.25,10208554
20-NOV-2019,401.0,398.7,408.5,397.3,12255602
19-NOV-2019,414.0,401.75,414.85,400.0,14265083
