DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,32.5,32.4,32.95,32.1,3526830
01-JUL-2020,32.0,32.5,32.6,31.55,4278170
30-JUN-2020,33.05,31.8,33.3,31.7,3493493
29-JUN-2020,33.55,32.75,33.55,32.35,4223319
26-JUN-2020,33.8,33.85,35.4,33.25,6842752
25-JUN-2020,32.65,33.3,33.5,31.8,6228569
24-JUN-2020,36.5,32.9,36.5,32.3,23197145
23-JUN-2020,33.85,35.95,36.55,33.5,24991473
22-JUN-2020,31.0,32.8,33.3,31.0,15636679
19-JUN-2020,29.8,30.7,31.7,29.3,14607758
18-JUN-2020,28.95,29.4,29.65,28.9,3798379
17-JUN-2020,28.85,29.0,29.25,28.1,4026682
16-JUN-2020,30.15,28.9,30.4,27.85,6271601
15-JUN-2020,28.65,29.25,29.95,28.15,8310254
12-JUN-2020,27.55,28.65,28.8,27.1,4620494
11-JUN-2020,29.5,28.75,29.65,28.55,6409257
10-JUN-2020,28.65,29.3,29.7,28.35,5552416
09-JUN-2020,29.8,28.4,30.3,28.05,8142656
08-JUN-2020,31.3,29.55,31.7,29.3,9683162
05-JUN-2020,30.0,30.35,30.6,29.4,8523037
04-JUN-2020,28.0,29.15,30.5,28.0,13887368
03-JUN-2020,26.0,27.9,28.85,26.0,14212915
02-JUN-2020,25.5,25.65,25.85,25.15,3596759
01-JUN-2020,24.05,25.5,25.9,24.0,6988297
29-MAY-2020,23.3,23.65,23.8,23.15,2468377
28-MAY-2020,23.3,23.4,24.0,23.3,2766124
27-MAY-2020,22.9,23.25,23.5,22.65,3265394
26-MAY-2020,23.05,22.9,23.25,22.85,1495197
22-MAY-2020,23.2,22.85,23.6,22.65,3422439
21-MAY-2020,23.0,23.2,23.6,22.9,2767730
20-MAY-2020,22.9,23.0,23.2,22.65,2252746
19-MAY-2020,23.65,22.9,23.85,22.8,3836467
18-MAY-2020,24.7,23.6,24.7,23.2,4069992
15-MAY-2020,24.85,24.7,24.95,24.3,3201557
14-MAY-2020,25.0,24.85,25.3,24.7,2629066
13-MAY-2020,25.75,25.1,25.75,24.4,7008283
12-MAY-2020,23.55,23.95,24.1,23.25,2397272
11-MAY-2020,24.0,23.85,24.1,23.6,2550899
08-MAY-2020,24.25,23.8,24.45,23.6,2901279
07-MAY-2020,24.5,24.1,24.75,24.05,4228577
06-MAY-2020,25.6,24.5,25.65,24.4,5048379
05-MAY-2020,26.5,25.5,26.5,25.45,3831826
04-MAY-2020,26.55,26.1,26.75,26.0,3334752
30-APR-2020,27.4,27.25,27.75,27.15,4765418
29-APR-2020,27.0,27.05,27.35,26.7,4322791
28-APR-2020,27.5,26.8,27.6,26.6,6277037
27-APR-2020,27.8,27.45,27.95,27.35,5453976
24-APR-2020,28.0,27.65,28.3,27.6,3194665
23-APR-2020,28.45,28.4,28.8,28.3,2417163
22-APR-2020,28.15,28.45,28.75,28.0,4383129
21-APR-2020,29.0,28.15,29.05,28.0,4163591
20-APR-2020,29.15,29.5,30.3,29.05,11503934
17-APR-2020,30.2,29.1,30.4,28.95,4092766
16-APR-2020,28.85,29.3,29.6,28.4,3600789
15-APR-2020,28.35,28.95,29.6,28.35,4088717
13-APR-2020,28.9,28.35,28.9,28.2,1782854
09-APR-2020,29.15,28.8,29.6,28.75,3963834
08-APR-2020,28.8,29.0,30.4,28.55,2628815
07-APR-2020,29.75,29.0,29.75,28.8,1885900
03-APR-2020,29.0,28.6,29.15,28.1,1378652
01-APR-2020,29.2,28.75,29.4,28.55,1773092
