DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
02-JUL-2020,108.0,106.4,108.65,106.0,12174342
01-JUL-2020,106.4,107.7,108.8,105.95,11412484
30-JUN-2020,108.45,106.4,110.4,105.4,13699750
29-JUN-2020,110.0,107.95,110.0,105.55,16927577
26-JUN-2020,112.75,109.95,113.25,109.3,24544467
25-JUN-2020,108.95,111.25,112.25,108.0,26667328
24-JUN-2020,111.0,109.45,113.5,107.6,28610666
23-JUN-2020,110.05,110.0,111.9,109.05,20720200
22-JUN-2020,105.35,110.05,111.7,104.75,27109192
19-JUN-2020,108.45,105.25,109.4,104.45,33760231
18-JUN-2020,102.8,107.0,107.8,102.0,27586795
17-JUN-2020,103.8,102.1,104.15,101.8,11401300
16-JUN-2020,105.0,103.85,105.9,101.65,22657943
15-JUN-2020,104.0,102.4,105.3,101.5,20562556
12-JUN-2020,96.9,103.3,103.95,96.9,33223448
11-JUN-2020,104.9,101.05,106.7,100.0,21080028
10-JUN-2020,104.6,106.1,108.75,104.3,29455782
09-JUN-2020,105.1,104.6,108.25,103.7,23311112
08-JUN-2020,102.0,105.1,111.15,102.0,54422398
05-JUN-2020,105.1,105.3,106.25,102.9,33224183
04-JUN-2020,96.95,104.4,105.2,96.1,55983342
03-JUN-2020,97.5,96.7,102.5,95.9,37933329
02-JUN-2020,94.5,96.9,97.25,93.35,22601994
01-JUN-2020,93.3,93.65,97.05,92.75,23682719
29-MAY-2020,89.6,92.2,92.7,89.0,34104166
28-MAY-2020,88.9,89.95,90.95,88.05,22037867
27-MAY-2020,88.5,87.9,88.95,86.25,17368769
26-MAY-2020,89.5,87.9,90.25,87.55,17958373
22-MAY-2020,90.0,89.1,90.4,88.6,15805466
21-MAY-2020,89.0,90.2,91.75,88.15,31501740
20-MAY-2020,90.05,88.55,90.55,88.25,21380770
19-MAY-2020,93.25,90.0,93.8,89.55,36133110
18-MAY-2020,93.95,92.5,95.65,90.1,88008676
15-MAY-2020,90.0,92.95,95.55,88.2,75496782
14-MAY-2020,88.4,89.15,91.8,87.75,38572778
13-MAY-2020,97.95,90.25,97.95,88.5,145841554
12-MAY-2020,79.45,89.05,90.5,79.05,112770254
11-MAY-2020,78.85,79.6,80.5,78.0,33344596
08-MAY-2020,80.6,77.4,80.8,77.05,15998934
07-MAY-2020,78.9,78.55,80.6,78.05,15605038
06-MAY-2020,79.7,79.45,80.9,77.95,20997197
05-MAY-2020,81.8,78.9,83.2,78.5,29105785
04-MAY-2020,82.65,79.95,83.7,77.4,33175416
30-APR-2020,82.0,89.55,91.0,81.5,63687038
29-APR-2020,77.05,79.15,79.95,77.0,27243902
28-APR-2020,78.5,76.85,78.8,75.8,33514515
27-APR-2020,78.8,78.45,79.9,78.15,16789673
24-APR-2020,76.8,77.95,80.25,75.7,33734788
23-APR-2020,77.75,77.6,78.55,76.6,24258405
22-APR-2020,75.95,76.1,77.2,73.35,37108747
21-APR-2020,77.4,78.45,79.5,73.8,44069545
20-APR-2020,86.45,81.45,86.45,80.8,33264777
17-APR-2020,87.0,84.1,87.0,82.85,30176554
16-APR-2020,77.8,82.7,84.65,77.15,54489625
15-APR-2020,79.5,78.6,83.2,77.6,43610924
13-APR-2020,77.6,78.3,79.45,73.65,37471015
09-APR-2020,73.0,76.8,77.3,72.8,41602363
08-APR-2020,65.95,70.3,73.4,65.0,49394737
07-APR-2020,66.3,66.75,67.7,65.1,45746171
03-APR-2020,64.0,62.8,64.45,62.2,24226287
01-APR-2020,65.0,62.65,65.4,62.35,23338192
31-MAR-2020,63.45,64.7,67.0,62.6,44630391
30-MAR-2020,61.8,61.55,62.9,60.2,17613254
27-MAR-2020,68.55,63.75,68.85,63.0,26206043
26-MAR-2020,65.6,65.8,69.2,63.5,29684035
25-MAR-2020,62.7,64.2,65.0,62.35,29906847
24-MAR-2020,67.5,62.8,68.45,62.35,30625806
23-MAR-2020,67.95,62.65,71.3,61.65,22554580
20-MAR-2020,72.4,75.45,78.0,70.4,29770505
19-MAR-2020,69.45,69.35,73.65,67.8,31319910
18-MAR-2020,78.0,72.95,78.65,72.1,30564821
17-MAR-2020,76.55,75.0,80.45,74.4,32830615
16-MAR-2020,78.0,74.85,80.7,74.25,33777113
13-MAR-2020,73.15,84.05,86.6,68.9,45056264
12-MAR-2020,84.75,79.85,85.5,78.25,38860033
11-MAR-2020,92.0,92.0,95.5,91.25,33275612
09-MAR-2020,104.0,94.9,105.45,93.4,38812756
06-MAR-2020,111.7,111.05,113.4,108.1,16482554
05-MAR-2020,118.5,117.1,122.2,116.0,26357440
04-MAR-2020,119.0,119.35,120.0,115.1,38623129
03-MAR-2020,114.25,119.55,121.0,113.65,36975433
02-MAR-2020,117.55,110.95,119.4,109.0,32732879
28-FEB-2020,126.0,114.0,126.0,112.1,57363091
27-FEB-2020,130.0,130.55,131.4,126.4,15600307
26-FEB-2020,131.0,130.25,133.7,129.35,14605029
25-FEB-2020,134.4,132.7,135.9,132.05,14590593
24-FEB-2020,139.85,133.2,139.95,132.3,22666897
20-FEB-2020,141.8,142.35,144.75,140.8,11236035
19-FEB-2020,142.0,142.65,144.2,141.6,8824394
18-FEB-2020,141.75,140.55,141.75,137.5,13205238
17-FEB-2020,141.3,142.1,143.8,140.8,8475514
14-FEB-2020,142.7,141.1,143.9,140.75,6336170
13-FEB-2020,142.35,142.5,143.35,140.3,6820884
12-FEB-2020,142.0,141.55,143.9,141.15,9280214
11-FEB-2020,141.65,140.75,143.6,140.2,9087616
10-FEB-2020,143.7,140.3,143.7,139.55,10029897
07-FEB-2020,143.85,144.6,145.3,141.75,9671106
06-FEB-2020,144.85,143.85,146.8,142.7,15736536
05-FEB-2020,139.3,143.1,143.9,137.6,17304767
04-FEB-2020,135.9,138.55,138.9,134.8,11370911
03-FEB-2020,134.35,134.15,136.8,132.85,13658383
01-FEB-2020,138.75,134.9,139.0,133.5,15204251
31-JAN-2020,140.85,137.9,141.7,137.5,13980768
30-JAN-2020,142.15,140.95,143.4,139.8,15625276
29-JAN-2020,144.45,142.2,145.4,141.9,12603444
28-JAN-2020,147.75,142.2,147.75,141.55,22438597
27-JAN-2020,153.4,148.85,153.4,148.1,13357039
24-JAN-2020,155.0,155.9,157.1,153.75,8012015
23-JAN-2020,153.6,154.15,155.4,152.35,12087029
22-JAN-2020,155.85,153.2,158.25,152.8,15503961
21-JAN-2020,157.0,153.9,158.4,153.55,10481008
20-JAN-2020,159.35,156.9,159.9,156.2,7944434
17-JAN-2020,162.7,159.5,162.7,159.0,9518702
16-JAN-2020,162.9,162.25,163.7,160.4,11990967
15-JAN-2020,165.0,164.65,165.45,161.8,11633598
14-JAN-2020,161.4,165.0,166.1,161.0,19728091
13-JAN-2020,160.5,160.45,161.45,158.25,9331492
10-JAN-2020,159.5,159.95,163.3,157.6,20995863
09-JAN-2020,159.4,158.15,160.2,157.4,11725302
08-JAN-2020,153.25,157.35,158.2,152.45,18095375
07-JAN-2020,152.8,156.0,156.8,152.55,24417974
06-JAN-2020,156.9,150.55,157.7,150.05,11218355
03-JAN-2020,158.4,157.75,160.9,156.7,12108687
02-JAN-2020,155.3,159.45,159.85,155.3,17137897
01-JAN-2020,152.8,154.6,155.15,151.45,14266524
31-DEC-2019,154.0,152.45,155.5,152.0,13026542
30-DEC-2019,152.05,154.5,154.9,150.15,12606419
27-DEC-2019,151.45,151.75,152.9,150.05,12636170
26-DEC-2019,148.3,150.7,152.5,147.55,19969941
24-DEC-2019,148.35,148.05,149.4,147.2,10766485
23-DEC-2019,145.0,147.75,148.0,145.0,15357549
20-DEC-2019,149.8,144.25,150.5,143.2,47171871
19-DEC-2019,152.5,149.35,153.9,148.3,17713003
